Tag,division,weight
academic exchange,OTHERS(RELEVANT),1
academic performance,OTHERS(RELEVANT),1
academic success,OTHERS(RELEVANT),1
academy,OTHERS(RELEVANT),1
acceptability,OTHERS(RELEVANT),1
achilles tendon,MEDICAL AND HEALTH,1
acoustic waves,TECHNOLOGY,1
acoustics,TECHNOLOGY,1
acquired immunodeficiency syndrome,MEDICAL AND HEALTH,1
act,OTHERS(IRRELEVANT),1
adaptive capacity,OTHERS(RELEVANT),1
adaptive management,OTHERS(RELEVANT),1
adolescent,MEDICAL AND HEALTH,1
age difference,OTHERS(RELEVANT),1
age groups,OTHERS(RELEVANT),1
aggression,HISTORY AND ARCHAEOLOGY,1
aircraft,ENGINEERING,1
airports,ENGINEERING,1
alcohols,CHEMICAL,1
allele,BIOLOGICAL,0.5
allele,TECHNOLOGY,0.5
allied health personnel,PSYCHOLOGY AND COGNITIVE SCIENCES,1
aluminum,PHYSICAL,1
amendment,LAW AND LEGAL STUDIES,1
amylases,BIOLOGICAL,1
analog to digital conversion,TECHNOLOGY,1
analysis,OTHERS(RELEVANT),1
analysis of variance (anova),MATHEMATICAL,1
androgens,BIOLOGICAL,1
animal models,BIOLOGICAL,1
annual conference,OTHERS(IRRELEVANT),1
annual reports,OTHERS(IRRELEVANT),1
anterior cruciate ligament,BIOLOGICAL,1
anthropocene,BIOLOGICAL,1
antimalarials,PSYCHOLOGY AND COGNITIVE SCIENCES,1
antiviral agents,PSYCHOLOGY AND COGNITIVE SCIENCES,1
appointments and schedules,OTHERS(IRRELEVANT),1
aquatic ecosystem,BIOLOGICAL,0.5
aquatic ecosystem,EARTH,0.5
arid zones,EARTH,0.5
arid zones,BIOLOGICAL,0.5
arsenobetaine,PHYSICAL,1
arthritis,PSYCHOLOGY AND COGNITIVE SCIENCES,1
articular range of motion,PSYCHOLOGY AND COGNITIVE SCIENCES,1
asthma,PSYCHOLOGY AND COGNITIVE SCIENCES,1
asylum seeker,OTHERS(IRRELEVANT),1
atropine,PSYCHOLOGY AND COGNITIVE SCIENCES,1
authority,OTHERS(IRRELEVANT),0.5
authority,HISTORY AND ARCHAEOLOGY,0.5
autism spectrum disorder,PSYCHOLOGY AND COGNITIVE SCIENCES,1
autonomic nervous system,BIOLOGICAL,1
availability,OTHERS(RELEVANT),1
back,BIOLOGICAL,1
bank,ECONOMICS,1
bereavement,PSYCHOLOGY AND COGNITIVE SCIENCES,1
bill,ECONOMICS,1
bioaccumulation,TECHNOLOGY,0.5
bioaccumulation,BIOLOGICAL,0.5
biological assessment,TECHNOLOGY,0.5
biological assessment,BIOLOGICAL,0.5
biological control,TECHNOLOGY,0.5
biological control,BIOLOGICAL,0.5
biomechanical phenomena,TECHNOLOGY,0.5
biomechanical phenomena,BIOLOGICAL,0.5
bivalvia,TECHNOLOGY,0.5
bivalvia,BIOLOGICAL,0.5
blogging,INFORMATION AND COMPUTING,0.5
blogging,STUDIES IN CREATIVE ARTS AND WRITING,0.5
blood,BIOLOGICAL,1
blood flow velocity,BIOLOGICAL,0.5
blood flow velocity,MEDICAL AND HEALTH,0.5
blood pressure,BIOLOGICAL,0.5
blood pressure,MEDICAL AND HEALTH,0.5
body composition,BIOLOGICAL,0.5
body composition,MEDICAL AND HEALTH,0.5
body mass,BIOLOGICAL,0.5
body mass,MEDICAL AND HEALTH,0.5
bone density,BIOLOGICAL,0.5
bone density,MEDICAL AND HEALTH,0.5
book,OTHERS(IRRELEVANT),1
brain,BIOLOGICAL,0.5
brain,MEDICAL AND HEALTH,0.5
breast neoplasms,MEDICAL AND HEALTH,1
building,BUILT ENVIRONMENT AND DESIGN,1
bushfire,EARTH,1
calcium,CHEMICAL,1
canaries,BIOLOGICAL,1
cannabis,BIOLOGICAL,1
capitalist society,ECONOMICS,0.333333333
capitalist society,LAW AND LEGAL STUDIES,0.333333333
capitalist society,HISTORY AND ARCHAEOLOGY,0.333333333
car,OTHERS(IRRELEVANT),1
carbohydrates,CHEMICAL,1
cardiac rehabilitation,MEDICAL AND HEALTH,1
cardiorespiratory fitness,MEDICAL AND HEALTH,1
career,OTHERS(IRRELEVANT),1
caregiver,MEDICAL AND HEALTH,1
caregivers,MEDICAL AND HEALTH,1
cash,ECONOMICS,1
causality,OTHERS(RELEVANT),1
cause,OTHERS(IRRELEVANT),1
chapbook,OTHERS(IRRELEVANT),1
cheeses,ENGINEERING,1
