_id,topic,weight
6233feb7c546c803a643a750,1, 0.08650559
6233feb7c546c803a643a750,2, 0.38838646
6233feb7c546c803a643a750,18, 0.35969865
6233feb7c546c803a643a750,20, 0.14441419
6233febac546c803a643a751,8, 0.106210254
6233febac546c803a643a751,17, 0.22705488
6233febac546c803a643a751,18, 0.26314446
6233febac546c803a643a751,20, 0.121804774
6233febac546c803a643a751,21, 0.2638026
6233febcc546c803a643a752,3, 0.15901837
6233febcc546c803a643a752,8, 0.17603666
6233febcc546c803a643a752,9, 0.08363317
6233febcc546c803a643a752,10, 0.200606
6233febcc546c803a643a752,18, 0.27261505
6233febcc546c803a643a752,20, 0.0907583
6233febec546c803a643a753,8, 0.09421812
6233febec546c803a643a753,9, 0.044227514
6233febec546c803a643a753,17, 0.5426586
6233febec546c803a643a753,18, 0.20015074
6233febec546c803a643a753,20, 0.10193956
6233fec0c546c803a643a754,1, 0.33836132
6233fec0c546c803a643a754,7, 0.46381217
6233fec0c546c803a643a754,9, 0.0790089
6233fec0c546c803a643a754,18, 0.09932331
6233fec3c546c803a643a755,8, 0.16478705
6233fec3c546c803a643a755,17, 0.12628907
6233fec3c546c803a643a755,18, 0.53316295
6233fec3c546c803a643a755,20, 0.15421908
6233fec5c546c803a643a756,8, 0.15478873
6233fec5c546c803a643a756,17, 0.40676776
6233fec5c546c803a643a756,18, 0.2690469
6233fec5c546c803a643a756,20, 0.148918
6233fec7c546c803a643a757,8, 0.17108539
6233fec7c546c803a643a757,17, 0.107534304
6233fec7c546c803a643a757,18, 0.53623116
6233fec7c546c803a643a757,20, 0.16302444
6233fec9c546c803a643a758,2, 0.120766565
6233fec9c546c803a643a758,9, 0.05630325
6233fec9c546c803a643a758,17, 0.24853805
6233fec9c546c803a643a758,18, 0.41804978
6233fec9c546c803a643a758,20, 0.13747774
6233feccc546c803a643a759,4, 0.069320545
6233feccc546c803a643a759,6, 0.1860548
6233feccc546c803a643a759,8, 0.107774235
6233feccc546c803a643a759,9, 0.0806083
6233feccc546c803a643a759,18, 0.38131204
6233feccc546c803a643a759,20, 0.15800303
6233fecec546c803a643a75a,1, 0.1986606
6233fecec546c803a643a75a,5, 0.43554083
6233fecec546c803a643a75a,7, 0.18981828
6233fecec546c803a643a75a,9, 0.078377336
6233fecec546c803a643a75a,18, 0.08181647
6233fed1c546c803a643a75b,8, 0.14920464
6233fed1c546c803a643a75b,17, 0.2739924
6233fed1c546c803a643a75b,18, 0.41984522
6233fed1c546c803a643a75b,20, 0.13699324
6233fed3c546c803a643a75c,8, 0.061723057
6233fed3c546c803a643a75c,9, 0.05152814
6233fed3c546c803a643a75c,17, 0.09255016
6233fed3c546c803a643a75c,18, 0.32520697
6233fed3c546c803a643a75c,19, 0.32527483
6233fed3c546c803a643a75c,20, 0.12596832
6233fed5c546c803a643a75d,1, 0.45240527
6233fed5c546c803a643a75d,7, 0.37396225
6233fed5c546c803a643a75d,9, 0.07582476
6233fed5c546c803a643a75d,18, 0.079199456
6233fed7c546c803a643a75e,8, 0.16462238
6233fed7c546c803a643a75e,17, 0.39844176
6233fed7c546c803a643a75e,18, 0.28356436
6233fed7c546c803a643a75e,20, 0.13290752
6233fff028a0c11b54da3234,7, 0.51519
6233fff028a0c11b54da3234,18, 0.13189375
6233fff028a0c11b54da3234,20, 0.33563304
6233fff228a0c11b54da3235,7, 0.29179397
6233fff228a0c11b54da3235,18, 0.15170626
6233fff228a0c11b54da3235,20, 0.536393
6233fff428a0c11b54da3236,1, 0.16825005
6233fff428a0c11b54da3236,5, 0.1097064
6233fff428a0c11b54da3236,7, 0.40479788
6233fff428a0c11b54da3236,9, 0.06367105
6233fff428a0c11b54da3236,13, 0.026788052
6233fff428a0c11b54da3236,18, 0.08519359
6233fff428a0c11b54da3236,20, 0.12737799
6233fff728a0c11b54da3237,1, 0.23921089
6233fff728a0c11b54da3237,8, 0.31201085
6233fff728a0c11b54da3237,14, 0.043101218
6233fff728a0c11b54da3237,18, 0.041249912
6233fff728a0c11b54da3237,20, 0.34683716
6233fff928a0c11b54da3238,2, 0.50736386
6233fff928a0c11b54da3238,9, 0.07164308
6233fff928a0c11b54da3238,10, 0.12785354
6233fff928a0c11b54da3238,18, 0.20448965
6233fff928a0c11b54da3238,20, 0.07024082
6233fffb28a0c11b54da3239,1, 0.48060715
6233fffb28a0c11b54da3239,2, 0.23251656
6233fffb28a0c11b54da3239,6, 0.038977366
6233fffb28a0c11b54da3239,9, 0.100447625
6233fffb28a0c11b54da3239,18, 0.12811938
6233fffe28a0c11b54da323a,7, 0.31817377
6233fffe28a0c11b54da323a,13, 0.28865677
6233fffe28a0c11b54da323a,14, 0.048400566
6233fffe28a0c11b54da323a,16, 0.056435112
6233fffe28a0c11b54da323a,18, 0.13162811
6233fffe28a0c11b54da323a,20, 0.14052853
6234000028a0c11b54da323b,1, 0.12529813
6234000028a0c11b54da323b,7, 0.37014198
6234000028a0c11b54da323b,18, 0.08717744
6234000028a0c11b54da323b,20, 0.15278748
6234000028a0c11b54da323b,21, 0.24476875
6234000228a0c11b54da323c,8, 0.25110742
6234000228a0c11b54da323c,12, 0.12930961
6234000228a0c11b54da323c,16, 0.10983481
6234000228a0c11b54da323c,18, 0.28476197
6234000228a0c11b54da323c,20, 0.20566
6234000428a0c11b54da323d,7, 0.28391695
6234000428a0c11b54da323d,9, 0.17739612
6234000428a0c11b54da323d,10, 0.26058662
6234000428a0c11b54da323d,18, 0.13031526
6234000428a0c11b54da323d,20, 0.12844376
6234000728a0c11b54da323e,4, 0.085114695
6234000728a0c11b54da323e,8, 0.12533894
6234000728a0c11b54da323e,10, 0.24849121
6234000728a0c11b54da323e,16, 0.19342606
6234000728a0c11b54da323e,18, 0.17592558
6234000728a0c11b54da323e,20, 0.15303615
6234000928a0c11b54da323f,8, 0.25548363
6234000928a0c11b54da323f,18, 0.4218445
6234000928a0c11b54da323f,20, 0.11486415
6234000928a0c11b54da323f,21, 0.18784341
6234000e28a0c11b54da3240,2, 0.33031797
6234000e28a0c11b54da3240,6, 0.029503524
6234000e28a0c11b54da3240,9, 0.056917742
6234000e28a0c11b54da3240,17, 0.23354769
6234000e28a0c11b54da3240,18, 0.23209012
6234000e28a0c11b54da3240,20, 0.10029994
6234001128a0c11b54da3241,2, 0.103342906
6234001128a0c11b54da3241,4, 0.22719923
6234001128a0c11b54da3241,10, 0.36604914
6234001128a0c11b54da3241,18, 0.17286217
6234001128a0c11b54da3241,20, 0.111681275
6234001328a0c11b54da3242,1, 0.3555502
6234001328a0c11b54da3242,4, 0.048446428
6234001328a0c11b54da3242,11, 0.4280342
6234001328a0c11b54da3242,18, 0.1431485
6234001528a0c11b54da3243,1, 0.36162016
6234001528a0c11b54da3243,6, 0.08775713
6234001528a0c11b54da3243,8, 0.19675304
6234001528a0c11b54da3243,9, 0.20118669
6234001528a0c11b54da3243,18, 0.13232666
6234001828a0c11b54da3244,4, 0.06710752
6234001828a0c11b54da3244,8, 0.3468204
6234001828a0c11b54da3244,16, 0.08852136
6234001828a0c11b54da3244,18, 0.19532165
6234001828a0c11b54da3244,20, 0.2780547
6234001a28a0c11b54da3245,7, 0.122849934
6234001a28a0c11b54da3245,18, 0.18692382
6234001a28a0c11b54da3245,20, 0.2817678
6234001a28a0c11b54da3245,21, 0.3879939
6234001c28a0c11b54da3246,1, 0.63691556
6234001c28a0c11b54da3246,8, 0.199949
6234001c28a0c11b54da3246,18, 0.14303692
6234001e28a0c11b54da3247,3, 0.28228426
6234001e28a0c11b54da3247,8, 0.221096
6234001e28a0c11b54da3247,18, 0.33588654
6234001e28a0c11b54da3247,20, 0.14169316
6234002128a0c11b54da3248,5, 0.061738018
6234002128a0c11b54da3248,8, 0.08081011
6234002128a0c11b54da3248,16, 0.5661095
6234002128a0c11b54da3248,18, 0.16172898
6234002128a0c11b54da3248,20, 0.11075818
6234002328a0c11b54da3249,7, 0.37102908
6234002328a0c11b54da3249,9, 0.05571711
6234002328a0c11b54da3249,15, 0.24905369
6234002328a0c11b54da3249,18, 0.161836
6234002328a0c11b54da3249,20, 0.1455509
6234002928a0c11b54da324a,7, 0.59576577
6234002928a0c11b54da324a,18, 0.16081254
6234002928a0c11b54da324a,20, 0.22332501
6234002b28a0c11b54da324b,2, 0.18872772
6234002b28a0c11b54da324b,9, 0.09071469
6234002b28a0c11b54da324b,16, 0.21668874
6234002b28a0c11b54da324b,18, 0.36743006
6234002b28a0c11b54da324b,20, 0.12066325
6234002d28a0c11b54da324c,1, 0.10296715
6234002d28a0c11b54da324c,2, 0.17047621
6234002d28a0c11b54da324c,3, 0.49568418
6234002d28a0c11b54da324c,12, 0.11463419
6234002d28a0c11b54da324c,18, 0.035297107
6234002d28a0c11b54da324c,20, 0.063609734
6234003028a0c11b54da324d,1, 0.13098659
6234003028a0c11b54da324d,3, 0.56220317
6234003028a0c11b54da324d,8, 0.28344166
6234003228a0c11b54da324e,1, 0.087800585
6234003228a0c11b54da324e,3, 0.5889117
6234003228a0c11b54da324e,8, 0.29991966
6234003428a0c11b54da324f,1, 0.08780328
6234003428a0c11b54da324f,3, 0.58894527
6234003428a0c11b54da324f,8, 0.2998834
6234003628a0c11b54da3250,1, 0.13495278
6234003628a0c11b54da3250,3, 0.5346309
6234003628a0c11b54da3250,8, 0.30639818
6234003928a0c11b54da3251,1, 0.09428341
6234003928a0c11b54da3251,3, 0.58659077
6234003928a0c11b54da3251,8, 0.2951073
6234003b28a0c11b54da3252,2, 0.077882275
6234003b28a0c11b54da3252,9, 0.027783398
6234003b28a0c11b54da3252,10, 0.4226103
6234003b28a0c11b54da3252,17, 0.15285783
6234003b28a0c11b54da3252,18, 0.17740858
6234003b28a0c11b54da3252,20, 0.122797295
6234003d28a0c11b54da3253,7, 0.081737556
6234003d28a0c11b54da3253,8, 0.40900707
6234003d28a0c11b54da3253,18, 0.17413816
6234003d28a0c11b54da3253,20, 0.2552177
6234003d28a0c11b54da3253,21, 0.059543405
6234004028a0c11b54da3254,2, 0.39076528
6234004028a0c11b54da3254,9, 0.06562332
6234004028a0c11b54da3254,18, 0.37202322
6234004028a0c11b54da3254,20, 0.153793
6234004228a0c11b54da3255,4, 0.3119819
6234004228a0c11b54da3255,8, 0.54976034
6234004228a0c11b54da3255,18, 0.112056665
6234004428a0c11b54da3256,1, 0.10294931
6234004428a0c11b54da3256,2, 0.17048822
6234004428a0c11b54da3256,3, 0.49569067
6234004428a0c11b54da3256,12, 0.11461254
6234004428a0c11b54da3256,18, 0.035304684
6234004428a0c11b54da3256,20, 0.06362312
6234004628a0c11b54da3257,1, 0.13099708
6234004628a0c11b54da3257,3, 0.56225514
6234004628a0c11b54da3257,8, 0.28337926
6234004928a0c11b54da3258,1, 0.08780489
6234004928a0c11b54da3258,3, 0.58896554
6234004928a0c11b54da3258,8, 0.29986155
6234004d28a0c11b54da3259,1, 0.08780095
6234004d28a0c11b54da3259,3, 0.58891624
6234004d28a0c11b54da3259,8, 0.29991478
6234004f28a0c11b54da325a,1, 0.09427554
6234004f28a0c11b54da325a,3, 0.58651596
6234004f28a0c11b54da325a,8, 0.29519
6234005228a0c11b54da325b,1, 0.13493118
6234005228a0c11b54da325b,3, 0.534507
6234005228a0c11b54da325b,8, 0.30654368
6234005428a0c11b54da325c,7, 0.49234638
6234005428a0c11b54da325c,9, 0.06098655
6234005428a0c11b54da325c,18, 0.1912813
6234005428a0c11b54da325c,20, 0.23264143
6234005628a0c11b54da325d,4, 0.062134027
6234005628a0c11b54da325d,8, 0.6497851
6234005628a0c11b54da325d,18, 0.17612718
6234005628a0c11b54da325d,20, 0.09245132
6234005828a0c11b54da325e,1, 0.1460251
6234005828a0c11b54da325e,8, 0.5823278
6234005828a0c11b54da325e,18, 0.17458026
6234005828a0c11b54da325e,20, 0.0780218
6234005b28a0c11b54da325f,2, 0.63741153
6234005b28a0c11b54da325f,7, 0.2011466
6234005b28a0c11b54da325f,11, 0.13674691
6234005d28a0c11b54da3260,8, 0.4336519
6234005d28a0c11b54da3260,18, 0.24440327
6234005d28a0c11b54da3260,20, 0.29919663
6234005f28a0c11b54da3261,1, 0.26703975
6234005f28a0c11b54da3261,2, 0.15074153
6234005f28a0c11b54da3261,4, 0.11257558
6234005f28a0c11b54da3261,6, 0.035906617
6234005f28a0c11b54da3261,18, 0.09919182
6234005f28a0c11b54da3261,20, 0.31761402
6234006128a0c11b54da3262,8, 0.3149676
6234006128a0c11b54da3262,9, 0.17902912
6234006128a0c11b54da3262,16, 0.12442876
6234006128a0c11b54da3262,18, 0.18483399
