_id,weight,orig_id,Title,Category,Description,Title_orig,Category_orig,Description_orig,relevancy score(irrelevant:0;nearly the same:5)
6162aa1fe1b7f5c73e6fe41d,-0.991348813,6162aa1fe1b7f5c73e6fe005,Provision of the appointment of training providers to develop and deliver financial management and budgeting training to Australian Public Sector (APS) staff and other interested parties.,Education and Training Services,Finance is seeking offers from organisations with the capacity and capability to provide the development and delivery of basic training in public sector financial management and budgeting.,Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,1
6162aa1fe1b7f5c73e6fe25f,-0.990115881,6162aa1fe1b7f5c73e6fe005,"THE PROVISION OF DEVELOPMENT, DELIVERY AND ASSESSMENT (INCLUDING RPL) OF THREE MODULES OF THE EMERGENCY MANAGEMENT AUSTRALIA GRADUATE CERTIFICATE IN EMERGENCY MANAGEMENT (21472VIC)",Education and Training Services,"Provision of 3 modules offered in the Graduate Certificate in Emergency Management including: Development of learning and assessment materials (in consultation with EMA staff);Delivery at the Emergency Management Australia Institute at Mount Macedon, Victoria; Assessment, including RPL.",Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,2
6162aa1fe1b7f5c73e6fe492,-0.902984932,6162aa1fe1b7f5c73e6fe005,Provision of Management and Facilitation Capabiltiy to Exercise Maestro Monash 2010,Education and Training Services,"You are invited to submit a proposal to a Request for Tender RFT014-HQ10 for the provision of a Management and Facilitation Capability for the 2 Division Command and Staff professional development through the Military Appreciation Process (MAP) and Command Post Exercise (CPX) activities for Ex Maestro Monash 2010.  The activities will be conducted at the Convention Centre, Randwick Barracks, NSW from 06 to 12 November 2010 for Headquarters 2 Division.",Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,3
6162aa1fe1b7f5c73e6fe73d,-0.882042672,6162aa1fe1b7f5c73e6fe005,Event Staging and Management Services for the Prime Minister's Prizes for Science Awards Dinner,Management advisory services,"The Department invites suitably qualified consultants/contractors  to submit a tender for the provision of  event staging and management services and supply of appropriate audio-visual and technical equipment for the Prime Minister’s Prizes for Science Awards Dinner in 2016, 2017 and 2018, with a possible extension for 2019 and 2020.",Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,5
6162aa1fe1b7f5c73e6fe6dc,-0.498896997,6162aa1fe1b7f5c73e6fe005,National Radioactive Waste Management Facility Site Characterisation Study,Management advisory services,The Department invites suitably qualified consultants/contractors to submit a response for the development of a Detailed Business Case; initial site characterisation studies and referral under the Environmental Protection and Biodiversity Conservation Act 1999; the development of a Safety Case for site selection; and the provision of community engagement and related services,Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,5
6162aa1fe1b7f5c73e6fe780,-0.49849306,6162aa1fe1b7f5c73e6fe005,Advanced Customer Aggression Training,Education and Training Services,The Department is seeking the provision of a customer aggression training course specifically developed (including course material) and delivered to the Department’s staff as needed.,Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,1
6162aa1fe1b7f5c73e6fe34a,-0.4965341,6162aa1fe1b7f5c73e6fe005,Design and Deliver a Residential Introduction to Management Course Program,Education and Training Services,Provision of the Services to Design and Deliver a Defence Science and Technology Organisation Residential Introduction to Management Course (RESMAN) Program.,Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,1
6162aa1fe1b7f5c73e6fe05f,-0.496519483,6162aa1fe1b7f5c73e6fe005,PMKEYS SOFTWARE UPGRADE,Engineering and Research and Technology Based Services,The Department of Defence is seeking suitably qualified and experienced organisations to provide Expressions of Interest for the provision of professional services relating to the upgrade of Defence`s enterprise HR system known as the Personnel Management,Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,2
6162aa1fe1b7f5c73e6fe10c,-0.49642277,6162aa1fe1b7f5c73e6fe005,TO UNDERTAKE ACCREDITED CERTIFICATE IV AND CERTIFICTE V PROCUREMENT AND CONTRACT MANAGEMENT TRAINING,Specialised educational services,Provision of accredited procurement and contract management training.,Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,1
6162aa1fe1b7f5c73e6fe198,-0.49611406,6162aa1fe1b7f5c73e6fe005,Delivery of Project Management Training,Education and Training Services,"The Commonwealth of Australia, acting through the Department of Industry, Tourism and Resources invites suitably qualified consultants/contractors to submit a proposal for delivery of Project Management Training for DITR staff.",Provision of Management Services for the Relocation of Staff and Equipment,Management advisory services,Provision of Management Services for the Relocation of Staff and Equipment,1
