weight,orig_id,orig_title,orig_category,orig_sub category,orif_description,_id,relevant_title,relevant_category,relevant_sub category,orif_description,"relevancy scoring by linnie(irrelevant,0;relevant,descend from 1 to 5)"
-0.854045045,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe7a5,Countering Violent Extremism Services Panel,Management advisory services,0,The Attorney-General's Department is seeking to develop a Countering Violent Extremism (CVE) Services Panel.? The Department proposes to establish a panel of suitably qualified and experienced providers from which it can purchase CVE services across a range of Service Categories and Sub-Categories.,1
-0.842825756,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe61d,Request for Tender for the provision of Onshore Seismic Data Acquisition and Related Services.,Earth science services,0,Refresh of Onshore Seismic Reflection Acquisition & Related Services Panel,4
-0.4397452,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe2c6,Financial Questionnaire Verification Exercise - 2007 (2006 data),Educational and research structures,0,"The Department is seeking Tenders from Accounting and/or Auditing firms capable of managing the Financial Questionnaire (FQ) Verification Exercise 2007 (2006 data).? The FQ collects financial data from all non-government schools in Australia approved to receive Australian Government General Recurrent funding.? Under the Agreement schools enter into with the Commonwealth, each programme year school authorities are required to complete the FQ using financial data from their audited accounts.? The successful tenderer will be required to verify the FQ data (submitted via DEST's Schools Service Point (SSP) website) against the audited financial data for a sample of non-government schools.",3
-0.431163563,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe569,Request for Tender to establish a Training and Resources Panel for the Financial Management Program,Education and Training Services,0,"The Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) invites suitably qualified organisations to tender for the provision of establishing a Training and Resources Panel for the Financial Management Program (FMP).",2
-0.42612642,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",62340d7428a0c11b54da3760,Residential Aged Care COVID-19 Employee Vaccination Support Grant,Aged Care,0,"The Residential Aged Care Employee Support Grant seeks to support the Residential Aged Care Sector (the Sector) in ensuring that all staff within a residential aged care facility are able to receive the COVID-19 vaccine whilst minimising the financial impact on the residential aged care provider and the individual employee.? The program will contribute towards costs incurred by eligible residential aged care providers (Providers) supplying or facilitating COVID-19 vaccinations for staff. Providers can apply for financial support in any or all of the following three categories: 
 
 Category 1: payment for each casual staff member＊s off-site vaccination (maximum of 2 doses/payments per casual staff member). This payment is a contribution towards the time casual staff are absent from the facility to receive their COVID-19 vaccination at an off-site vaccination clinic; and/or 
 Category 2: one day of paid leave for casual staff (not eligible for entitlements) receiving an on or off-site vaccination, who was rostered on for a shift within 24-48hrs after receiving a vaccination, but suffered side effects from the vaccination and were unable to attend work for this reason; and/or 
 Category 3: facilitation of either on or off-site vaccinations for all staff (e.g. transport costs or arranging for groups of staff to be vaccinated off-site). 
 
 Eligible employees include: 
 
 Categories 1, 2 and 3: casual staff for whom the residential aged care facility is their primary place of employment in the aged care sector and have been rostered on in the preceding four weeks, unless they were on annual or sick leave. 
 Category 3: all staff directly employed by the Provider. 
 
 To view the grant opportunity documents, please select the red ""GO Documents"" button on the left hand side.",0
-0.412653105,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe83d,Establishment of a Capability Support Services Panel,Education and Training Services,0,Establishment of an AFP Capability Support Services Panel (CSSP) - Service Category Six - Learning and Development Servi,4
-0.408938898,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe0dc,Financial Management Consulting and Services Panel,Management advisory services,0,Austrade is seeking to establish a panel of professional organisations that can provide a high standard of capability in the delivery of Financial Management consulting and short-term labour hire services across a range of activity areas.,2
-0.3935485,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe67b,SON2304741 Specialist Services Panel Refresh,Earth science services,0,The purpose of the approach to market is to supplement GA＊s Panel of Specialist Service Providers registered on Austender?www.tenders.gov.au?as Standing Offer Notice SON2304741,5
-0.393039842,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe522,"Panel Arrangement 每 Consumer and Financial Literacy Expert Panel 每 Subject matter experts, Industry experts and Educational technology experts",Education and Training Services,0,"Panel of expert services in teaching subject matter, consumer and financial literacy and educational technology",3
-0.376362122,6162aa1fe1b7f5c73e6fe4a1,"ATO - Refresh of Financial, Accounting, Audit and Related Services (FAARS) Panel",Management advisory services,0,"Financial, Accounting, Audit and Related Services (FAARS) Panel -Refresh of Sub Categories 1.3, 4.7, 4.8 and 4.9",6162aa1fe1b7f5c73e6fe83c,Establishment of a Capability Support Services Panel,Management advisory services,0,Establishment of an AFP Capability Support Services Panel (CSSP) - Service Category One - Business Management Services,2
