,BioText,label1,Interests,label2
0,"Dr Abdin completed his Postdoctoral Research Fellowship
from the University of British Columbia, Canada
and Monash University, Australia. The research
encompassed hydrogen microgrids, hydrogen storage
for off-grid electricity supply, and computer modelling
of all aspects of renewable energy systems from
the device to the enterprise level.  He obtained
his PhD in Engineering Physics from Griffith University,
Brisbane, Australia. The thesis focused
on modelling the principal components of hybrid energy
systems that include energy storage in the form
of hydrogen.  Before his PhD, Dr Abdin worked for
Telenor's telecommunications company as a senior
manager and was actively involved with the research
and development team for more than five years.
 He also served as a university lecturer for two
years and taught primarily Fundamental of Physics,
Semiconductor Physics, Solid-state Physics, and Digital
electronics.",,"Dr Abdin has a strong commitment to, and interest in
clean and hydrogen energy technologies; especially
generation, system integration, and improved energy
security and decarbonised world economy:  - Clean
and hydrogen energy technologies.  - Hydrogen
value chain - generation to end-use.  - Smart energy
systems.  - Energy storage.  - Advanced physics-based
modelling and simulation.  - Techno-economic,
sustainability and reliability analysis.",
2,"Professor Thushara Abhayapala received the B.E. degree
(with Honors) in Engineering in 1994 and the Ph.D.
degree in Engineering in 1999, both from the
Australian National University (ANU), Canberra. He
was the Deputy Dean of CECS between 2015-18, the
Director of the ResearchSchool of Engineering at ANU
between 2010-14 and the Leader of the Wireless
Signal Processing (WSP) Program at the National ICT
Australia (NICTA) from November 2005 to June 2007.
His research interests are in the areas of spatial
audio and acoustic signal processing, and multi-channel
signal processing. Thushara enjoys 'research
training' and thinks he is a good mentor. He
always try to improve and practice his emotional intellegence.
He has supervised 39 PhD students and
co-authored over 300 peer reviewed papers. Professor
Abhayapala was an Associate Editor of IEEE/ACM
Transactions on Audio, Speech, and Language Processing
(2013-17) and he was a Member of the Audio and
Acoustic Signal Processing Technical Committee
(2011-2016) of the IEEE Signal Processing Society.
He is a Fellow of the Engineers Australia (IEAust).
",,"Physically inspired signal processing problems in the
areas of Acoustics and Spatial Audio; Wireless
and Mobile Communications; and Bio-medical applications.
These include spatial sound-field recording
and reconstruction, broadband/ nearfield beamforming,
array signal processing, photo-acoustics, wireless
channel modelling, capacity analysis of spatial
channels, wave propagation modelling, and MIMO
systems.",
4,,,"Mixed Reality Interfaces, Telecollaboration and Teleoperation,
Mobile Computing, Auditory Displays, Integration
of Haptic/Graphic/Audio, Interaction Techniques,
Immersive Environments, Computational Photography",
12,,,"Deep Learning, Feature learning, Computer vision and
machine learning, autonomous robots (vehicles),
color",
15,,,"I have broad interests in computer vision, machine
learning and robotics. I'm currently working on geometric
and semantic scene understanding using deep
learning and probabilistic graphical models.",
16,,,"Professor Anderson's research interests have spanned
many topics in circuits, signal processing and control,
and currently his work focuses on distributed
control of multiagent systems, and localization.
A starting question in studying formations of unmanned
airborne vehicles is: if a formation is required
to maintain a certain shape--a common requirement
as it turns out--who should measure what, who
should control what, and who should communication
what and to whom? And if the formation is also
required to transit from A to B, can this be done
with a single order to a single UAV in the formation?
Subsidiary questions include: how can the functionality
of the formation be maintained if a vehicle
fails, or a communication link fails? How can
functionality be obtained when one UAV can measure
the bearing but not the range of another UAV, or
vice versa? I am focussing on the principles governing
the control and use of formations of unmanned
airborne vehicles. Much of my work is on particular
problems suggested by the Defence Science and Technology
Organization.",
17,"Dr Alex Antic is a trusted and experienced Data & Analytics
Leader, Advisor, Strategist, and a highly
sought-after Speaker, Educator & Advisory Board member.
He has a proven record of delivering innovative,
strategic and successful initiatives in industry,
government & academia, by developing and leading
high-performance teams, hands-on technical expertise,
and strategic advisory. Alex possesses a
rare blend of technical expertise and business acumen
– acting as a linchpin to help organisations achieve
their strategic goals by leveraging AI technology.
With a passion for helping organisations succeed,
Alex is dedicated to shaping Australia’s future
through the responsible use of analytics to
drive impact and change. He’s experienced at simplifying
complex technical issues, and helping organisations
create a data-driven evidence-based decision-making
culture. He has 18+ years post-PhD experience
and knowledge in areas that include Advanced
Analytics, Machine Learning, Artificial Intelligence,
Mathematics, Statistics and Quantitative Analysis,
developed across multiple domains: Federal
Government, Asset Management, Insurance, Academia,
Banking (Investment and Retail) & Consulting. Alex
was recognised in 2020 as one of the Top 10 Analytics
Leaders in Australia by IAPA (Institute of Analytics
Professionals of Australia). Judged by a
panel of analytics and business leaders, this accolade
recognises excellence in strategy, impact, advocacy,
innovation and leadership. He holds a number
of board and advisory roles across industry, government,
startups and academia, including: His qualifications
include a PhD in Applied Mathematics,
First Class Honours in Pure Mathematics, and a degree
in Computer Science. Alex also holds a government
security clearance, and along with his extensive
experience and network throughout the Federal
Government, is happy to assist APS agencies and departments.
info (at) dralexantic.com : : :",,,
20,"2017:PhD: ""Geometrical optimisation of receivers for
concentrated solar thermal systems."" at the Australian
National University (Canberra, Australia).
2010: "" "" French-Chinese double degree program, majors
in international energy project management and
economics.    Post-Master degree at Mines ParisTech
(Paris, France). M.Sc. in Thermal Engineering
at Tsinghua University (Beijing, China). 2009: M.Sc.
in Mechanical Engineering at Ecole des Mines d’Albi-Carmaux
(Albi, France).   Specialisation in Energy
systems. 2006: B.Eng. in Mechanical and Industrial
Engineering at IUT Cachan (Paris, France).
2018: Research Fellow at The Australian National University
(Canberra, Australia).Concentrated Solar
Thermal research. 2017: Research officer at The Australian
National University (Canberra, Australia).
Concentrated Solar Thermal research. 2011: Predoctoral
Researcher at IMDEA Energy (Madrid, Spain).
Simulation and material characterisation of a macro-encapsulated
hight temperature latent heat thermal
storage system. 2010: R&D Engineer at Areva Renewable
(Paris, France).  2009: ",,"Fundementally, my research is dedicated to the study
of the conversion of radiation into thermal energy
and the interaction of radiation with geometrical
structures. The key application in focus is the
conversion of concentrated solar radiation into useful
energy in Concenterated Solar Power (CSP) systems.
In CSP systems, solar radiation incident on
a concentrating optics system is focalised on a receiver
that converts it into heat at high-temperature.
The resulting heat can be used in a variety
of systems: a thermodynamic engine to produce electricity,
a chemical reactor to run thermo-chemical
processes (eg. solar fuels production), as industrial
process heat (eg. drying and cooking processes)
or stored in a thermal energy storage system for
later use (at night time or peak pricing hours on
the electricity grid for example). My objective
is to improve the economical viability of CSP systems
by improving the performance and lowering the
cost of concentrating optics and receivers. This task
requires the consideration of the whole chain
of heat-transfer processes: the emission of thermal
radiation by the sun towards the earth, the optical
concentration process, the absorption of radiation
on high-temperature absorber surfaces and the
transport of the absorbed thermal energy outside
of the receiver control volume. Concentrating optics
systems generally work within the geometrical limit
of optics and redirect solar radiation, using
reflective or refractive optics, to focal lines or
points and allowing higher temperatures and thermodynamic
efficiencies to be reached. There are fundemental
limits associatied to this process and some
of them relate to the geometrical distribution
of radiation in space. My research in concentrating
optics includes the development of optical modelling
tools and methods for existing and new concentrator
designs using open-source softwares ( ,  ).
This work makes extensive use of Monte-Carlo Ray-Tracing
(MCRT) techiques to simulate radiative fluxes
in non-ideal geometries and provide accurate
results for the design of complex systems. Typical
systems include heliostat fields, parabolic dish
concentrators, solar furnaces and hybrid versions
of these systems. In a more theoretical aspect of
my research, I study the fundemental thermodynamic
limits to the conversion of concentrated radiation
into work, analysing the consequences of the second
law of thermodynamics in concentrating and high-temperature
radiant systems. This fundemental understanding
of the irreversibilities in optical and
radiant systems can highlight their limitations
and potentially help improve their designs and efficiency.
The energy conversion process in receivers
involves coupled radiation/heat-transfer modes that
depend on the geometry of the device, materials
used and surface properties. Many avenues of research
have been suggested to improve the efficiency
of these receivers, my interest is on the geometrical
considerations involved in the design process,
both at the macroscopical and microsopical levels.
The preferred method to study non-trivial radiative
heat- transfer problems in such systems is MCRT.
MCRT can be very flexible and accurate but relatively
slow and computationally intensive. This
limitation hinders the potential for optimisation
which in turns impact the efficiency of the overall
technology. My approach to this problem is to develop
stochastic optimisation methods embedded in
MCRT to optimise receiver geometries with an affordable
computational time. In addition, by introducing
multi-objective optimisation criteria and evolutionary
algorithms, my methods can be used to refine
designs and explore the complex behaviour of high
temperature optical systems. This work borrows
techniques from the optimisation, computer science
and machine learning fields and applies them to
the design of solar energy systems. The methods developped
have been successfully used to design a 
for the Big Dish concentrator at the ANU. At the micro
and nano-scale, I am interested in studying how
high-temperature surface gratings, self-assembled
structures and photonic crystals can potentially
help to improve receiver effciencies by influencing
the spectral and directional selectivity of radiant
surfaces. This work stands at the crossroad
between optical physics, material science and thermodynamics
and explores an alternative option to efficient
high-temperature photo-thermal conversion.
: Radiative heat-transfer simulations, SG3 dish
optics and receiver simulation, receiver shape optimisation.
:P12 Receiver sub-project: geometrical
optimisation of Flux Optimised Sodium Receiver (FONaR)
concepts. P42 Solar Fuels sub-project: design
and modeling of Solar Supercritical Water Gasification
(SSWG) reactors for algae feedstock. SMILE:
Heliostat field optics modelling and receiver design
modification for a cogeneration system based in
Caicara, Brasil for the company  . ANU - Vast Solar:
Heliostat characteristaion and heliostat field
optics modeling for the company  .",
21,,,Scheduling in virtualized heterogeneous clusters,
26,,,Computational number theory and cryptography.,
31,"Professor Amanda Barnard is one of Australia's most
highly awarded computational scientists. She currently
leads research at the interface of computational
modeling, high performance supercomputing, and
applied machine learning and artificial intelligence
(AI). She was awarded her BSc (Hons) in applied
physics in 2000, and her PhD in theoretical condensed
matter physics in 2003 from RMIT University.
After graduating she accepted a Distinguished Postdoctoral
Fellow in the Center for Nanoscale Materials
at Argonne National Laboratory (USA), and the
prestigious senior research position as Violette
& Samuel Glasstone Fellow at the University of Oxford
(UK) with an Extraordinary Research Fellowship
at The Queen’s College.Prior to joining ANU she
was an ARC QEII Fellow, Office of the Chief Executive
Science Leader, and then Chief Research Scientist
in Data61 at CSIRO, between 2009 and 2020.   With
more than 20 years experience in high performance
computing and computational modeling, Prof Barnard
is an advocate and champion for computational
research in Australia and sits on boards for various
institutions, including the Advisory Board of
the Our Health in Our Hands (OHIOH) Grand Challenge
at ANU, and the external Advisory Board of ChoiceFlows
Inc. Prof Barnard is a member of the Board
of Directors for New Zealand eScience Infrastructure
(NeSI), the Expert Panel for the CRP scheme of
the National Research Foundation of Singapore. She
is the Editor-in-Chief and Chair of the International
Executive Board of Nano Futures (IOP), a member
of the Executive Advisory Board for the Journal
of Physics: Materials (IOP), the Editorial Advisory
Board of Nanoscale (RSC) and the Editorial Advisory
Board of Advance Theory and Simulation (Wiley).She
was formerly a Senior Associate Editor for Science
Advances (AAAS) from 2014-2017, and the Chair
of the Australian National Computational Merit
Allocation Scheme (NCMAS) from 2018-2019, having served
as Deputy Chair from 2016-2017, and as a committee
member since 2012.Prof Barnard is currently
the Chair of the Australasian Leadership Computing
Grants (ALCG) scheme at the National Computational
Infrastructure (NCI), a member of the Programme
Committee for Pawsey Supercomputing Centre PaCER
Scheme, and a member of the ANU Academic Board. She
has been recognised for leadership, including as
a 2017 Woman of Achievement from the Black & White
Foundation, as a Finalist for the 2015 Daily Life
Women of the Year, and was named as one of the Top
10 Business Women in Australia by the Huffington
Post in 2015. Her research has been awarded in five
scientific disciplines, includingthe 2009 Young
Scientist Prize in Computational Physics from the
International Union of Pure and Applied Physics,
the 2009 Mercedes Benz Environmental Research Award,
the 2009 Malcolm McIntosh Award from the Prime
Minister of Australia for the Physical Scientist
of the Year, the 2010 Frederick White Prize from the
Australian Academy of Sciences, the 2010 Distinguished
Lecturer Award from the IEEE South Australia,
the 2010 Eureka Prize for Scientific Research,
the 2014 ACS Nano Lectureship (Asia/Pacific) from
the American Chemical Society, the 2014 Feynman Prize
in Nanotechnology (Theory) from the Foresight
Institute, and the 2019 AMMA Medal from the Association
of Molecular Modellers of Australasia.",,,
38,,,"I have worked on automated reasoning for first-order
logic. On the more fundamental side of things I
developed calculi and implementations based on hyper
tableau, first-order DPLL (Model Evolution) and
Resolution. Many of them have been extended for equality
reasoning and reasoning modulo built-in theories,
some for non-monotonic reasoning and some
for temporal-logic model checking. Applications included
database schema reasoning, consistency-based
diagnosis, software verification, business process
analysis, and situational awareness. I am also
interested in decison making under uncertaintly from
a logical perspective. My focus is on automated
reasoning systems based on Markov Decision Processes
in combination with temporal logics, for planning
and runtime monitoring purposes. This is driven
by applications for situational awareness in industrial
operations, such as factory floors and supply
chains. ",
41,"Dr Beck leads a research group focused on integrating
nanophotonics and optoelectronic device design
for applications in solar fuels and the next generation
of photodetection technologies. She is also
Convener of theHydrogen Fuels Project in the . Dr
Beck currently holds a Discovery Early Career Researcher
Award (DECRA) from the ARC, as well as the
Future Engineering Research Leader (FERL) Fellowship
from the ANU. She joined the College of Engineering
and Computer Science at the Australian National
University as a research fellow and lecturer in
2015. She spent the previous four years as a Marie
Curie Research Fellow at ICFO - The Institute of
Photonic Sciences in Barcelona, Spain, employing
plasmonics to enhance the performance of novel optoelectronic
devices. She obtained a PhD from the ANU
in 2011, with a thesis on designing plasmonic light
trapping schemes for applications in solar cells.
She has an MSci degree in Physics from The University
of Glasgow, and was awarded the Eve and Ravenscroft
prize for the most distinguished graduate
from the Faculty of Physical Sciences. Dr Beck
tweets about optoelectronics, nano-optics, and saving
the world with renewable energy  2019-present:
Senior Lecturer and Research Fellow, Research School
of Electrical, Energy and Materials Engineering,
ANU 2015-2018: Lecturer and Research Fellow, Research
School of Engineering, ANU 2011-2014: Postdoctral
Researcher, ICFO- Institute of Photonic Science,
Barcelona, Spain 2007-2010: PhD in Nanophotonics
for light trapping, College of Engineering and
Computer Science, The Australian National University,
Australia 2002-2006: First Class MSci in Physics,
University of Glasgow, Scotland 2018:  ,ANU
Grand Challenges Scheme, Hydrogen Fuels Project Convenor,
2018: Australian Renewable Energy Agency (ARENA)
Research and Development Program Round 4: Renewable
Hydrogen for Export,  KC007 2018: ARC Discovery
Early Career Researcher Award, Research School
of Engineering, ANU, DE180100383 2016: ANU Major
Equipment Committee Grant, Research School of Engineering,
ANU, 2014: Future Engineering Research
Leader Fellowship, Research School of Engineering,
ANU, . 2011-2013: Marie Curie Incoming International
Fellowship, European FP7 People Framework, ICFO
- Institute of Photonic Science, Barcelona, Spain,
, FP7-299517-PECQDPV",,"My research spans the boundary between nano-scale optics
and photoelectrochemical/optoelectronic device
design: harnessing an improved understanding of
light-matter interactions to investigate new ways
to convert light to other forms of energy. Our research
group brings together expertise in numerical
simulations, device design and fabrication, and
advanced characterisation to demonstrate proof-of-concept
devices with the potential to impact a range
of applications; including alternative energy production,
and the next generation of photodetection
technologies. For more info on what I do, and why,
see:   **I am looking for PhD Candidates interested
in to support through the August 2020 round**",
43,"Bio Research I am doing research in the fields of Hierarchical
Task Network (HTN) Planning and Partial
Order Causal Link (POCL) Planning. I'm interested
in theoretical foundations (mostly complexity analyses),
algorithms, and heuristics of/for those fields.
For a more detailed description of my research
interests see the respective tab or check out
some of my papers. News  PhD under my supervision",,"As my doctoral thesis, my research interests span from
theory to practice -- content-wise all is concerned
with either Hierarchical Task Network (HTN)
planning or Partial Order Causal Link (POCL) planning.
Hierarchical Task Network Planning Short explanation
of HTN planning: HTN planning is an approach
to planning that's centered around problem decomposition.
We are given an initial task network --
a partially ordered set of primitive or compound
(or abstract) tasks. Primitive tasks are the actions
known from classical planning, i.e. they specify
preconditions and effects stating in which states
they are applicable and how they chance a state
if applied. Compound tasks are just abstracts of pre-defined
task networks, so they are essentially
just (parametrised) names like go(Canberra,Sydney).
The planning model specifies rules how they can
be achieved. These rules, called decomposition methods,
are simply mappings to pre-defined task networks,
which can in turn contain compound tasks. The
goal is to refine the initial task network into
a primitive one that is executable. HTN planning is
more expressive than classical planning, where this
mechanism of task decomposition does not exist.
In its most general form (as just explained) it's
undecidable. My research interests in HTN planning
are, roughly ordered by my interest: Partial Order
Causal Link (POCL) Planning Short explanation
of POCL planning: POCL planning is a technique for
solving classical panning problems, where we would
like to find a plan in order to achieve some (state-based)
goals. In POCL planning, this is done in
the space of partially ordered (also called non-linear)
plans. Search is done in a regression-like
fashion starting with the goals: select a condition
not yet achieved (called ""open"") and select an
appropriate action (i.e., with matching effect) from
the plan or model and ""document"" that goal achievement
by the insertion of a so-called causal link.
Tis procedure is repeated until a goal plan has
been found. Since search nodes are partially ordered
plans (rather than states as in standard progression
search), heuristic desingn is much more complicated.
Some more background of POCL planning: Since
roughly 15 years this kind of problem solving
is generally regarded outdated (some even say obsolete!)
because state-based progression search is
simply much more efficient nowadays. However, this
argument is a purely empirical one. Moreover, there
is a vast variety of well-informed heuristics in
classical state-based planning, but almost none
exist in POCL planning. Hence, it's interesting to
imagine where POCL could be by now if we had as well-informed
heuristics for that search as well. (Whether
this can even be is another question, as some
of my theoretical results indicate that heuristic
design is computationally harder than in the progression
setting.) Another important note to make
is that POCL techniques are still used in hierarchical
planning, as one of the few standard techniques
for solving HTN problems relies on POCL planning
techniques. My research interests in POCL planning
are, roughly ordered my interest: Practical application
Well, most that I am interested in is already
covered above as part of HTN planning: When
ever one integrates a human into the loop, several
new questions arise that need to be addressed in
a systematic way. For instance, once we have found
a solution to a problem (i.e., a plan) that plan
can be executed successfully as otherwise it wouldn't
be a solution. However, for a human it might
be a big difference in which order its actions are
executed (by him or her) since there might be a switch
of contexts that could be confusing or even
annoying. Finding a reasonable (we called it ""user-friendly"")
reordering is one such task that can be
investigated on both a formal and an empirical level.
Other related questions, as mentioned above,
are the presentation of plans on higher levels of
abstraction and the explanation of plans. Another
important aspect in the practical application of
planning technology is the planning language's level
of expressiveness. In order to solve real-world
problems, we need to be able to express time (at
the least!) or more generally functions. This will
require new formalisms, reductions, and heuristics.",
50,"Dr Bishop was an ARC Research Fellow at the ANU and
is currently a Visiting Fellow. He is also a Senior
Research Scientist in CSIRO and an Associate Professor
at the University of Technology Sydney.  
",,,
51,"Dr Black received his PhD from the ANU in 2015. From
2015 to 2018 he was a Postdoctoral Researcher at
the Eindhoven University of Technology (TU/e) in
the Netherlands. He returned to ANU as a Research
Fellow in 2018. In addition to ANU and TU/e, he has
spent time at the Energy Research Center of the
Netherlands (ECN) and at the Interuniversity Microelectronics
Center (IMEC) in Belgium.",,"My research interests are mainly in the field of photovoltaics
(solar cells), with a particular focus
on crystalline silicon. Focuses include: My publication
and citation record is available at  . I can
offer undergraduate and postgraduate research projects
in the areas above. Please contact me if interested.",
52,,,"My research credo is  , as applied to programming languages
and language implementation. Abstractions
such as memory safety are powerful tools; my research
focusses on delivering such abstractions as efficiently
as possible.",
