clus,description
2,"This is an open approach to market for a Request For Information (RFI) activity for the design, acquisition and implementation of a Future Clothing System (FCS) for the Australian Defence Force. Respondents are invited to describe their capability, capacity and expertise to deliver the FCS with options for the Commonwealth to consider, including where possible indicative costings. Responses to this RFI will inform a future Request for Tender, tentatively planned for Quarter 1 2022."
0,Refer to attached Pre-release Notice (attached document)
17,"\xa0NOTE: existing suppliers need not reapply The Department of Veterans’ Affairs (DVA) provides eligible members of the veteran community with access to quality health care and support services.\xa0 The Medical Grade Footwear (MGF) Program is an important part of DVA’s health care arrangements and is part of the Rehabilitation Appliance Program (RAP).\xa0 The MGF Program provides a nation-wide access to a wide range of MGF and related services for entitled persons. \xa0 DVA’s procurement strategy for the provision of MGF is to improve the MGF supply arrangements and reduce red tape for all stakeholders. \xa0 1. \xa0\xa0\xa0  DVA is offering agreements for the supply of MGF products and services through a simplified procurement model where all MGF suppliers who meet the minimum requirements can participate.\xa0 The key features of the model are: \xa0 DVA publishes the agreement on AusTender and its website so that all potential MGF suppliers have an opportunity to enter into an agreement with DVA. MGF suppliers who meet the pre-conditions for the agreement and certify compliance with DVA standards (ie.  The   Terms and Conditions  and  the Notes for Medical Grade Footwear Suppliers ) will be included on DVA’s list of contracted MGF suppliers.  The agreement stands indefinitely allowing new MGF suppliers to join at any time. Prices on the MGF Register and the MGF Fee Schedules are fixed prices and are non-negotiable.  DVA provides no guarantee of business. \xa0 DVA reviews the agreement, the MGF Register and the MGF Fee Schedules periodically."
2,Release of the Joint Project (JP) 9102 Request for Tender (RFT) to provide the Sovereign Satellite Communications (SATCOM) Component (SSC) for the Australian Defence Force (ADF).
2,"DSH Insurance is government-owned and administered by The Department of Veterans’ Affairs (DVA). \xa0  DSH Insurance is the only insurance scheme of its type offered by the Australian Government. \xa0  It is a benefit that has been supported for over 100 years. \xa0  It is completely self-funded through premiums, investment returns and commission received from the sale of complimentary QBE insurance products. \xa0  Today DSH Insurance provides home building insurance to all eligible serving and ex-serving Australian Defence Force members, veterans and their widows/widowers in a commercial environment and in competition with other insurers. \xa0  \xa0 This Request For Tender seeks to engage a suitably experienced organisation for the provision of Building (Residential Home) Loss Adjusting Services for Defence Service Homes (DSH) Insurance.  \xa0 DSH Insurance encourages tenders from suitably experienced organisations that have the capability to provide the specified services. \xa0  \xa0 Tenderers should ensure all tender documentation is uploaded to the correct AusTender ATM ID. \xa0 Further information about DSH Insurance is available at  www.dsh.gov.au/insurance ."
0,"The Manufacture and Supply of Insignia, Warrant Folders, and Presentation Cases for Australian Honours and Awards"
0,Intelligence Surveillance Reconnaissance and Electronic Warfare Security Services Standing Offer Panel Refresh\xa0
18,"This Request for Information (RFI) seeks feedback from industry to help shape the procurement and contracting strategy for the future provision of Base Services for the Department of Defence (Defence). The RFI is supported by an Industry Briefing that will be conducted online on 23 August 2021.\xa0 Defence is currently exploring a range of service delivery models and commercial contracting arrangements to define the next generation of Base Services arrangements through the Base Services Transformation (BST) Program. In seeking your response, Defence wishes to ensure that its planning and decision making for the BST Program occurs with the benefit of information that may be provided through collaboration with Industry Participants In conducting this RFI, Defence seeks to engage with a cross section of potential industry participants and encourages small to medium sized enterprises, indigenous businesses and local businesses to respond to this RFI and provide their views. You are under no obligation to respond to this RFI, or to attend the Industry Briefing. Non-participation will not preclude any organisation from the opportunity to participate in any future procurement activity that Defence undertakes in relation to Base Services.\xa0 The Base Services contracts provide a range of essential property, building and infrastructure and people services across Australia that are fundamental to the organisational, operational and military capability of Defence. Services are provided across 70 major Defence Sites across Australia.\xa0 The services currently delivered under Base Services contracts are: Access Control (Security Services), Accommodation Management, Airfield Management, Base Services Support Centre, Cleaning Services, Commercial operations at Woomera, Facilities Management, Food Services, Land Management (includes Grounds Maintenance), Laundry and Dry Cleaning, Management, Integration & Coordination services (as part of contract delivery), Pest and Vermin Management, Project Scheduling and Project Delivery Services, Sport and Recreation Services, Training Areas and Ranges Management, Transport Services and Waste Management Services.\xa0 Aircraft Refuelling, Retail Stores and the provision of Petrol, Oil and Lubricant products are services provided under the current contract that are not expected to be included in the scope of services for the future contracts.\xa0 Defence acknowledges that some Participants may wish to explore establishing connections with other Participants for potential teaming arrangements for any future procurement process for the Base Services Transformation Program.\xa0 To facilitate this, Defence will provide an opportunity through this RFI for industry participants to have their details collated and published on a Participant Contact List that will be available through AusTender and the Defence Base Services Transformation Program website.\xa0 Defence may choose to hold follow up meetings with industry participants to clarify and/or explore aspects of submitted responses. Defence will contact Participants should follow up meetings be required by Defence."
2,"The AAD is seeking to engage a Supplier with demonstrated capability and capacity to provide services to assist with the recruitment and selection of Expeditioners for the 2022/2023 Australian Antarctic Season (recruitment commencing in December 2021), with options to extend for an additional three one-year periods. \xa0 \xa0 More detail can be found in the Statmement of Requirement"
0,"Defence Housing Australia (DHA) invites suitably qualified businesses to join our Residential Maintenance Services Panel for floor covering cleaning, painting and property cleaning in Wodonga, Victoria. This tender only relates to residential housing maintenance/upgrade work including freestanding homes, strata units and townhouses or multi-dwelling complexes for the housing of Defence members in numerous maintenance areas across Australia. \xa0  It does not include any industrial or commercial premises. The Deed of Agreement to be entered into with successful Tenderers offers a non-exclusive contract for the provision of Residential Maintenance Services for an initial term to 30 June 2022, with one (1) option to extend for a further one (1) year. \xa0 \xa0"
