Staff ID_match,Weight,origin_staff,Colleges_match,Profile_match,Staff ID_orig,Colleges_orig,Profile_orig
Canberra00010,-0.03092156852186845,Canberra00192,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development.",Canberra00192,Nutrition & Dietetics,
Canberra00278,-0.016992819463796296,Canberra00192,Nutrition & Dietetics,"Dr Nenad Naumovski completed his Bachelor of Human Nutrition at the University of Newcastle (UoN), Ourimbah, NSW, Australia and an Honours degree (Class 1) in Human Nutrition with interest in biomarkers associated with the development of atherosclerosis (plasma thiols, B vitamins), dietary intake and cognitive functioning of elderly population residing in a retirement village. Dr Naumovski’s continued his studies by gaining a PhD in Food Science where he investigated the cholesterol lowering properties of major green tea catechin, epigallocatehin gallate (EGCG) in animal models of hypercholesterolemia as well as determining the pharmacokinetic and cholesterol lowering properties of EGCG in humans. During this time, Dr Naumovski applied his expertise in the development of functional food products and adaptation of chromatographic methods used for the analysis systemic absorption of EGCG and determination of cardiovascular disease biomarkers (sterols, blood lipids, carotenoids and tocopherols).Dr Naumovski commenced his employment at University of Canberra (UC) in 2014 where he has established a research arm investigating healthy aging trajectories, plant bioactives, psychocardiology and development of nutraceuticals. He is the member of the Future of Food in the Canberra Region group and core member of the Faculty of Health Area of Strength Ageing Research Group. Dr Naumovski is a team leader of the Functional Foods and Nutrition Research (FFNR) Laboratory and one of the Chief Investigators of the Nutrition and Healthy Ageing Trajectories in Retirement Living (NutriHAT-RL) study. He holds positions of Visiting Professor (Harokopio University, Athens, Greece), Conjoint Senior Lecturer (University of Newcastle, Australia) and Honorary Fellow (Abertay University, UK). He also leads a self-assessment team working on the improvement in gender equality in the STEMM sector as a part of the national program Science in Australia Gender Equity (SAGE).Dr Naumovski has presented at several national and international confeences and was invited guest speaker for Australian Academy of Science (Food for Thought; Alternative Food Sources), International Bipolar Foundation (Dietary Interventions and Nutraceuticals for the Management of Mental Health) and Australian Institute of Food Science and Technology (AIFST).",Canberra00192,Nutrition & Dietetics,
Canberra00257,0.006921937560242224,Canberra00192,Sport & Exercise Science,"Andrew McKune is an Associate Professor in Strength and Conditioning at UC. Prior to taking up this role he held positions in Sport and Exercise Science at Tshwane University of Technology and the University of KwaZulu-Natal. He holds qualifications in sport & exercise science, medical science (physiology), strength and conditioning (CSCS) and a doctoral degree specialising in exercise immunology.Andrew has published papers in scientific journals, has presented at international conferences and has worked with recreational and elite athletes in a sport science capacity.Research InterestsDysfunctions in the stress-response, inflammation and bioenergetic systems in mental illness: Targets for exercise and nutrition interventions?Immune/Inflammatory responses to exerciseMonitoring disease, health and adaptation to exercise using non-invasive methods e.g. heart rate variability, salivary biomarkers, Ethylene trace gas deterction, skin autofluorescenceStrategies to reduce severity of and enhance recovery from exercise-induced muscle damageUnderstanding lipolysis in response to exercise and nutrition interventions using the microdialysis technique",Canberra00192,Nutrition & Dietetics,
Canberra00119,0.010706614608629636,Canberra00192,Health Office,"Jane qualified as a Registered Nurse in 1995 in the UK. Jane's clinical practice has been in diverse areas such as orthopaedics, plastic surgery, HDU, theatre and care of the older adult. Her career then took her to primary care. She worked in General Practice and then in Nurse led Walk in Centres in the UK. Jane qualified with a Masters of Nurse Practitioner in 2009. She undertook further qualifications in prescribing and contraceptive/sexual health.In 2005 Jane became a Community Matron and set up and ran a nurse led Walk in Centre. As clinical lead she had responsibility for the centre, the staff, the care provided and the medication dispensed. She held this role until emigrating to Australia in 2008.Jane was involved in the implementation and planning of the Walk-in Centre which opened in the Act in 2010. Jane worked on a casual basis as a Nurse Practitioner at the centres until she relinquished her NP endorsement in early 2020 in order to focus on her academic career.Jane is an Associate Professor in Nursing. She is an expereinced educator, Nurse Academic, Mask-Ed™Educator, and Tedx Speaker. She was awarded the first doctorate of Nurse Practitioner in Australia in 2017 and was recently awarded Senior Fellowship of the Higher Education Academy. Jane is the Chaor of the ACT Workforce training and education working party and member of the RN OSCE Committee, a statutory appointment with AHPRA.Jane is passionate about the scholarship of teaching and learning, curriculum development, interprofessional education and collaborative practice, and innovative approaches to teaching, simulation. and technology enhanced learning. Janes research explores simualtion, empathy and clinical reasoning with a focus on patient centred care. Jane has recently undertaken further study in digital health and participated in the 2020 DHCRC Datathon.Research interestsJanes research interests includesimulation in nurse educationempahtyclinical reasoninginterprofessional educationTechnology enhanced learningVR/AR/MRAged careDementiaChronic illnessEnablmentNurse Practitioner roles",Canberra00192,Nutrition & Dietetics,
Canberra00367,0.011304634713517128,Canberra00192,Medical Radiation Science,"Madeleine Shanahan is an Associate Professor in Medical Imaging at the University of Canberra, Australia. Madeleine’s background is diagnostic radiography where she teaches and convenes units and courses. Having a sound understanding of education research, Madeleine utilises a research-led approach to design, implement and evaluate innovations in teaching and learning. Madeleine is also actively involved in research focused on new technologies within Medical Imaging. Madeleine is actively involved in the profession serving on national boards and panels and regularly presents at key national and international conferences. Madeleine is a Fellow, Australian Society of Medical Imaging and Radiation Therapy and is an Adjunct Associate Professor at RMIT University.",Canberra00192,Nutrition & Dietetics,
Canberra00210,0.011732827829105813,Canberra00192,Nutrition & Dietetics,"Tanya Lawlis is an Associate Professor in Nutrition and Dietetics in the Faculty of Health at the University of Canberra. She is a Program Director in the Faculty of Health, has oversight of the Professional Core stream and convenes the Work Integrated Learning Units in the non-clinical health programs. Tanya is aFellow of the UK Higher Education Academy (HEA), UC Centre for Excellence in Learning and Teaching Scholarship and in 2015 was awarded three Vice Chancellor’s Awards - Teaching Excellence, Citations for Outstanding Contributions to Student Learning-team award; and, USS Recognition. Tanya led a national team to review and update the National Nutrition Science Competencies and holds various positions within the Nutrition Society of Australia. She is a Registered Nutritionist with the Nutrition Society of Australia and an Accredited Nutritionist with the Dietitians Association of Australia.Tanya's research interests include:Food Security in the homeless and low socioeconomic population groups (women and children)Food literacy for low socio-economic population groups including university studentsInterprofessional education in the non-clinical and non-health domainsCompetencies for Nutrition ScienceImpact of Work-Integrated Learning on the development of employability skills and graduate outcomes",Canberra00192,Nutrition & Dietetics,
Canberra00272,0.012070380442681453,Canberra00192,Psychology,"Kristen is an Assistant Professor in Clinical Psychology within the Discipline of Psychology. She is a Clinical Psychologist whose primary clinical and research interests focus on body image, obesity, chronic disease, health behaviour change and eating disorders. Her PhD investigated the relationship between stress during adolescence and young adulthood and body dissatisfaction. She has also worked onfunded projectsevaluating and disseminating the evidence base for ehealth intervention programs, designing and evaluating an ipad application to track therapeutic progress in a youth mental health service, andassessing the effectiveness of support people in obesity management. Dr Murrayhas an interest in clinical and health psychology, specificallythe aetiology, assessment and intervention of issues relating tobody image, obesity, chronic disease, health behaviour change and eating disorders. She also undertakes research focused onstress and mental health, interprofessional practice, andclinical innovation.Dr Murrayhas worked as a Clinical Psychologist in both public and private settings, as well as part of multidisciplinary teams, and is an AHPRA accredited supervisor.",Canberra00192,Nutrition & Dietetics,
Canberra00201,0.013990103871992034,Canberra00192,Nutrition & Dietetics,,Canberra00192,Nutrition & Dietetics,
Canberra00189,0.015464996693953112,Canberra00192,Health Office,"BiographyRichard completed his MSc and PhD at Loughborough University, and before that, a degree in Psychology at the University of Bristol. His research focuses on four key areas: motivational processes in sport and exercise; physical literacy; applied sport psychology practice; and psychological resilience. He has published 28 peer reviewed academic papers, 2 books and 13 book chapters, as well as reports for state and Federal governments.Richard is a Fellow of the Higher Education Academy, and has served as Chair of Teaching and Learning in two university departments. His approach to education focuses on stimulating the co-creation of innovative and science-inspired products, as an explicit reaction against casting students as passive consumers of information: helping students to develop the key employability skills of critical, independent thinking, and reflective practice. His teaching spans face-to-face delivery, as well as online and flexible platforms, such as YouTube, Twitter, GoogleDocs (to host open data collection); and blogging platforms to encourage public engagement.Richard is a qualified sport and exercise psychologist, who has worked with athletes across the full range of levels (from beginners to world champions), and in a range of sports (from athletics and snow-sports to motorsport and officiating). His book “Being a Sport Psychologist” focuses on understanding the role of practicing sport psychologists, and he retains strong links with the AIS and other local service providers. This experience helps to ensure the real-world applicability of Richard’s research, as well as embedding work-integrated learning opportunities in his teaching.In his spare time he enjoys playing squash and touch football, and spending time with his young family.Areas of TeachingRichard teaches all the psychology-related units within the discipline of sport and exercise sciences; including:*Sport and Exercise Psychology (Year 1, Semester 1)*Sport and Performance Psychology (Year 2, Semester 2)*Resilience and Decision Making (Year 3 and/or Masters, Semester 1)He has also taught, and continues to contribute to the following units:*Motor Control and Skill Acquisition (Year 1, Semester 1) *Research Methods for Honours (Honours, Semester 1)*Research Methods for Masters (Masters in High Performance Sport); and*Neuromuscular Conditions and Rehabilitation (Ex, Phys. Year 4)Research InterestsRichard’s research focuses on four key areas: *motivation; *physical literacy; *psychological resilience; and*applied sport psychology practiceRichard is the HDR convenor for both the Faculty of Health and UC-RISE, and spent two years establishing the research seminars series run by both groups. He also sits on the Faculty of Health Research Committee.",Canberra00192,Nutrition & Dietetics,
Canberra00407,0.0180034123132266,Canberra00192,Sport & Exercise Science,Kellie Toohey is an Accredited Exercise Physiologist who completed her PhD in Exercise Oncology and her Master'sdegree in Clinical Exercise Physiology. Kellie is clinically active as an Accredited Exercise Physiologist and researcher across many populations with a keen interest in rehabilitation. Kellie's PhD investigated the Effects of Exercise Intensity on Health Outcomes and Cardiovascular Disease Risk in Cancer Survivors. Kellie is a Clinical Assistant Professor (Exercise Physiology).,Canberra00192,Nutrition & Dietetics,
Canberra00119,0.0045565844865127145,Canberra00010,Health Office,"Jane qualified as a Registered Nurse in 1995 in the UK. Jane's clinical practice has been in diverse areas such as orthopaedics, plastic surgery, HDU, theatre and care of the older adult. Her career then took her to primary care. She worked in General Practice and then in Nurse led Walk in Centres in the UK. Jane qualified with a Masters of Nurse Practitioner in 2009. She undertook further qualifications in prescribing and contraceptive/sexual health.In 2005 Jane became a Community Matron and set up and ran a nurse led Walk in Centre. As clinical lead she had responsibility for the centre, the staff, the care provided and the medication dispensed. She held this role until emigrating to Australia in 2008.Jane was involved in the implementation and planning of the Walk-in Centre which opened in the Act in 2010. Jane worked on a casual basis as a Nurse Practitioner at the centres until she relinquished her NP endorsement in early 2020 in order to focus on her academic career.Jane is an Associate Professor in Nursing. She is an expereinced educator, Nurse Academic, Mask-Ed™Educator, and Tedx Speaker. She was awarded the first doctorate of Nurse Practitioner in Australia in 2017 and was recently awarded Senior Fellowship of the Higher Education Academy. Jane is the Chaor of the ACT Workforce training and education working party and member of the RN OSCE Committee, a statutory appointment with AHPRA.Jane is passionate about the scholarship of teaching and learning, curriculum development, interprofessional education and collaborative practice, and innovative approaches to teaching, simulation. and technology enhanced learning. Janes research explores simualtion, empathy and clinical reasoning with a focus on patient centred care. Jane has recently undertaken further study in digital health and participated in the 2020 DHCRC Datathon.Research interestsJanes research interests includesimulation in nurse educationempahtyclinical reasoninginterprofessional educationTechnology enhanced learningVR/AR/MRAged careDementiaChronic illnessEnablmentNurse Practitioner roles",Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00367,-0.005851161423983273,Canberra00010,Medical Radiation Science,"Madeleine Shanahan is an Associate Professor in Medical Imaging at the University of Canberra, Australia. Madeleine’s background is diagnostic radiography where she teaches and convenes units and courses. Having a sound understanding of education research, Madeleine utilises a research-led approach to design, implement and evaluate innovations in teaching and learning. Madeleine is also actively involved in research focused on new technologies within Medical Imaging. Madeleine is actively involved in the profession serving on national boards and panels and regularly presents at key national and international conferences. Madeleine is a Fellow, Australian Society of Medical Imaging and Radiation Therapy and is an Adjunct Associate Professor at RMIT University.",Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00210,0.012247600109581609,Canberra00010,Nutrition & Dietetics,"Tanya Lawlis is an Associate Professor in Nutrition and Dietetics in the Faculty of Health at the University of Canberra. She is a Program Director in the Faculty of Health, has oversight of the Professional Core stream and convenes the Work Integrated Learning Units in the non-clinical health programs. Tanya is aFellow of the UK Higher Education Academy (HEA), UC Centre for Excellence in Learning and Teaching Scholarship and in 2015 was awarded three Vice Chancellor’s Awards - Teaching Excellence, Citations for Outstanding Contributions to Student Learning-team award; and, USS Recognition. Tanya led a national team to review and update the National Nutrition Science Competencies and holds various positions within the Nutrition Society of Australia. She is a Registered Nutritionist with the Nutrition Society of Australia and an Accredited Nutritionist with the Dietitians Association of Australia.Tanya's research interests include:Food Security in the homeless and low socioeconomic population groups (women and children)Food literacy for low socio-economic population groups including university studentsInterprofessional education in the non-clinical and non-health domainsCompetencies for Nutrition ScienceImpact of Work-Integrated Learning on the development of employability skills and graduate outcomes",Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00272,0.009318521741379773,Canberra00010,Psychology,"Kristen is an Assistant Professor in Clinical Psychology within the Discipline of Psychology. She is a Clinical Psychologist whose primary clinical and research interests focus on body image, obesity, chronic disease, health behaviour change and eating disorders. Her PhD investigated the relationship between stress during adolescence and young adulthood and body dissatisfaction. She has also worked onfunded projectsevaluating and disseminating the evidence base for ehealth intervention programs, designing and evaluating an ipad application to track therapeutic progress in a youth mental health service, andassessing the effectiveness of support people in obesity management. Dr Murrayhas an interest in clinical and health psychology, specificallythe aetiology, assessment and intervention of issues relating tobody image, obesity, chronic disease, health behaviour change and eating disorders. She also undertakes research focused onstress and mental health, interprofessional practice, andclinical innovation.Dr Murrayhas worked as a Clinical Psychologist in both public and private settings, as well as part of multidisciplinary teams, and is an AHPRA accredited supervisor.",Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00201,-0.02434521221915397,Canberra00010,Nutrition & Dietetics,,Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00192,-0.03092156852186845,Canberra00010,Nutrition & Dietetics,,Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00340,-0.00865592690550615,Canberra00010,Nursing,,Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00339,0.005514571590487544,Canberra00010,Nursing,"Professor Michael Roche is a nurse researcher and educator with experience in mental healthclinical, education, IT and management positions in the public health system. He has undertaken wide-ranging research that has investigated the the links between the nursing practice environment and patient, nurse and system outcomes. He has explored the influence of the practice environment on the therapeutic relationships of nurses working in mental health, nursing workload, skill mix, and patient outcomes, nursing turnover, the role of Assistants in Nursing in mental health and other settings, the use of primary health care services by homeless men, the impact of parenting programs for incarcerated parents, strengthening the safety culture of mental health units, improving retention of mental health nurses, and exploring the experiences of nurses and midwives with mental health or drug and alcohol problems. Michael has over 100 research outputs including publications in peer-reviewed journals, book chapters, and international conference presentations. He has written numerous reports and papers for government bodies and health services. He is a member of the editorial board of Collegian and of the workforce sustainability policy chapter of the Australian College of Nursing. Michael has a strong record in researcher development and supervises PhD, Masters and Honours students studying aspects of mental health nursing, the practice environment, nurse outcomes, workplace violence, and nursing leadership.",Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00031,0.008184913319595262,Canberra00010,Canberra Law School,"Doris Bozin is a Clinical Assistant Professor in Law at the University of Canberra. She has practical experience as a legal and dispute resolution practitioner, both in the public and private organisations. As an academic she has experience in teaching at both undergraduate and postgraduate level in a wide range of law subjects. She has also contributed to the development of work integrated learning programs within the University of Canberra law and justice degrees. Doris’s research areas of expertise include the impact of privatising civil dispute resolution processes on the Australian legal and justice system, and the value of interdisciplinary problem-based learning in legal education. Doris has disseminated the results of her research in international and domestic conferences, and academic journals. Doris approach is to apply an epistemological paradigm to expand her research contribution in these areas. Doris welcomes international and national research collaborations in these areas.",Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
Canberra00176,0.010919135312079237,Canberra00010,Occupational Therapy,"Stephen is an occupational therapy academic with research interests in post stroke rehabilitation, driver rehabilitation, dementia care, public health and occupational therapy education. He is the Discipline Lead of Occupational Therapy at the University of Canberra and teaches into the Master and Bachelor of Occupational Therapy courses. Previously, he held senior clinical positions in ACT Health, primarily in aged care and adult neurological rehabilitation. He has been awarded grants of over $3,000,000 including being the Chief Investigator on successful grant applications from Health Workforce Australia, the Dementia Collaboration Research Centre and from the National Health and Medical Reseacrh Council as an Associate Investigator.ResearchInterestsPost stroke rehabilitationDementia careOccupational therapy educationDriver rehabilitation",Canberra00010,Nutrition & Dietetics,"Rachel Bacon is an Associate Professor in Nutrition and Dietetics at the University of Canberra (UC) in the Faculty of Health at the University of Canberra. She has over 20 years experience as a dietitian and is an Advanced Accredited Practising Dietitian (AdvAPD) with the Dietitian Association of Australia.Areas ofTeachingRachel is a Fellow of the Academy of Higher Education and has received numerous research and teaching awards for her contribution to health education and work integrated learning including a national citation from the Office of Teaching and Learning. She was responsible for the establishment of the UC student-led dietetics clinics including outreach services to aged care facilities. Rachel convenes all the work-integrated learning and teaches Counselling and Communication in the Masters of Nutrition and Dietetics.ResearchInterestsRachel’s research interests are in clinical dietetics – aged care, oncology and mental health; communication, counselling and behavior change; and education – programmatic assessment, interprofessional education, Aboriginal and / or Torres Strait Islander perspectives and pedagogies and workforce development."
