Staff ID,value,weight
Canberra00380,STUDIES IN HUMAN SOCIETY,29.71
Canberra00106,STUDIES IN HUMAN SOCIETY,27.61
Canberra00145,BIOLOGICAL,24.87
Canberra00181,STUDIES IN HUMAN SOCIETY,23.19
Canberra00356,BIOLOGICAL,23.03
Canberra00093,STUDIES IN HUMAN SOCIETY,22.45
Canberra00433,STUDIES IN HUMAN SOCIETY,21.75
Canberra00133,BIOLOGICAL,21.37
Canberra00150,STUDIES IN HUMAN SOCIETY,20.7
Canberra00320,STUDIES IN HUMAN SOCIETY,20.41
Canberra00256,STUDIES IN HUMAN SOCIETY,19.93
Canberra00094,BIOLOGICAL,18.65
Canberra00414,BIOLOGICAL,18.32
Canberra00149,STUDIES IN HUMAN SOCIETY,18.16
Canberra00080,STUDIES IN HUMAN SOCIETY,17.97
Canberra00095,EARTH,17.57
Canberra00399,BIOLOGICAL,16.95
Canberra00073,STUDIES IN HUMAN SOCIETY,16.95
Canberra00062,BIOLOGICAL,16.35
Canberra00343,STUDIES IN HUMAN SOCIETY,16.21
Canberra00381,STUDIES IN HUMAN SOCIETY,16.07
Canberra00192,MEDICAL AND HEALTH,16.07
Canberra00008,STUDIES IN HUMAN SOCIETY,15.9
Canberra00360,STUDIES IN HUMAN SOCIETY,15.42
Canberra00121,STUDIES IN CREATIVE ARTS AND WRITING,15.42
Canberra00399,EARTH,14.68
Canberra00087,STUDIES IN HUMAN SOCIETY,14.65
Canberra00382,EDUCATION,14.65
Canberra00039,STUDIES IN HUMAN SOCIETY,14.33
Canberra00095,BIOLOGICAL,13.55
Canberra00170,OTHERS(IRRELEVANT),13.34
Canberra00223,BIOLOGICAL,13.28
Canberra00123,STUDIES IN HUMAN SOCIETY,13.14
Canberra00170,STUDIES IN HUMAN SOCIETY,13.1
Canberra00127,STUDIES IN HUMAN SOCIETY,13.03
Canberra00286,EDUCATION,13.01
Canberra00122,BIOLOGICAL,12.83
Canberra00262,STUDIES IN HUMAN SOCIETY,12.83
Canberra00331,STUDIES IN HUMAN SOCIETY,12.81
Canberra00419,STUDIES IN HUMAN SOCIETY,12.74
Canberra00374,OTHERS(IRRELEVANT),12.71
Canberra00360,OTHERS(IRRELEVANT),12.6
Canberra00010,MEDICAL AND HEALTH,12.54
Canberra00220,STUDIES IN HUMAN SOCIETY,12.4
Canberra00317,STUDIES IN HUMAN SOCIETY,12.32
Canberra00019,STUDIES IN HUMAN SOCIETY,12.29
Canberra00284,BIOLOGICAL,12.26
Canberra00300,BIOLOGICAL,12.16
Canberra00162,STUDIES IN HUMAN SOCIETY,12.16
Canberra00427,STUDIES IN HUMAN SOCIETY,12.13
Canberra00290,STUDIES IN HUMAN SOCIETY,12.06
Canberra00213,OTHERS(IRRELEVANT),11.94
Canberra00084,BIOLOGICAL,11.61
Canberra00297,STUDIES IN HUMAN SOCIETY,11.59
Canberra00213,EDUCATION,11.48
Canberra00342,STUDIES IN HUMAN SOCIETY,11.43
Canberra00163,BIOLOGICAL,11.23
Canberra00145,EARTH,11.16
Canberra00377,STUDIES IN HUMAN SOCIETY,11.03
Canberra00284,EARTH,11.01
Canberra00039,OTHERS(IRRELEVANT),11.01
Canberra00126,BIOLOGICAL,10.99
Canberra00106,OTHERS(IRRELEVANT),10.98
Canberra00414,EARTH,10.9
Canberra00392,OTHERS(IRRELEVANT),10.83
Canberra00223,EARTH,10.74
Canberra00213,STUDIES IN HUMAN SOCIETY,10.74
Canberra00284,OTHERS(RELEVANT),10.71
Canberra00107,BIOLOGICAL,10.7
Canberra00042,MEDICAL AND HEALTH,10.62
Canberra00029,STUDIES IN HUMAN SOCIETY,10.55
Canberra00287,STUDIES IN HUMAN SOCIETY,10.44
Canberra00399,ENVIRONMENTAL,10.33
Canberra00251,MEDICAL AND HEALTH,10.21
