Title,Description,key_0,key_1,key_2,key_3,key_4,Note: The highlighted sections are the keywords I find useful
NOIE - National Information Research Proposals,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,inform,infrastructur,research,nation,nii,"suggested:""research,protection,national infrastructure,information"""
ABC - Project Management Training Services,The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training.,manag,project,abc,train,coursewar,
NOIE Business and Technical Consultancy,Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program’s Community Based Broker Projects (CBBP). ,broker,fund,ccif,consult,demand,"suggested:""business,consultancy,application,CCIF,CBBP"""
ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY,The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth.,consult,abc,reloc,exist,perth,"suggested:""ABC,consultancy,management,relocation,company"""
"ICT, Organisation and Management – The Strategic Management of Technology","The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management.",ict,consult,economi,inform,organis,"suggested:""consultancy,nexus,ICT,organization,management"""
The Role of ICT in Australia’s Economic Performance: Investigation of assumptions influencing the productivity estimates,The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia’s market sector.,australia,econom,economi,product,ict,"suggested: ""ICT, productivity, growth, Australia, macroeconomic"""
NOIE - Consultancy Services to conduct a survey of Government e-procurement activity,NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government.,govern,noie,survey,procur,consult,"suggested: ""NOIE,consultancy, government,e-procurement,initiative"""
NOIE - National Government Interoperability Framework,"This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework.",interoper,govern,nation,framework,guidelin,"suggested:""government, interoperability,standard,policy,guideline"""
Civilian Accreditation & Re-accred of RAN Training,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",accredit,au,ad,civilian,opportun,
ADF Residential Treatment Facility - RAAF Richmond,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",adf,facil,raaf,residenti,austend,
Phillipines Human Resource Development Facility,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",phillipin,austend,ad,resourc,develop,
Facilities Management - Technical Drawing Office,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",austend,au,migrat,facil,manag,
Evaluate the Impact of Accreditation...,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",accredit,austend,ad,opportun,publish,
Review of Aboriginal Drug and Alcohol Council (ADA,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",aborigin,alcohol,drug,council,austend,
Procurement of Services,External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training,train,trade,avion,aircraft,raaf,"suggested:""evaluation,avionics,aircraft,trade,training"""
Endeavour Language Teacher Fellowships Programme,Management of Endeavour Language Teacher Fellowships,languag,teacher,endeavour,fellowship,programm,
Review for the National Diabetes Services Scheme,Review for the National Diabetes Services Scheme,diabet,servic,scheme,review,nation,
National Review of School Music Education,"A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music.",music,australian,govern,learn,teach,"suggested:""school,music,education,quality,status"""
Environmental Service Provision - Indian Ocean Territories,Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands,environment,provis,commonwealth,island,territori,"suggested:""environmental,service,provision,territories,island"""
Private Financing Advisory Services Panel,Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method.,advisori,financ,privat,servic,panel,
