Tags,Weight,Staff ID,tagsType
Wireless sensor networks,100%,Canberra00000,StaffTags
Internet of things,93%,Canberra00000,StaffTags
Big data,65%,Canberra00000,StaffTags
Data Analytics,63%,Canberra00000,StaffTags
Profitability,55%,Canberra00000,StaffTags
Data compression,50%,Canberra00000,StaffTags
Sensors,45%,Canberra00000,StaffTags
Machine learning,45%,Canberra00000,StaffTags
Jamming,45%,Canberra00000,StaffTags
Mobile computing,44%,Canberra00000,StaffTags
Neural networks,43%,Canberra00000,StaffTags
Sensor nodes,36%,Canberra00000,StaffTags
Learning algorithms,35%,Canberra00000,StaffTags
Accelerometers,33%,Canberra00000,StaffTags
Costs,32%,Canberra00000,StaffTags
Deep learning,29%,Canberra00000,StaffTags
Cellular telephones,27%,Canberra00000,StaffTags
Boats,27%,Canberra00000,StaffTags
Crops,26%,Canberra00000,StaffTags
Convolution,23%,Canberra00000,StaffTags
Electric sparks,23%,Canberra00000,StaffTags
Glossaries,22%,Canberra00000,StaffTags
Sales,22%,Canberra00000,StaffTags
Network architecture,22%,Canberra00000,StaffTags
Information management,21%,Canberra00000,StaffTags
Signal reconstruction,17%,Canberra00000,StaffTags
Monitoring,13%,Canberra00000,StaffTags
Backpropagation,11%,Canberra00000,StaffTags
Mobile robots,10%,Canberra00000,StaffTags
Energy utilization,9%,Canberra00000,StaffTags
Game theory,9%,Canberra00000,StaffTags
Statistics,8%,Canberra00000,StaffTags
Energy Metabolism,7%,Canberra00000,StaffTags
Agglomeration,6%,Canberra00000,StaffTags
Data Science,6%,Canberra00000,StaffTags
Energy resources,5%,Canberra00000,StaffTags
Stochastic systems,5%,Canberra00000,StaffTags
Smartphones,5%,Canberra00000,StaffTags
Large dataset,5%,Canberra00000,StaffTags
Sensor networks,5%,Canberra00000,StaffTags
Mobile Devices,42%,Canberra00000,StaffTags
Wireless Sensor Networks,34%,Canberra00000,StaffTags
Sensing,31%,Canberra00000,StaffTags
Data Compression,29%,Canberra00000,StaffTags
Policy,22%,Canberra00000,StaffTags
Error Bounds,20%,Canberra00000,StaffTags
Q-learning,19%,Canberra00000,StaffTags
Markov Decision Process,14%,Canberra00000,StaffTags
Stochastic Optimization,13%,Canberra00000,StaffTags
User Experience,11%,Canberra00000,StaffTags
Motion Tracking,11%,Canberra00000,StaffTags
Accelerometer,9%,Canberra00000,StaffTags
Submodularity,8%,Canberra00000,StaffTags
Data Aggregation,8%,Canberra00000,StaffTags
Lagrangian Relaxation,7%,Canberra00000,StaffTags
Experimental Validation,7%,Canberra00000,StaffTags
Convergence Speed,7%,Canberra00000,StaffTags
Gateway,7%,Canberra00000,StaffTags
Proliferation,7%,Canberra00000,StaffTags
Temporal Correlation,7%,Canberra00000,StaffTags
Data Fusion,7%,Canberra00000,StaffTags
Energy Consumption,7%,Canberra00000,StaffTags
Learning Algorithm,6%,Canberra00000,StaffTags
Sensor,6%,Canberra00000,StaffTags
Optimal Policy,6%,Canberra00000,StaffTags
Spatial Correlation,6%,Canberra00000,StaffTags
Inconsistent,6%,Canberra00000,StaffTags
Spatial Data,6%,Canberra00000,StaffTags
Dimensionality Reduction,6%,Canberra00000,StaffTags
Congestion,5%,Canberra00000,StaffTags
Learning,5%,Canberra00000,StaffTags
teacher,100%,Canberra00001,StaffTags
refugee,45%,Canberra00001,StaffTags
literacy,87%,Canberra00001,StaffTags
English language,63%,Canberra00001,StaffTags
Teaching,63%,Canberra00001,StaffTags
right to speak,51%,Canberra00001,StaffTags
education,7%,Canberra00001,StaffTags
classroom,49%,Canberra00001,StaffTags
feature film,47%,Canberra00001,StaffTags
educator,43%,Canberra00001,StaffTags
multimodality,42%,Canberra00001,StaffTags
student,27%,Canberra00001,StaffTags
digital divide,35%,Canberra00001,StaffTags
movies,34%,Canberra00001,StaffTags
computer game,32%,Canberra00001,StaffTags
genre,29%,Canberra00001,StaffTags
new technology,26%,Canberra00001,StaffTags
communication technology,26%,Canberra00001,StaffTags
participation,8%,Canberra00001,StaffTags
linguistics,25%,Canberra00001,StaffTags
autonomy,23%,Canberra00001,StaffTags
immigrant,23%,Canberra00001,StaffTags
university,22%,Canberra00001,StaffTags
mathematics,22%,Canberra00001,StaffTags
experience,20%,Canberra00001,StaffTags
Internet,20%,Canberra00001,StaffTags
reform,19%,Canberra00001,StaffTags
communication,17%,Canberra00001,StaffTags
resettlement,14%,Canberra00001,StaffTags
Group,13%,Canberra00001,StaffTags
social status,10%,Canberra00001,StaffTags
semiotics,10%,Canberra00001,StaffTags
induction,10%,Canberra00001,StaffTags
Access to schools,9%,Canberra00001,StaffTags
colloquial,9%,Canberra00001,StaffTags
long-term commitment,9%,Canberra00001,StaffTags
political intervention,8%,Canberra00001,StaffTags
UNHCR,8%,Canberra00001,StaffTags
secondary school,8%,Canberra00001,StaffTags
learning to read,7%,Canberra00001,StaffTags
Humanitarian programs,7%,Canberra00001,StaffTags
written language,7%,Canberra00001,StaffTags
narrative,7%,Canberra00001,StaffTags
profession,7%,Canberra00001,StaffTags
staff,7%,Canberra00001,StaffTags
learning,7%,Canberra00001,StaffTags
political agenda,7%,Canberra00001,StaffTags
spoken language,7%,Canberra00001,StaffTags
leader,6%,Canberra00001,StaffTags
Teacher Response,64%,Canberra00001,StaffTags
Literacy,63%,Canberra00001,StaffTags
English Language Learners,60%,Canberra00001,StaffTags
Writing Development,52%,Canberra00001,StaffTags
Education Reform,49%,Canberra00001,StaffTags
Teacher Education,48%,Canberra00001,StaffTags
Education Policy,47%,Canberra00001,StaffTags
Spelling,34%,Canberra00001,StaffTags
Autonomy,29%,Canberra00001,StaffTags
Agenda,26%,Canberra00001,StaffTags
Teacher Preparation,22%,Canberra00001,StaffTags
Pedagogy,12%,Canberra00001,StaffTags
Teacher Knowledge,11%,Canberra00001,StaffTags
English Medium,10%,Canberra00001,StaffTags
Teaching Strategies,10%,Canberra00001,StaffTags
Teaching Writing,9%,Canberra00001,StaffTags
Language Skills,9%,Canberra00001,StaffTags
Teaching English,9%,Canberra00001,StaffTags
Child Studies,9%,Canberra00001,StaffTags
Primary School,8%,Canberra00001,StaffTags
Text Type,8%,Canberra00001,StaffTags
Graduation,7%,Canberra00001,StaffTags
Cultural Background,7%,Canberra00001,StaffTags
Convert,6%,Canberra00001,StaffTags
Language,5%,Canberra00001,StaffTags
school,28%,Canberra00001,StaffTags
transition,20%,Canberra00001,StaffTags
higher education,18%,Canberra00001,StaffTags
socioeconomic status,17%,Canberra00001,StaffTags
forced migration,7%,Canberra00001,StaffTags
educational attainment,7%,Canberra00001,StaffTags
pedagogy,7%,Canberra00001,StaffTags
citizenship,7%,Canberra00001,StaffTags
Commonwealth of Nations,6%,Canberra00001,StaffTags
federal government,5%,Canberra00001,StaffTags
immigration,5%,Canberra00001,StaffTags
demography,5%,Canberra00001,StaffTags
Menopause,100%,Canberra00002,StaffTags
Frontotemporal Dementia With Motor Neuron Disease,61%,Canberra00002,StaffTags
Growth Differentiation Factor 15,61%,Canberra00002,StaffTags
Meta-Analysis,60%,Canberra00002,StaffTags
Fats,59%,Canberra00002,StaffTags
Menstruation,44%,Canberra00002,StaffTags
Transforming Growth Factors,41%,Canberra00002,StaffTags
Confidence Intervals,37%,Canberra00002,StaffTags
Knockout Mice,36%,Canberra00002,StaffTags
Atrophy,34%,Canberra00002,StaffTags
Waist-Hip Ratio,33%,Canberra00002,StaffTags
Hippocampus,31%,Canberra00002,StaffTags
Systematic Reviews,30%,Canberra00002,StaffTags
Overweight,29%,Canberra00002,StaffTags
Waist Circumference,29%,Canberra00002,StaffTags
Obesity,27%,Canberra00002,StaffTags
Lipids,25%,Canberra00002,StaffTags
Brain,25%,Canberra00002,StaffTags
Cytokines,24%,Canberra00002,StaffTags
Body Mass Index,20%,Canberra00002,StaffTags
Weights and Measures,20%,Canberra00002,StaffTags
Gyrus Cinguli,20%,Canberra00002,StaffTags
Motor Cortex,19%,Canberra00002,StaffTags
Social Behavior,17%,Canberra00002,StaffTags
Sensory Gating,13%,Canberra00002,StaffTags
Menarche,13%,Canberra00002,StaffTags
Prefrontal Cortex,12%,Canberra00002,StaffTags
Conditioning (Psychology),10%,Canberra00002,StaffTags
Locomotion,9%,Canberra00002,StaffTags
Fear,8%,Canberra00002,StaffTags
Adiposity,7%,Canberra00002,StaffTags
Anxiety,7%,Canberra00002,StaffTags
Prepulse Inhibition,6%,Canberra00002,StaffTags
Temporal Lobe,6%,Canberra00002,StaffTags
Stroke,5%,Canberra00002,StaffTags
Spatial Memory,5%,Canberra00002,StaffTags
HDL Lipoproteins,5%,Canberra00002,StaffTags
LDL Lipoproteins,5%,Canberra00002,StaffTags
Software,5%,Canberra00002,StaffTags
growth differentiation factors,62%,Canberra00002,StaffTags
transforming growth factors,52%,Canberra00002,StaffTags
cytokines,37%,Canberra00002,StaffTags
macrophages,35%,Canberra00002,StaffTags
animal models,34%,Canberra00002,StaffTags
social behavior,23%,Canberra00002,StaffTags
mice,22%,Canberra00002,StaffTags
anxiety,18%,Canberra00002,StaffTags
conditioned behavior,18%,Canberra00002,StaffTags
fearfulness,17%,Canberra00002,StaffTags
locomotion,15%,Canberra00002,StaffTags
adiposity,10%,Canberra00002,StaffTags
physical activity,9%,Canberra00002,StaffTags
cerebrospinal fluid,9%,Canberra00002,StaffTags
energy expenditure,8%,Canberra00002,StaffTags
neurotransmitters,8%,Canberra00002,StaffTags
food intake,7%,Canberra00002,StaffTags
stress response,6%,Canberra00002,StaffTags
testing,6%,Canberra00002,StaffTags
electronics,27%,Canberra00002,StaffTags
