Name,ID,attributes
Expression of Interest - Building Maintenance and Project Works Panel,PSC001376,"{'ATM ID': 'PSC001376', 'Agency': 'Australian Nuclear Science and Technology Organisation', 'Category': '72100000 - Building construction and support and maintenance and repair services', 'Close Date & Time': '27-Aug-2021 4:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '28-Jul-2021', 'Location': 'NSW  Sydney', 'ATM Type': 'Expression of Interest', 'Multi Agency Access': 'No', 'Panel Arrangement': 'Yes', 'Multi-stage': 'Yes', 'Multi-stage Criteria': '1. Expression of Interest to select a panel2. Request for Tender', 'Description': 'To support the ongoing building upgrade and refurbishment needs of ANSTO, a Building Maintenance and Project Works Panel is to be established. The panel arrangement will include pre-qualified limited number of Contractors who will have the opportunity to quote and deliver individual work packages as defined by work order processes. This contract is for a three (3) year period, with options for a further 1 + 1 year renegotiated extensions from the date of contract acceptance, though it is subject to an annual review of the on-going requirements of ANSTO and the Contractor’s performance. This is a multistage process. A panel will be selected from the Expression of Interest phase and later invited to quote during the Request for Tender phase. \xa0', 'Conditions for Participation': 'Please refer to Expression of Interest documentation: Part A - EOI Details and timetable Part B - Requirement Part C to E - Conditions of Contract Part F - Returnable Offer Schedules', 'Timeframe for Delivery': 'EOI - anticipated contract award mid September 2021 \xa0', 'Address for Lodgement': 'Austender'}"
Integrated Drone Surveillance Systems Trial - Notice of Intention to Release RFP,ASA NIR SR585930309,"{'ATM ID': 'ASA NIR SR585930309', 'Agency': 'Airservices Australia', 'Category': '25200000 - Aerospace systems and components and equipment', 'Close Date & Time': '27-Aug-2021 11:30 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '5-Aug-2021', 'Location': 'ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Overseas', 'ATM Type': 'Notice', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': ""As part of our role in ensuring safe, efficient and secure aviation services in Australia, Airservices will be conducting an Integrated Drone Surveillance Systems (IDSS) trial to investigate how to detect and safely manage drone detections around an aerodrome environment. Based on feedback received during our Request for Information (released late 2020) that we provide advanced notice of upcoming activities, this announcement is to notify you of our intention to release a Request for Proposal (RFP) for interested industry suppliers to propose their IDSS solutions. The RFP will include a competitive selection process to determine a preferred supplier for the IDSS trial. The RFP will be uploaded and released via a new notice published on AusTender. To stay updated please visit our project page on Engage Airservices (engage.airservicesaustralia.com/idss_rfp) and 'Subscribe for Project Updates' through the button on the right hand side of the page."", 'Other Instructions': 'Please refer to engage.airservicesaustralia.com/idss_rfp', 'Conditions for Participation': 'Not applicable', 'Timeframe for Delivery': 'Not applicable', 'Address for Lodgement': 'Not applicable.'}"
Samoa Human Development and Social Inclusion Program,DFAT-320,"{'ATM ID': 'DFAT-320', 'Agency': 'Department of Foreign Affairs and Trade - Australian Aid Program', 'Category': '80100000 - Management advisory services', 'Close Date & Time': '30-Aug-2021 10:00 am (ACT Local Time) Show close time for other time zones', 'Publish Date': '16-Jul-2021', 'Location': 'Overseas', 'ATM Type': 'Request for Tender APP Reference: DFAT-320', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': ""DFAT has a requirement for a contractor to design and implement the Samoa Human Development and Social Inclusion Program.\xa0 This requirement is scheduled to last up to eight (8) years from approximately November 2021 with a short initial term for the design and two longer options to extend periods for implementation. The Samoa Human Development and Social Inclusion Program is intended to deliver Australia's commitments in the later phase of the Samoa Covid-19 Development Response Plan (2020-2022) and help build the human development foundations required for Samoa's economic recovery and continued stability."", 'Conditions for Participation': ""(a) Tenders must be submitted via AusTender (www.tenders.gov.au) by the closing date. (b) The Tenderer must not be named as not complying with the Workplace Gender Equality Act 2012 (Cth). (c) The Tenderer complies with the Black Economy Procurement Connected Policy. (d) The Tenderer must not be listed on the World Bank List or any similar List maintained by a development donor or be the subject of an informal investigation or temporary suspension which could lead the Tenderer becoming so listed. (e) The Tenderer must not be subject to an adverse Court or Tribunal decision (not including decisions under appeal) for a breach of any workplace relations law, work health and safety law, or workers' compensation law, or if the Tenderer is subject, that the Tenderer has fully complied, or is fully complying with the Court or Tribunal order. (f) The Tenderer agrees to contract as a single legal entity."", 'Timeframe for Delivery': 'Initial Contract Period: Approximately 16 Novoember 2021 to 15 November 2025. Option Period: up to four (4) years 15 November 2029. Estimated Value (AUD): From$18,000,000.00to$37,000,000.00', 'Address for Lodgement': 'For electronic lodgement only: Austender at www.tenders.gov.au, in accordance with instructions in the Request for Tender documentation.', 'Addenda Available': 'View Addenda'}"
ISREW Security Services Standing Offer Panel Refresh,JSD/RFT/11540/2,"{'ATM ID': 'JSD/RFT/11540/2', 'Agency': 'Department of Defence - CASG', 'Category': '46151600 - Security and control equipment', 'Close Date & Time': '30-Aug-2021 12:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '27-Jul-2021', 'Location': 'ACT', 'ATM Type': 'Request for Tender', 'Multi Agency Access': 'Yes', 'Multi Agency Access Type': 'All Agencies', 'Panel Arrangement': 'Yes', 'Multi-stage': 'No', 'Description': 'Intelligence Surveillance Reconnaissance and Electronic Warfare Security Services Standing Offer Panel Refresh\xa0', 'Conditions for Participation': 'As per CoT', 'Timeframe for Delivery': '31 December 2024', 'Address for Lodgement': ""Tender responses are to be submitted electronically via the AusTender website www.tenders.gov.auusing the 'Lodgement Page' link on this tender notification."", 'Addenda Available': 'View Addenda'}"
ATM 21/3110 - Self-levelling Elevated Work Platforms,Antarctic ATM21/3110,"{'ATM ID': 'Antarctic ATM21/3110', 'Agency': 'Department of Agriculture, Water and the Environment', 'Category': '24100000 - Material handling machinery and equipment', 'Close Date & Time': '30-Aug-2021 2:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '18-Aug-2021', 'Location': 'ACT, NSW, VIC, SA, WA, QLD, NT, TAS  Canberra, Sydney, Melbourne, Adelaide, Perth, Brisbane, Darwin, Hobart', 'ATM Type': 'Request for Tender', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': 'The Australian Antarctic Division (AAD), part of the Department of Agriculture, Water and the Environment, has a requirement for <span"">two self-levelling elevated work platforms (EWPs). The EWPs are intended to replace existing units that have reached the end of their serviceable life. More detail can be found in the Statement of Requirement', 'Conditions for Participation': 'The supply must be provided in accordance with the Statement of Requirement (SoR) in the ATM and subject to the terms and conditions set out in, or referred to, in TM 21/3110 - Self-levelling Elevated Work Platforms.', 'Timeframe for Delivery': 'Ideal delivery would be by 7/1/2022.\xa0 However later lead times will not exclude any response from consideration.', 'Address for Lodgement': 'www.tenders.gov.au', 'Addenda Available': 'View Addenda'}"
International Banking Data - how many banks the RBA wants data for,FS-19/1591/02-OT,"{'ATM ID': 'FS-19/1591/02-OT', 'Agency': 'Reserve Bank of Australia', 'Category': '83121604 - Online database information retrieval systems', 'Close Date & Time': '30-Aug-2021 2:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '4-Aug-2021', 'Location': 'NSW', 'ATM Type': 'Request for Tender', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': 'The Bank is seeking to subscribe to a data set on banks that best matches its existing requirements for monitoring the financial health and activity of individual banks operating in advanced and emerging market economies.\xa0\xa0', 'Conditions for Participation': 'Please refer to the request for tender.', 'Timeframe for Delivery': 'Please refer to the request for tender.', 'Address for Lodgement': 'Please refer to the request for tender.', 'Addenda Available': 'View Addenda'}"
Construstion Landscaping for Detention Basin at Angle Park,DHA-PROC-55476,"{'ATM ID': 'DHA-PROC-55476', 'Agency': 'Defence Housing Australia', 'Category': '72130000 - General building construction', 'Close Date & Time': '30-Aug-2021 3:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '2-Aug-2021', 'Location': 'SA  Adelaide', 'ATM Type': 'Request for Tender', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': 'Defence Housing Australia (DHA) invites responses to this Invitation to Tender for the provision of a Landscape Contractor to complete landscape construction of the Detention Basin at Angle Park, South Australia in accordance with this Invitation to Tender.', 'Conditions for Participation': 'Mandatory Tender Requirements Tenderers are to: a) request a copy of the updated AS4000 contract from procurement@dha.gov.au for consideration prior to submitting a tender response; b) return a completed compliance table (Schedule 4.7) as part of the submission and c) submit a completed Schedule 4 - Tender Returnables.', 'Timeframe for Delivery': 'DHA anticipates contract commencement in October 2021.', 'Address for Lodgement': 'www.austender.gov.au'}"
Engineering Services Steamers and Lighthouse Roads and Carparks,DNP-BNP-2021-008,"{'ATM ID': 'DNP-BNP-2021-008', 'Agency': 'Director of National Parks', 'Category': '81100000 - Professional engineering services', 'Close Date & Time': '30-Aug-2021 3:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '2-Aug-2021', 'Location': 'ACT', 'ATM Type': 'Request for Tender', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': 'The Director has received funding to undertake an extensive program of road and carpark upgrades to ensure the roads at Booderee are set up for the future to be safe and easily maintained. Most of the funding is focused on the unsealed roads where in some areas grading over the years has removed the gravel exposing the subbase and/or subgrade. Poor drainage profiles have resulted in ruts and potholes and vegetation has overgrown the original road alignment hiding shoulders and reducing site distances. In a contract with the Wreck Bay Aboriginal Community Council (WBACC), the Director has completed upgrade works on Ellmoos road which has both set a standard for what is required for the unsealed roads and identified several issues that need to be considered in later projects.', 'Conditions for Participation': 'The Tenderer exists as a legal entity at the Closing Time', 'Timeframe for Delivery': 'Expected contract execution date 23 September 2021 for a period of 12 months with a contract extension option of x3 6 month extension options.\xa0', 'Address for Lodgement': 'Responses must be lodged electronically via AusTender before the Closing Date and Time and in accordance with the Response lodgement procedures set out in this ATM documentation and on AusTender.', 'Addenda Available': 'View Addenda'}"
"Holsworthy Base Roads, NSW",EST05904,"{'ATM ID': 'EST05904', 'Agency': 'Department of Defence - DSRG', 'Category': '30120000 - Roads and landscape', 'Close Date & Time': '31-Aug-2021 12:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '4-Aug-2021', 'Location': 'NSW', 'ATM Type': 'Request for Tender', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': 'Scope includes artillery road refurbishment works, mill and re sheet road including line marking and drainage works, pedestrian bridge removal and replacement and carpark refurbishment works including kerbs, gutter and line marking.', 'Other Instructions': 'he tender documents (including Contract) are attached on AusTender (under ‘Go to ATM documents’). The scopes of works and associated documents have not been attached. To obtain the full scope of works documentation, tenderers are to submit a signed Confidentiality Agreement as follows: 1. Click on Go to ATM Documents 2. Download the tender documents 3. Go to Confidentiality Agreement 4. Print and sign the Confidentiality Agreement 5. Return the signed copy by email, as a scanned PDF file, to the Contact Officer / PDS Contractor noted below Tenderers are to note that without the Confidentiality Agreement being returned to the Contact Officer / PDS Contractor, the complete Scope of Works cannot be released. Any questions relating to this tender are to be forwarded via email to the Contact Officer / PDS Contractor nominated below. Industry Briefing: Refer to Part 2, Tender Particulars of the Tender Conditions.', 'Conditions for Participation': 'The Tenderer must at the time of submitting its Tender satisfy each condition for participation as follows: • The Tenderer must comply with the Building Code 2016 at the time of submitting its registration of interest or if no registration of interest was submitted, at the time of submitting its tender. • The Tenderer must not be precluded from tendering for Australian Government funded work or specifically excluded from participating in this tender process. • The tenderer must complete and sign the Tender Form and Statutory Declaration. • The tenderer must complete and return the signed Confidentiality Agreement.', 'Timeframe for Delivery': 'To be determined following selection of successful tenderer.', 'Address for Lodgement': ""Tender responses are to be submitted electronically via the AusTender website www.tenders.gov.au using the 'Lodgement Page' link on this tender notification."", 'Addenda Available': 'View Addenda'}"
Capital Facilities and Infrastructure Branch - Planned Upcoming Approaches to Market Notice,CFI-0521,"{'ATM ID': 'CFI-0521', 'Agency': 'Department of Defence - DSRG', 'Category': '72100000 - Building construction and support and maintenance and repair services', 'Close Date & Time': '31-Aug-2021 12:00 pm (ACT Local Time) Show close time for other time zones', 'Publish Date': '3-May-2021', 'Location': 'ACT, NSW, VIC, SA, WA, QLD, NT, TAS  Canberra, Sydney, Melbourne, Adelaide, Perth, Brisbane, Darwin, Hobart', 'ATM Type': 'Notice', 'Multi Agency Access': 'No', 'Panel Arrangement': 'No', 'Multi-stage': 'No', 'Description': 'This Notice provides information for Industry on planned upcoming approaches to market that may be released from the Department of Defence’s Capital Facilities and Infrastructure Branch (CFI) for capital facilities and infrastructure projects.\xa0 CFI is responsible for planning, developing and delivering capital facilities and infrastructure projects (projects) across the Defence estate. CFI operates an outsourced model where it procures industry to manage, design, construct and provide specialist skills in support of each project. This typically includes Design Services Contractors, Head Contractors, Medium Works Contractors and/or Managing Contractors.', 'Other Instructions': 'Please note that this is a Notice only. No responses are required to this Notice.\xa0', 'Conditions for Participation': 'Not applicable', 'Timeframe for Delivery': 'Not applicable', 'Address for Lodgement': 'Not applicable'}"
