category,Australian standard
数学,DIVISION 01 MATHEMATICAL SCIENCES
物理,DIVISION 02 PHYSICAL SCIENCES
力学,DIVISION 02 PHYSICAL SCIENCES
晶体学,"DIVISION 03 CHEMICAL SCIENCES,DIVISION 02 PHYSICAL SCIENCES"
天文学,
地球科学,DIVISION 04 EARTH SCIENCES
医药卫生,"DIVISION 11 MEDICAL AND HEALTH SCIENCES,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES"
航天航空,
军事,
农林牧渔,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
机械仪表,DIVISION 09 ENGINEERING
化工能源,"DIVISION 03 CHEMICAL SCIENCES,DIVISION 02 PHYSICAL SCIENCES"
冶金矿业,"DIVISION 04 EARTH SCIENCES,DIVISION 05 ENVIRONMENTAL SCIENCES"
电子通信,"DIVISION 08 INFORMATION AND COMPUTING SCIENCES,DIVISION 10 TECHNOLOGY"
计算机,"DIVISION 08 INFORMATION AND COMPUTING SCIENCES,DIVISION 10 TECHNOLOGY"
自动化,
土建水利,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
交通运输,"DIVISION 15 COMMERCE,MANAGEMENT,TOURISM AND SERVICES"
轻工业,"DIVISION 03 CHEMICAL SCIENCES,DIVISION 09 ENGINEERING"
材料学,DIVISION 09 ENGINEERING
电工技术,DIVISION 10 TECHNOLOGY
一般工业、工程学,DIVISION 09 ENGINEERING
环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
安全科学,
图书馆学、情报学,
社会科学,"DIVISION 14 ECONOMICS,DIVISION 13 EDUCATION,DIVISION 15 COMMERCE,MANAGEMENT,TOURISM AND SERVICES,DIVISION 16 STUDIES IN HUMAN SOCIETY,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,DIVISION 20 LANGUAGE,COMMUNICATION AND CULTURE,DIVISION 21 HISTORY AND ARCHAEOLOGY,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES"
生物科技,"DIVISION 06 BIOLOGICAL SCIENCES,DIVISION 10 TECHNOLOGY"
,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
