tag,old_class,category,Australian standard
role play,社会科学,社会科学,DIVISION 14 ECONOMICS
role play,社会科学,社会科学,DIVISION 13 EDUCATION
role play,社会科学,社会科学,DIVISION 15 COMMERCE
role play,社会科学,社会科学,MANAGEMENT
role play,社会科学,社会科学,TOURISM AND SERVICES
role play,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
role play,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
role play,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
role play,社会科学,社会科学,DIVISION 20 LANGUAGE
role play,社会科学,社会科学,COMMUNICATION AND CULTURE
role play,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
role play,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Supervised learning,计算机,计算机,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
Supervised learning,计算机,计算机,DIVISION 10 TECHNOLOGY
Endorsements,社会科学,社会科学,DIVISION 14 ECONOMICS
Endorsements,社会科学,社会科学,DIVISION 13 EDUCATION
Endorsements,社会科学,社会科学,DIVISION 15 COMMERCE
Endorsements,社会科学,社会科学,MANAGEMENT
Endorsements,社会科学,社会科学,TOURISM AND SERVICES
Endorsements,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Endorsements,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Endorsements,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Endorsements,社会科学,社会科学,DIVISION 20 LANGUAGE
Endorsements,社会科学,社会科学,COMMUNICATION AND CULTURE
Endorsements,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Endorsements,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Intrusion detection,计算机,计算机,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
Intrusion detection,计算机,计算机,DIVISION 10 TECHNOLOGY
incentive,社会科学,社会科学,DIVISION 14 ECONOMICS
incentive,社会科学,社会科学,DIVISION 13 EDUCATION
incentive,社会科学,社会科学,DIVISION 15 COMMERCE
incentive,社会科学,社会科学,MANAGEMENT
incentive,社会科学,社会科学,TOURISM AND SERVICES
incentive,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
incentive,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
incentive,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
incentive,社会科学,社会科学,DIVISION 20 LANGUAGE
incentive,社会科学,社会科学,COMMUNICATION AND CULTURE
incentive,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
incentive,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
human ERBB2 protein,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
human ERBB2 protein,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Retina,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Retina,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Distributional Impacts,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
Islam,社会科学,社会科学,DIVISION 14 ECONOMICS
Islam,社会科学,社会科学,DIVISION 13 EDUCATION
Islam,社会科学,社会科学,DIVISION 15 COMMERCE
Islam,社会科学,社会科学,MANAGEMENT
Islam,社会科学,社会科学,TOURISM AND SERVICES
Islam,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Islam,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Islam,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Islam,社会科学,社会科学,DIVISION 20 LANGUAGE
Islam,社会科学,社会科学,COMMUNICATION AND CULTURE
Islam,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Islam,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
exercise test,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
exercise test,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Practice Management,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
medicine,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
medicine,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Developed Countries,社会科学,社会科学,DIVISION 14 ECONOMICS
Developed Countries,社会科学,社会科学,DIVISION 13 EDUCATION
Developed Countries,社会科学,社会科学,DIVISION 15 COMMERCE
Developed Countries,社会科学,社会科学,MANAGEMENT
Developed Countries,社会科学,社会科学,TOURISM AND SERVICES
Developed Countries,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Developed Countries,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Developed Countries,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Developed Countries,社会科学,社会科学,DIVISION 20 LANGUAGE
Developed Countries,社会科学,社会科学,COMMUNICATION AND CULTURE
Developed Countries,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Developed Countries,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Lung,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Lung,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
beetle,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
Gastrointestinal Tract,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Gastrointestinal Tract,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Gross Domestic Product,社会科学,社会科学,DIVISION 14 ECONOMICS
Gross Domestic Product,社会科学,社会科学,DIVISION 13 EDUCATION
Gross Domestic Product,社会科学,社会科学,DIVISION 15 COMMERCE
Gross Domestic Product,社会科学,社会科学,MANAGEMENT
Gross Domestic Product,社会科学,社会科学,TOURISM AND SERVICES
Gross Domestic Product,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Gross Domestic Product,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Gross Domestic Product,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Gross Domestic Product,社会科学,社会科学,DIVISION 20 LANGUAGE
Gross Domestic Product,社会科学,社会科学,COMMUNICATION AND CULTURE
Gross Domestic Product,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Gross Domestic Product,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Help-Seeking Behavior,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Help-Seeking Behavior,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
