tag,Australian standard
abdominal obesity,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
academic achievement,[nan]
academic exchange,[nan]
academic performance,[nan]
academic success,[nan]
academy,[nan]
acceleration,['DIVISION 02 PHYSICAL SCIENCES']
accelerometry,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
acceptability,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
acceptance,"[nan, 'DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
access control,[nan]
access to health care,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
accessibility,[nan]
accidental falls,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
acclimatization,"['DIVISION 04 EARTH SCIENCES', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
accountability,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
accounting,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
