ATM ID,Category,Description,Title,_id
ITR 2003/23,Engineering and Research and Technology Based Services,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,NOIE - National Information Research Proposals,6162aa1fe1b7f5c73e6fdfd0
NS0579RFP,Specialised educational services,The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training.,ABC - Project Management Training Services,6162aa1fe1b7f5c73e6fdfd1
NCON/03/89,Management advisory services,Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program’s Community Based Broker Projects (CBBP). ,NOIE Business and Technical Consultancy,6162aa1fe1b7f5c73e6fdfd2
NS0589EOI,Management advisory services,The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth.,ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY,6162aa1fe1b7f5c73e6fdfd3
NCON/04/10,Management advisory services,"The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management.","ICT, Organisation and Management – The Strategic Management of Technology",6162aa1fe1b7f5c73e6fdfd4
ncon0447,Management advisory services,The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia’s market sector.,The Role of ICT in Australia’s Economic Performance: Investigation of assumptions influencing the productivity estimates,6162aa1fe1b7f5c73e6fdfd5
NCON/04/53,Management advisory services,NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government.,NOIE - Consultancy Services to conduct a survey of Government e-procurement activity,6162aa1fe1b7f5c73e6fdfd6
NCON/04/67,Management advisory services,"This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework.",NOIE - National Government Interoperability Framework,6162aa1fe1b7f5c73e6fdfd7
CON G 178/2004,Education and Training Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Civilian Accreditation & Re-accred of RAN Training,6162aa1fe1b7f5c73e6fdfd8
RFT DHS 4/2004,Healthcare Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",ADF Residential Treatment Facility - RAAF Richmond,6162aa1fe1b7f5c73e6fdfd9
