word,cate1,cate2,cate3
academic exchange,23 OTHERS(RELEVANT),,
academic performance,23 OTHERS(RELEVANT),,
academic success,23 OTHERS(RELEVANT),,
academy,23 OTHERS(RELEVANT),,
acceptability,23 OTHERS(RELEVANT),,
acceptance,23 OTHERS(RELEVANT),,
acclimatization,04 EARTH SCIENCES,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES
accountability,23 OTHERS(RELEVANT),,
accountability,23 OTHERS(RELEVANT),,
acculturation,20 LANGUAGE COMMUNICATION AND CULTURE,,
achilles tendon,11 MEDICAL AND HEALTH SCIENCES,,
acoustic waves,10 TECHNOLOGY,,
acoustics,10 TECHNOLOGY,,
acquired immunodeficiency syndrome,11 MEDICAL AND HEALTH SCIENCES,,
act,24 OTHERS(IRRELEVANT),,
adaptive capacity,23 OTHERS(RELEVANT),,
adaptive management,23 OTHERS(RELEVANT),,
adolescent,11 MEDICAL AND HEALTH SCIENCES,,
aesthetics,19 STUDIES IN CREATIVE ARTS AND WRITING,,
aesthetics,19 STUDIES IN CREATIVE ARTS AND WRITING,,
age difference,23 OTHERS(RELEVANT),,
age groups,23 OTHERS(RELEVANT),,
aggression,21 HISTORY AND ARCHAEOLOGY,,
agriculture,07 AGRICULTURAL AND VETERINARY SCIENCES,,
agriculture,07 AGRICULTURAL AND VETERINARY SCIENCES,,
aircraft,09 ENGINEERING,,
airports,09 ENGINEERING,,
alcohols,03 CHEMICAL SCIENCES,,
allele,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
allied health personnel,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
aluminum,02 PHYSICAL SCIENCES,,
amendment,18 LAW AND LEGAL STUDIES,,
amylases,06 BIOLOGICAL SCIENCES,,
analog to digital conversion,10 TECHNOLOGY,,
analysis,23 OTHERS(RELEVANT),,
analysis of variance (anova),01 MATHEMATICAL SCIENCES,,
androgens,06 BIOLOGICAL SCIENCES,,
animal models,06 BIOLOGICAL SCIENCES,,
annual conference,24 OTHERS(IRRELEVANT),,
annual reports,24 OTHERS(IRRELEVANT),,
anterior cruciate ligament,06 BIOLOGICAL SCIENCES,,
anthropocene,06 BIOLOGICAL SCIENCES,,
antimalarials,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
antioxidants,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
antiviral agents,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
anxiety,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
anxiety,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
apoptosis,06 BIOLOGICAL SCIENCES,,
appointments and schedules,24 OTHERS(IRRELEVANT),,
aquatic ecosystem,06 BIOLOGICAL SCIENCES,04 EARTH SCIENCES,
arbitration,18 LAW AND LEGAL STUDIES,,
archaeology,21 HISTORY AND ARCHAEOLOGY,,
architecture,12 BUILT ENVIRONMENT AND DESIGN,,
arid zones,04 EARTH SCIENCES,06 BIOLOGICAL SCIENCES,
arsenic,02 PHYSICAL SCIENCES,,
arsenobetaine,02 PHYSICAL SCIENCES,,
art,19 STUDIES IN CREATIVE ARTS AND WRITING,,
art,19 STUDIES IN CREATIVE ARTS AND WRITING,,
arthritis,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
articular range of motion,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
artifact,24 OTHERS(IRRELEVANT),,
artificial intelligence,09 ENGINEERING,,
artificial intelligence,09 ENGINEERING,,
artist,19 STUDIES IN CREATIVE ARTS AND WRITING,,
assault,24 OTHERS(IRRELEVANT),,
assemblages,23 OTHERS(RELEVANT),,02 PHYSICAL SCIENCES
asthma,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
asylum seeker,24 OTHERS(IRRELEVANT),,
athletes,13 EDUCATION,,
atropine,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
authority,24 OTHERS(IRRELEVANT),,21 HISTORY AND ARCHAEOLOGY
autism spectrum disorder,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
autonomic nervous system,06 BIOLOGICAL SCIENCES,,
autonomy,18 LAW AND LEGAL STUDIES,21 HISTORY AND ARCHAEOLOGY,
availability,23 OTHERS(RELEVANT),,
back,06 BIOLOGICAL SCIENCES,,
bangladesh,24 OTHERS(IRRELEVANT),,
bank,14 ECONOMICS,,
banking,14 ECONOMICS,,
benchmarking,24 OTHERS(IRRELEVANT),,
bereavement,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
beverages,09 ENGINEERING,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES
bill,14 ECONOMICS,,
bioaccumulation,10 TECHNOLOGY,06 BIOLOGICAL SCIENCES,
biological assessment,10 TECHNOLOGY,06 BIOLOGICAL SCIENCES,
biological control,10 TECHNOLOGY,06 BIOLOGICAL SCIENCES,
biomechanical phenomena,10 TECHNOLOGY,06 BIOLOGICAL SCIENCES,
birds,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,06 BIOLOGICAL SCIENCES
bivalvia,10 TECHNOLOGY,06 BIOLOGICAL SCIENCES,
blogging,08 INFORMATION AND COMPUTING SCIENCES,19 STUDIES IN CREATIVE ARTS AND WRITING,
blood,06 BIOLOGICAL SCIENCES,,
blood flow velocity,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
blood pressure,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
body composition,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
body image,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
body mass,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
body mass index,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
body mass index,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
body size,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
body size,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
bone density,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
book,24 OTHERS(IRRELEVANT),,
brain,06 BIOLOGICAL SCIENCES,11 MEDICAL AND HEALTH SCIENCES,
breast neoplasms,11 MEDICAL AND HEALTH SCIENCES,,
breeding,07 AGRICULTURAL AND VETERINARY SCIENCES,10 TECHNOLOGY,
broadcasting,10 TECHNOLOGY,,
budget,24 OTHERS(IRRELEVANT),,
building,12 BUILT ENVIRONMENT AND DESIGN,,
bushfire,04 EARTH SCIENCES,,
calcium,03 CHEMICAL SCIENCES,,
canaries,06 BIOLOGICAL SCIENCES,,
cannabis,06 BIOLOGICAL SCIENCES,,
capacity building,24 OTHERS(IRRELEVANT),,
capitalist society,14 ECONOMICS,18 LAW AND LEGAL STUDIES,21 HISTORY AND ARCHAEOLOGY
car,24 OTHERS(IRRELEVANT),,
carbohydrates,03 CHEMICAL SCIENCES,,
cardiac rehabilitation,11 MEDICAL AND HEALTH SCIENCES,,
cardiorespiratory fitness,11 MEDICAL AND HEALTH SCIENCES,,
career,24 OTHERS(IRRELEVANT),,
caregiver,11 MEDICAL AND HEALTH SCIENCES,,
caregivers,11 MEDICAL AND HEALTH SCIENCES,,
cash,14 ECONOMICS,,
causality,23 OTHERS(RELEVANT),,
cause,24 OTHERS(IRRELEVANT),,
chapbook,24 OTHERS(IRRELEVANT),,
cheeses,09 ENGINEERING,,
cherax destructor,01 MATHEMATICAL SCIENCES,,
child,06 BIOLOGICAL SCIENCES,,
child abuse,16 STUDIES IN HUMAN SOCIETY,,
child behavior,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
child health,11 MEDICAL AND HEALTH SCIENCES,,
childhood,06 BIOLOGICAL SCIENCES,,
china,04 EARTH SCIENCES,,
choice behavior,17 PSYCHOLOGY AND COGNITIVE SCIENCES,,
chromosome,06 BIOLOGICAL SCIENCES,,
chromosome mapping,06 BIOLOGICAL SCIENCES,10 TECHNOLOGY,
chromosomes,06 BIOLOGICAL SCIENCES,,
chromosomes,06 BIOLOGICAL SCIENCES,,
chronic diseases,11 MEDICAL AND HEALTH SCIENCES,,
