Tags,key_1,key_2,key_3
Abdominal Obesity,11,,
academic achievement,other_irrelevant ,,
Acceptance,other_irrelevant ,,
Access to Health Care,11,,
Accessibility,other_irrelevant ,,
Acclimatization,11,,
accounting,15,,
Accounting Curriculum,15,13,
Acculturation,16,20,
action plan,15,,
activation,other_irrelevant ,,
actor-network-theory,20,17,
acute care,11,,
Adelaide,other_irrelevant ,,
Adiposity,11,,
age group,16,6,other_relevant
agricultural land,7,5,12
Air,4,,
alcohol,11,10,15
amphibian,6,,
Amphibians,6,,
amphibians,6,,
Analysis of Variance,1,other_relevant ,
analysis of variance,1,other_relevant,
analytical framework,other_relevant,,
Anchors,other_relevant,,
animal,6,,
animals,6,,
Ankle,11,,
Ankle Injuries,11,,
Anomaly detection,9,10,other_relevant
antagonism,17,16,other_relevant
Anthology,other_irrelevant,,
Anthropometry,11,,
Anti-Bacterial Agents,11,10,6
Anticoagulants,11,10,6
Antigens,6,,
Anura,6,,
Anxiety,17,,
apathy,17,,
Apathy,17,,
Apoptosis,6,,
Application programs,8,9,
Aptitude,other_irrelevant,,
Aquatic ecosystems,5,10,
Arab,other_irrelevant ,,
Architecture,12,,
Area Under Curve,1,other_relevant ,
arsenic,3,11,5
Artifact,19,21,
artist,19,,
Artwork,19,,
Aspirin,11,,
assault,other_irrelevant,,
assay,6,,
Assemblages,21,6,4
assets,15,,
Assets,15,,
assistance,15,other_irrelevant,
assistant,15,other_irrelevant,
Athletic Performance,11,13,
Attitude to Health,17,11,
Audit,15,,
authenticity,other_irrelevant,,
Automation,9,10,
Aviation,15,,
bachelor,other_irrelevant ,,
Bacteria,6,,
Bangladesh,other_irrelevant,,
Banking,15,,
Banking Industry,15,,
basins,4,,
best practice,other_irrelevant ,,
biogeography,6,5,4
Biomarkers,6,,
bird,6,,
Bitcoin,15,14,8
Blended Learning,8,,
Blindness,11,,
Blood Glucose,11,,
Body Weight Changes,11,17,
border,16,4,5
Brazil,other_irrelevant ,,
broadcast,10,18,
budget,15,16,other_relevant
Buffers,other_irrelevant,,
Built Environment,12,,
Bullying,17,16,
Burden,other_irrelevant,,
bureaucracy,16,17,
Cacodylic Acid,6,3,11
campaign,16,21,19
Canada,other_irrelevant ,,
Capacity Building,13,15,17
Carbon,3,4,5
carbon,3,4,5
Cardiovascular Diseases,11,,
