Staff ID,value,Weight
Canberra00380,DIVISION 16 STUDIES IN HUMAN SOCIETY,29.71
Canberra00106,DIVISION 16 STUDIES IN HUMAN SOCIETY,27.61
Canberra00145,DIVISION 06 BIOLOGICAL SCIENCES,24.87
Canberra00181,DIVISION 16 STUDIES IN HUMAN SOCIETY,23.19
Canberra00356,DIVISION 06 BIOLOGICAL SCIENCES,23.03
Canberra00093,DIVISION 16 STUDIES IN HUMAN SOCIETY,22.45
Canberra00433,DIVISION 16 STUDIES IN HUMAN SOCIETY,21.75
Canberra00133,DIVISION 06 BIOLOGICAL SCIENCES,21.37
Canberra00150,DIVISION 16 STUDIES IN HUMAN SOCIETY,20.7
Canberra00320,DIVISION 16 STUDIES IN HUMAN SOCIETY,20.41
Canberra00256,DIVISION 16 STUDIES IN HUMAN SOCIETY,19.93
Canberra00094,DIVISION 06 BIOLOGICAL SCIENCES,18.65
Canberra00414,DIVISION 06 BIOLOGICAL SCIENCES,18.32
Canberra00149,DIVISION 16 STUDIES IN HUMAN SOCIETY,18.16
Canberra00080,DIVISION 16 STUDIES IN HUMAN SOCIETY,17.97
Canberra00095,DIVISION 04 EARTH SCIENCES,17.57
Canberra00399,DIVISION 06 BIOLOGICAL SCIENCES,16.95
Canberra00073,DIVISION 16 STUDIES IN HUMAN SOCIETY,16.95
Canberra00062,DIVISION 06 BIOLOGICAL SCIENCES,16.35
Canberra00343,DIVISION 16 STUDIES IN HUMAN SOCIETY,16.21
Canberra00381,DIVISION 16 STUDIES IN HUMAN SOCIETY,16.07
Canberra00192,DIVISION 11 MEDICAL AND HEALTH SCIENCES,16.07
Canberra00008,DIVISION 16 STUDIES IN HUMAN SOCIETY,15.9
Canberra00360,DIVISION 16 STUDIES IN HUMAN SOCIETY,15.42
Canberra00121,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,15.42
Canberra00399,DIVISION 04 EARTH SCIENCES,14.68
Canberra00087,DIVISION 16 STUDIES IN HUMAN SOCIETY,14.65
Canberra00382,DIVISION 13 EDUCATION,14.65
Canberra00039,DIVISION 16 STUDIES IN HUMAN SOCIETY,14.33
Canberra00095,DIVISION 06 BIOLOGICAL SCIENCES,13.55
Canberra00170,DIVISION 24 OTHERS(IRRELEVANT),13.34
Canberra00223,DIVISION 06 BIOLOGICAL SCIENCES,13.28
Canberra00123,DIVISION 16 STUDIES IN HUMAN SOCIETY,13.14
Canberra00170,DIVISION 16 STUDIES IN HUMAN SOCIETY,13.1
Canberra00127,DIVISION 16 STUDIES IN HUMAN SOCIETY,13.03
Canberra00286,DIVISION 13 EDUCATION,13.01
Canberra00122,DIVISION 06 BIOLOGICAL SCIENCES,12.83
Canberra00262,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.83
Canberra00331,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.81
Canberra00419,DIVISION 16 STUDIES IN HUMAN SOCIETY,12.74
Canberra00374,DIVISION 24 OTHERS(IRRELEVANT),12.71
Canberra00360,DIVISION 24 OTHERS(IRRELEVANT),12.6
