Tags,value
academic exchange,DIVISION 23 OTHERS(RELEVANT)
academic performance,DIVISION 23 OTHERS(RELEVANT)
academic success,DIVISION 23 OTHERS(RELEVANT)
academy,DIVISION 23 OTHERS(RELEVANT)
acceptability,DIVISION 23 OTHERS(RELEVANT)
achilles tendon,DIVISION 11 MEDICAL AND HEALTH SCIENCES
acoustic waves,DIVISION 10 TECHNOLOGY
acoustics,DIVISION 10 TECHNOLOGY
acquired immunodeficiency syndrome,DIVISION 11 MEDICAL AND HEALTH SCIENCES
act,DIVISION 24 OTHERS(IRRELEVANT)
adaptive capacity,DIVISION 23 OTHERS(RELEVANT)
adaptive management,DIVISION 23 OTHERS(RELEVANT)
adolescent,DIVISION 11 MEDICAL AND HEALTH SCIENCES
age difference,DIVISION 23 OTHERS(RELEVANT)
age groups,DIVISION 23 OTHERS(RELEVANT)
aggression,DIVISION 21 HISTORY AND ARCHAEOLOGY
aircraft,DIVISION 09 ENGINEERING
airports,DIVISION 09 ENGINEERING
alcohols,DIVISION 03 CHEMICAL SCIENCES
allele,DIVISION 06 BIOLOGICAL SCIENCES
allied health personnel,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
aluminum,DIVISION 02 PHYSICAL SCIENCES
amendment,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
amylases,DIVISION 06 BIOLOGICAL SCIENCES
analog to digital conversion,DIVISION 10 TECHNOLOGY
analysis,DIVISION 23 OTHERS(RELEVANT)
analysis of variance (anova),DIVISION 01 MATHEMATICAL SCIENCES
androgens,DIVISION 06 BIOLOGICAL SCIENCES
animal models,DIVISION 06 BIOLOGICAL SCIENCES
annual conference,DIVISION 24 OTHERS(IRRELEVANT)
annual reports,DIVISION 24 OTHERS(IRRELEVANT)
anterior cruciate ligament,DIVISION 06 BIOLOGICAL SCIENCES
anthropocene,DIVISION 06 BIOLOGICAL SCIENCES
antimalarials,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
antiviral agents,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
appointments and schedules,DIVISION 24 OTHERS(IRRELEVANT)
aquatic ecosystem,DIVISION 06 BIOLOGICAL SCIENCES
arid zones,DIVISION 04 EARTH SCIENCES
arsenobetaine,DIVISION 02 PHYSICAL SCIENCES
arthritis,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
articular range of motion,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
asthma,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
