Staff ID,Tag,weight,Tag_type
Canberra61585a56d7b0c43ebd7551dd,health literacy,1.0,project_key
Canberra61585a56d7b0c43ebd7551dd,self-help groups,0.97,project_key
Canberra61585a56d7b0c43ebd7551dd,obstetrics,0.72,project_key
Canberra61585a56d7b0c43ebd7551dd,india,0.51,project_key
Canberra61585a56d7b0c43ebd7551dd,education,0.5,project_key
Canberra61585a56d7b0c43ebd7551dd,non-randomized controlled trials,0.94,project_key
Canberra61585a56d7b0c43ebd7551dd,parturition,0.55,project_key
Canberra61585a56d7b0c43ebd7551dd,households,0.65,project_key
Canberra61585a56d7b0c43ebd7551dd,health,0.41,project_key
Canberra61585a56d7b0c43ebd7551dd,poverty,0.49,project_key
Canberra61585a56d7b0c43ebd7551dd,social networking,0.93,project_key
Canberra61585a56d7b0c43ebd7551dd,social capital,0.47,project_key
Canberra61585a56d7b0c43ebd7551dd,rural women,1.0,project_key
Canberra61585a56d7b0c43ebd7551dd,maternal health services,0.98,project_key
Canberra61585a56d7b0c43ebd7551dd,prenatal care,1.0,project_key
Canberra61585a56d7b0c43ebd7551dd,cross-sectional studies,0.66,project_key
Canberra61585a56d7b0c43ebd7551dd,health services,0.67,project_key
Canberra61585a56d7b0c43ebd7551dd,health behavior,1.0,project_key
Canberra61585a56d7b0c43ebd7551dd,infant health,1.0,project_key
Canberra61585a56d7b0c43ebd7551dd,maternal health,0.74,project_key
Canberra61585a56d7b0c43ebd7551dd,health behavior,0.68,project_key
Canberra61585a56d7b0c43ebd7551dd,neonates,0.48,project_key
Canberra61585a56d7b0c43ebd7551dd,newborn infant,0.44,project_key
Canberra61585a64d7b0c43ebd7551de,engagement,1.0,project_key
Canberra61585a64d7b0c43ebd7551de,students,0.47,project_key
Canberra61585a64d7b0c43ebd7551de,strategy,0.45,project_key
Canberra61585a64d7b0c43ebd7551de,feedback,0.3,project_key
Canberra61585a64d7b0c43ebd7551de,leverage,0.27,project_key
Canberra61585a64d7b0c43ebd7551de,menstruation,1.0,project_key
Canberra61585a64d7b0c43ebd7551de,confidence intervals,0.35,project_key
Canberra61585a64d7b0c43ebd7551de,brain,0.43,project_key
Canberra61585a64d7b0c43ebd7551de,menopause,1.0,project_key
Canberra61585a64d7b0c43ebd7551de,menarche,0.29,project_key
Canberra61585a64d7b0c43ebd7551de,hippocampus,1.0,project_key
Canberra61585a64d7b0c43ebd7551de,waist-hip ratio,0.96,project_key
Canberra61585a64d7b0c43ebd7551de,fats,0.73,project_key
Canberra61585a64d7b0c43ebd7551de,overweight,0.93,project_key
Canberra61585a64d7b0c43ebd7551de,obesity,0.88,project_key
Canberra61585a64d7b0c43ebd7551de,electronics,1.0,project_key
Canberra61585a64d7b0c43ebd7551de,examination,0.82,project_key
Canberra61585a64d7b0c43ebd7551de,experience,0.45,project_key
