,ATM ID,Agency,Category,Close Date & Time,Description,Title,_id,ID,isRelated
2,ITR 2003/23,National Office for the Information Economy,Engineering and Research and Technology Based Services,17-Oct-03 12:00 pm,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,NOIE - National Information Research Proposals,6159c38e9107b6df81b136a4,81000000.0,1.0
70,DFAT04/070035,Department of Foreign Affairs and Trade,Engineering and Research and Technology Based Services,14-May-04 5:00 pm,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Facilities Management - Technical Drawing Office,6159c38e9107b6df81b136e8,81000000.0,1.0
439,R0018,Department of Defence - Melbourne,Engineering and Research and Technology Based Services,22-Sep-04 12:00 pm,Laboratory And Technical Services For Illicit Drug Testing To The ADF,Laboratory And Technical Services For Illicit Drug Testing To The ADF,6159c38e9107b6df81b13859,81000000.0,1.0
470,COOD/1499/2/0003,Department of Defence - Melbourne,Engineering and Research and Technology Based Services,28-Sep-04 3:00 pm,Product Lifecycle And Common Maintenance Management Systems.,Product Lifecycle And Common Maintenance Management Systems.,6159c38e9107b6df81b13878,81000000.0,1.0
754,Notice 04-1-4,Austrade,Engineering and Research and Technology Based Services,12-Dec-04 5:00 pm,Austrade US Government Procurement Seminars – ICT & Homeland Security.  Austrade will hold a seminar series in Australia to highlight the opportunities and challenges of selling technology and homeland security solutions to the US Government.,Business opportunities in the US Government Market,6159c38e9107b6df81b13994,81000000.0,1.0
993,RFTS04/0943,Centrelink,Engineering and Research and Technology Based Services,22-Feb-05 2:00 pm,Centrelink is seeking suitably qualified and experienced research practitioners and institutions to provide a high quality research consultancy service to support  the research agenda of the Fraud Control and Compliance Strategy Team  in Centrelink`s National Support Office.  ,FOR THE PROVISION OF RESEARCH CONSULTANCY AND RESEARCH SUPPORT SERVICES ON AN `AS REQUIRED` BASIS,6159c38e9107b6df81b13a83,81000000.0,1.0
1038,DCON/05/7,"Department of Communications, Information Technology and the Arts",Engineering and Research and Technology Based Services,02-Mar-05 2:00 pm,The Department is seeking tenders for a research consultancy to explore how the present methodologies might be extended or modified to reflect these new developments.  It is expected that the research will increase understanding of the complexes relationship between ICT advances and Australia’s economic progress.,DCITA - MEASURING AUSTRALIA`S PRODUCTIVITY INFORMATION ECONOMY ISSUES,6159c38e9107b6df81b13ab0,81000000.0,1.0
1235,CON-G 228-2005,Department of Defence,Engineering and Research and Technology Based Services,04-Apr-05 12:00 pm,The Department of Defence is seeking suitably qualified and experienced organisations to provide Expressions of Interest for the provision of professional services relating to the upgrade of Defence`s enterprise HR system known as the Personnel Management,PMKEYS SOFTWARE UPGRADE,6159c38e9107b6df81b13b75,81000000.0,1.0
1304,DAFF05/1565,Department of Agriculture,Engineering and Research and Technology Based Services,14-Apr-05 5:00 pm,"Requests for tender are sought on four individual but related projects on consequence analysis, representing expert opinion, modelling techniques and risk model technologies",Research to advance risk analysis methodologies,6159c38e9107b6df81b13bba,81000000.0,1.0
1313,50659,Comcare,Engineering and Research and Technology Based Services,18-Apr-05 2:00 pm,Provide software development and software support services for Comcare.,Software Development and Support Services,6159c38e9107b6df81b13bc3,81000000.0,1.0
