,Name,Tag,Weight
0,Mohammad Abualsheikh,Wireless sensor networks,1.0
1,Mohammad Abualsheikh,Internet of things,0.93
2,Mohammad Abualsheikh,Big data,0.65
3,Mohammad Abualsheikh,Data Analytics,0.63
4,Mohammad Abualsheikh,Profitability,0.55
5,Mohammad Abualsheikh,Data compression,0.5
6,Mohammad Abualsheikh,Sensors,0.45
7,Mohammad Abualsheikh,Machine learning,0.45
8,Mohammad Abualsheikh,Jamming,0.45
9,Mohammad Abualsheikh,Mobile computing,0.44
10,Mohammad Abualsheikh,Neural networks,0.43
11,Mohammad Abualsheikh,Sensor nodes,0.36
12,Mohammad Abualsheikh,Learning algorithms,0.35
13,Mohammad Abualsheikh,Accelerometers,0.33
14,Mohammad Abualsheikh,Costs,0.32
15,Mohammad Abualsheikh,Deep learning,0.29
16,Mohammad Abualsheikh,Cellular telephones,0.27
17,Mohammad Abualsheikh,Boats,0.27
18,Mohammad Abualsheikh,Crops,0.26
19,Mohammad Abualsheikh,Convolution,0.23
20,Mohammad Abualsheikh,Electric sparks,0.23
21,Mohammad Abualsheikh,Glossaries,0.22
22,Mohammad Abualsheikh,Sales,0.22
23,Mohammad Abualsheikh,Network architecture,0.22
24,Mohammad Abualsheikh,Information management,0.21
25,Mohammad Abualsheikh,Signal reconstruction,0.17
26,Mohammad Abualsheikh,Monitoring,0.13
27,Mohammad Abualsheikh,Backpropagation,0.11
28,Mohammad Abualsheikh,Mobile robots,0.1
29,Mohammad Abualsheikh,Energy utilization,0.09
30,Mohammad Abualsheikh,Game theory,0.09
31,Mohammad Abualsheikh,Statistics,0.08
32,Mohammad Abualsheikh,Energy Metabolism,0.07
33,Mohammad Abualsheikh,Agglomeration,0.06
34,Mohammad Abualsheikh,Data Science,0.06
35,Mohammad Abualsheikh,Energy resources,0.05
36,Mohammad Abualsheikh,Stochastic systems,0.05
37,Mohammad Abualsheikh,Smartphones,0.05
38,Mohammad Abualsheikh,Large dataset,0.05
39,Mohammad Abualsheikh,Sensor networks,0.05
40,Mohammad Abualsheikh,Mobile Devices,0.42
41,Mohammad Abualsheikh,Wireless Sensor Networks,0.34
42,Mohammad Abualsheikh,Sensing,0.31
43,Mohammad Abualsheikh,Data Compression,0.29
44,Mohammad Abualsheikh,Policy,0.22
45,Mohammad Abualsheikh,Error Bounds,0.2
46,Mohammad Abualsheikh,Q-learning,0.19
47,Mohammad Abualsheikh,Markov Decision Process,0.14
48,Mohammad Abualsheikh,Stochastic Optimization,0.13
49,Mohammad Abualsheikh,User Experience,0.11
50,Mohammad Abualsheikh,Motion Tracking,0.11
51,Mohammad Abualsheikh,Accelerometer,0.09
52,Mohammad Abualsheikh,Submodularity,0.08
53,Mohammad Abualsheikh,Data Aggregation,0.08
