Staff_cnt,Tags
1,5325
2,3994
3,1315
4,1057
5,617
6,457
7,311
8,229
9,176
10,159
11,136
12,82
13,88
14,61
15,71
16,59
17,52
18,39
19,20
20,21
21,23
22,20
23,25
24,20
25,19
26,12
27,15
28,12
29,11
30,13
31,13
32,7
33,11
34,11
35,10
36,5
37,7
38,8
39,1
40,6
41,2
42,3
43,4
44,7
45,5
46,4
47,2
48,5
49,2
50,1
51,2
52,3
53,4
54,1
55,4
56,2
57,1
58,1
59,1
61,1
62,1
63,1
64,2
65,1
66,3
67,1
68,2
69,1
70,1
72,2
73,1
74,1
75,2
76,1
77,1
80,1
81,2
83,2
85,1
86,2
88,1
93,1
100,1
104,1
106,1
112,1
126,1
130,1
137,1
142,1
145,1
153,1
159,1
199,1
