Tags,Weight_sum,Staff_cnt,Weight_avg_all,Weight_avg_ind
Systematic Reviews,79.78,159,0.21388739946380697,0.5017610062893082
Students,68.46,142,0.18353887399463806,0.482112676056338
Health,67.6,199,0.18123324396782842,0.33969849246231154
Exercise,54.75,106,0.1467828418230563,0.5165094339622641
Education,53.94,145,0.1446112600536193,0.372
learning,50.04,126,0.13415549597855228,0.39714285714285713
student,45.58,153,0.12219839142091152,0.29790849673202613
Teaching,41.69,112,0.11176943699731903,0.37223214285714284
curriculum,40.05,100,0.10737265415549598,0.40049999999999997
education,39.24,130,0.10520107238605898,0.3018461538461539
Mental Health,38.74,76,0.10386058981233244,0.5097368421052632
Child,37.58,104,0.10075067024128685,0.3613461538461538
Sports,36.38,81,0.09753351206434317,0.4491358024691358
New Zealand,34.55,83,0.09262734584450401,0.4162650602409638
governance,34.11,72,0.09144772117962466,0.47375
social media,33.9,66,0.09088471849865952,0.5136363636363637
Athletes,33.87,57,0.09080428954423592,0.5942105263157894
experience,32.88,137,0.08815013404825738,0.24000000000000002
Learning,32.13,80,0.08613941018766756,0.401625
Art,32.08,59,0.0860053619302949,0.543728813559322
Meta-Analysis,31.41,66,0.08420911528150134,0.4759090909090909
politics,29.82,75,0.07994638069705094,0.3976
Internet,28.12,65,0.0753887399463807,0.4326153846153846
Randomized Controlled Trials,27.830000000000002,74,0.0746112600536193,0.3760810810810811
Communication,27.24,88,0.07302949061662198,0.3095454545454545
citizen,26.56,73,0.07120643431635389,0.36383561643835616
Australian Capital Territory,26.53,51,0.0711260053619303,0.5201960784313726
Cross-Sectional Studies,26.36,64,0.07067024128686326,0.411875
Delivery of Health Care,25.15,75,0.06742627345844504,0.3353333333333333
Quality of Life,25.05,64,0.06715817694369973,0.39140625
health,24.55,83,0.06581769436997319,0.2957831325301205
Territories,24.27,53,0.06506702412868633,0.4579245283018868
Psychology,24.13,68,0.0646916890080429,0.3548529411764706
Curriculum,23.85,53,0.06394101876675604,0.45
Industry,23.84,77,0.0639142091152815,0.3096103896103896
democracy,23.77,37,0.06372654155495978,0.6424324324324324
gender,23.25,68,0.06233243967828418,0.34191176470588236
Workforce,23.0,50,0.06166219839142091,0.46
