Description,Eligibility,FO Reference,GO ID,Primary Category,Secondary Category,Title
"Innovation Connections assists businesses to understand their research needs, connect with the research sector and fund collaborative research projects. It is done in 2 stages. 
 Stage 1 – Innovation Connections Facilitation 
 You must complete stage 1 before stage 2. The Innovation Connections Facilitation service is free and includes access to a highly-skilled facilitator, who will work with your business to understand your research needs. You might: 
 
 discuss strategic research opportunities in new or existing markets 
 identify critical research areas for improving your products, processes and services 
 find ways for your business to work with the research sector 
 
 At the end of the engagement, you will receive a Service Report that outlines your business’s research needs and opportunities. 
 Stage 2 – Innovation Connections Grant 
 If your facilitator recommends it, you can apply for an Innovation Connections Grant to undertake a research project that addresses the recommendations made in the Service Report. 
 Research projects must be in collaboration with a Publicly Funded Research Organisation (PFRO) and should develop a new idea with commercial potential. Your facilitator will help you decide which of the 3 available grants will suit your business's needs: 
 
 Researcher Placement – places a PFRO researcher in your business to work on a specific research project (up to $50,000) 
 Business Researcher Placement – places a researcher from your business into a PFRO to work on a specific research project (up to $50,000) 
 Graduate Placement – helps employ a graduate or post-graduate with a relevant degree into your business to work on a specific research project (up to $30,000) 
 
 See the Customer Information Guide for more information.","Eligibility for Innovation Connections Facilitation 
 We recommend that you contact a facilitator in your state before you start, to find out if our service is right for you. A facilitator can also assist with your application. 
 What are the eligibility criteria? 
 To be eligible for an Innovation Connections Facilitation, your business must: 
 
 be a solvent, for-profit, non-tax-exempt company that is registered for GST and incorporated and operating in Australia 
 be a company with trading activities that are the majority of its overall activities 
 have filed Business Activity Statements showing ongoing trading in at least 3 successive years 
 not have received an Innovation Connections Facilitation before 
 
 Your business’s annual turnover or operating expenditure in 1 of the last 3 financial years must be between $1.5 million and $100 million. If your business is in remote or Northern Australia, your annual turnover lower limit is $750,000. 
 You must also satisfy one of the following: 
 
 operate in one or more growth sectors 
 provide enabling technologies or services to one or more of the growth sectors 
 show a commitment to, and have the skills, capability, intellectual property or expertise to operate in, one of the growth sectors in the future 
 
 Refer to the Customer Information Guide for more information on the eligibility criteria for Innovation Connections. 
 Eligibility for Innovations Connections Grant 
 What are the eligibility criteria? 
 To be eligible for an Innovation Connections Grant, your business must: 
 
 have received a Service Report 
 apply within 12 months of receiving the report 
 be able to fund the total project costs, as the grant is paid after completion of the project 
 not use in-kind contributions or funds from other government grants or programmes to cover the project costs 
 not have received an Innovation Connections Grant in the last 5 years, unless you have confirmation that you can apply for a supplementary grant 
",,GO113,261001 - Industry Innovation,,"Entrepreneurs' Programme - Innovation Connections Grant"
"The Australian Government is inviting organisations via a restricted non-competitive process to apply for a Volunteer Grant under the Families and Communities Program – Volunteer Grants Activity in 2021. 
 The 2021 Volunteer Grants round began with a call for Expressions of Interest, with your local Member of Parliament (MP) using a community committee to develop a list of organisations to nominate. Following the Expression of Interest process, the MPs nominated organisations from their lists. The nomination period was between 6 April 2021 and 2:00 PM AEST 29 April 2021. 
 Only organisations nominated by their MP will receive an invitation to apply for the 2021 Volunteer Grants. The application period is between 20 May 2021 and 9:00 PM AEST 9 June 2021. 
 MP Expression of Interest - March - April 2021 (approx) 
 MP nomination period opens - 6 April 2021 
 MP nomination period closes - 29 April 2021 (2:00 PM AEST) 
 Application period opens - 20 May 2021 
 Application period closes - 9 June 2021 (9:00 PM AEST) 
 The Volunteer Grants Activity is an element of the Families and Communities Program, which aims to strengthen relationships, support families, improve wellbeing of children and young people, reduce the cost of family breakdown and strengthen family and community functioning. 
 The objectives of Volunteer Grants are to: 
 
 help community organisations to support the efforts of Australia’s volunteers 
 help community organisations to support the inclusion of vulnerable people through volunteering 
 encourage, support and increase participation in volunteering. 
 
 The intended outcome of the activity is to strengthen community functioning by increasing participation in volunteering.","To be eligible to apply, you must be an organisation that has been nominated by your Federal MP and: 
 
 be a legal entity 
 have a minimum of 40% of volunteers working for your organisation 
 be a not-for-profit organisation 
 have an Australian Business Number (ABN) or be willing to provide a  Statement by Supplier Form  (reason for not quoting an ABN). Please refer to the  Australian Tax Office  website for further information 
 have an account with an Australian financial institution in the name of the organisation applying. 
 
 NOTE: If you are applying as a Trustee on behalf of a Trust, the Trustee must be an eligible entity as listed below. You may be required to provide evidence of your entity type. 
 
 Indigenous Corporation 
 Company 
 Cooperative 
 Corporate State or Territory Entity 
 Non-corporate State or Territory Entity 
 Non-corporate State or Territory Statutory Authority 
 Incorporated Association 
 Statutory Entity and 
 be willing and legally able to enter into a grant agreement with the Commonwealth (refer to section 10.1 of the Grant Opportunity Guidelines). 
 
 An organisation can only apply for one Volunteer Grant, with the exception, detailed at section 4.2 of the Grant Opportunity Guidelines, of 2 organisations that have agreed to enter into an auspicing arrangement. 
 Where an organisation works across more than one electorate, and has been nominated by more than one MP, it can only apply for a Volunteer Grant in  one  electorate. 
 Branches of a larger umbrella organisation (for example, Scouts Australia, St John Ambulance Australia) are considered to be an organisation in their own right.",,GO4835,"301000 - Philanthropy, Voluntarism and Not-for-Profits Infrastructure",,2021 Volunteer Grants - Applications Open
"The Australian Government is inviting organisations to apply in an open selection process to deliver services under the Families and Communities Program – Financial Wellbeing and Capability (FWC) Activity – Financial Crisis and Material Aid – Emergency Relief across Australia from 1 January 2019 to 30 June 2023.   
 The FWC Activity is a component of the Families and Communities Program. The Families and Communities Program aims to strengthen relationships, improve the wellbeing of children and young people, reduce the cost of family breakdown, strengthen family and community functioning and facilitate the settlement of migrants and humanitarian entrants in the community. 
 The objectives of the FWC Activity are to support eligible individuals and families to navigate financial crises, build financial wellbeing, financial capability, and resilience. FWC services provide support for vulnerable people and those most at risk of financial and social exclusion and disadvantage. 
 Financial Crisis and Material Aid – Emergency Relief contributes to the FWC Activity outcomes by providing immediate financial or material aid to eligible people. This may constitute food parcels, clothes or vouchers (for example vouchers for supermarket, utilities or petrol).",To be eligible you must be one of the following entity types: Indigenous Corporation Company Local Government Corporate State or Territory Entity Cooperative Incorporated Association Statutory Entity Trustee on behalf of a Trust. Certain non-legal entity types can be considered eligible for this Emergency Relief grant opportunity.The relevant Delegate approves the following non-legal entity type may be eligible for this grant opportunity: Unincorporated Associations. ,,GO1430,331003 - Social Inclusion,,Financial Crisis and Material Aid – Emergency Relief
"The Linkage Projects scheme supports projects which initiate or develop long term strategic research alliances to apply advanced knowledge to problems, acquire new knowledge and as a basis for securing commercial and other benefits of research. 
 To facilitate successful collaboration between higher education institutions and other parts of the innovation system, there will be three assessment rounds for Linkage Projects for funding applied for in 2020, and funding outcomes will be recommended to the Minister within six months of the application closing date for each round. Please refer to the Important Dates document for detailed information about the assessment round dates. 
 The Linkage Projects scheme objectives are to: 
 
 support the development of long-term strategic research alliances between higher education organisations and industry and other research end-users, in order to apply advanced knowledge to problems;  
 provide opportunities for internationally competitive research projects to be conducted in collaboration with organisations outside the higher education sector; and 
 enhance the scale and focus of research in Australian Government priority areas. 
 
 The intended outcomes of the Linkage Projects scheme are: 
 
 the growth of a national pool of world-class researchers to meet the needs of the broader Australian innovation system; and 
 economic, commercial, environmental, social and/or cultural benefits for Australia. 
","An application may only be submitted through the Research Office of an Eligible Organisation listed in the Grant Guidelines. The application must nominate at least one Chief Investigator (CI); the first named CI will be the Project Leader. Additional CIs and Partner Investigators (PIs) may be nominated in the application.  
 To be eligible to apply as a CI or PI the individual nominated must as at application submission have met their obligations regarding previously funded projects, including submission to the ARC of satisfactory final reports.  
 A CI must meet at least one of the following criteria at the grant commencement date and for the project activity period:  be an employee for at least 20 per cent of full time equivalent (0.2 FTE) at an Eligible Organisation; or be a holder of an honorary academic appointment at an Eligible Organisation. 
 A CI must reside predominantly in Australia for the project activity period; and must not be undertaking a Higher Degree by Research (HDR) during the project activity period. 
 A named participant can apply for and be concurrently funded through the Linkage Program for a maximum of four Linkage Program projects (not including the Linkage Infrastructure, Equipment and Facilities scheme) as a CI or Director. Please refer to the Grant Guidelines for further details regarding this eligibility requirement. 
 Limits may be re-calculated as other grant opportunity announcements are made. 
 To be eligible to apply as a PI, the individual nominated must at the grant commencement date: not be eligible to be a CI. 
 To be eligible to hold, a PI: must not meet the eligibility criteria for a CI during the project activity period. An employee of an Eligible Organisation who does not reside predominantly in Australia may be a PI.",LP2020,GO3426,"381002 - Humanities, Arts and Social Sciences (HASS) Research","381001 - Science, Technology, Engineering and Mathematics (STEM) Research",Linkage Projects for funding applied for in 2020
"This grant will fund and provide funding to an administrator (the Program Administrator) to deliver, administer and manage distribution of the Innovation Fund 2021. This program is in support of the private higher education and ELICOS sector post COVID 19, targeted at building and creating new online and offshore markets. ","Must be invited to apply by the Department of Education, Skills and Employment. ",,GO4837,131002 - Education Support,,Innovation Fund 2021 Program Administrator Guidelines
"The Discovery Early Career Researcher Award (DECRA) grant opportunity provides focused research support for early career researchers in both teaching and research, and research-only positions.  
 The DECRA scheme objectives are to:  
 
 support excellent basic and applied research by early career researchers; 
 support national and international research collaboration; 
 enhance the scale and focus of research in Australian Government priority areas; 
 advance promising early career researchers and promote enhanced opportunities for diverse career pathways; and 
 enable research and research training in high quality and supportive environments. 
 
 The intended outcomes of the DECRA scheme are: 
 
 expanded knowledge base and research capacity in Australia; and 
 economic, commercial, environmental, social and/or cultural benefits for Australia. 
","An application may only be submitted through the Research Office of an Eligible Organisation listed in the grant guidelines. Eligibility A DECRA candidate must satisfy the eligibility criteria as listed in the grant guidelines. A previous recipient, or an individual who has been nominated for a DECRA on two previous occasions, is not eligible to apply for another DECRA. This includes withdrawn and ineligible applications. To be eligible, the candidate must, as at the grant opportunity closing date: only apply for one DECRA in a given year; have met their obligations regarding previously funded projects, including submission of satisfactory final reports to the ARC at the grant opportunity closing date. have an award of PhD date on, or after 1 March 2015; or have an award of PhD date together with an allowable period of career interruptions that would be commensurate with an award of PhD date on, or after 1 March 2015. The allowable career interruptions set out and the period allowed for each is in Table 9 of the Grant Guidelines for the Discovery Program (2019 edition). If a DECRA candidate has more than one PhD, the earliest awarded PhD must fall within this timeframe. A DECRA candidate can be concurrently funded through the Discovery Program for a maximum of: one ARC Fellowship and one project as a Chief Investigator (CI); or one ARC Fellowship or project if the individual is also a CI or Director on an active ARC Centre of Excellence or a Special Research Initiative project. Limits will be calculated at the grant opportunity closing date. Named participants on successful applications for DECRA must meet the project limit requirements.",DProg2019,GO3074,"381002 - Humanities, Arts and Social Sciences (HASS) Research","381001 - Science, Technology, Engineering and Mathematics (STEM) Research",Discovery Early Career Researcher Award for funding commencing in 2021
"The objectives of this grant opportunity are to support organisations across Australia to: 
 
 accelerate work on new industry-led product stewardship schemes, and 
 improve the rates of recycling across new and existing schemes 
 
 There is $14 million available for this grant opportunity. The minimum grant is $300,000 and the maximum grant is $1 million. 
 You can use your grant for one or more of the following activities: 
 
 business case development 
 scheme design 
 scheme implementation 
","To be eligible you must have an Australian business number (ABN) and be one of the following incorporated entities: an incorporated not for profit organisation an incorporated association a company a company limited by guarantee If you’re a scheme administrator of a regulated federal or state government product stewardship scheme, you’re eligible if you’re one of the above entities and your proposed project is not related to a regulated scheme. We can only accept applications where you can provide evidence from your board (or chief executive officer or equivalent if there is no board) that the project is supported, and that you can complete the project and meet the costs of the project not covered by grant funding.",,GO4085,211003 - Energy Resources,,National Product Stewardship Investment Fund – 2020
"The objective of this grant is to provide assistance through limited financial support to existing CHSP service providers to enable them to respond to unforeseen and exceptional circumstances that directly impact on existing service delivery arrangements that are beyond the control of the grant recipient. 
 This grant opportunity will provide grant funding for two groups of CHSP Providers, Group A CHSP Providers delivering any activity type(s) and Group B CHSP meals providers.  
 For more details please refer to the Grant Opportunity Guidelines by selecting the ""GO Documents"" red button to the left-hand-side.","Group A 
 To be eligible for a Group A grant you must have a current executed Whole of Government grant agreement with the Commonwealth to deliver CHSP services.  
 Group B 
 To be eligible for a Group B grant you must have a current executed Whole of Government grant agreement with the Commonwealth to deliver CHSP meals services.",,GO3877,101001 - Aged Care,,Commonwealth Home Support Programme (CHSP) – Emergency support for COVID-19
"The Indigenous Employment Initiative grant program is part of the Health Workforce Program, an Australian Government initiative administered by the Department of Health to improve heath workforce outcomes.   This grant opportunity merges five existing aged care employment programs, and two associated training programs, which commenced between 2007 and 2010, into a single program called the Indigenous Employment Initiative program (IEI program).  The merged programs are the: Employment: 1. Building an Indigenous Workforce in Community Care; 2. Cape York Jobs Package;  3. National Jobs Creation Package; 4. Northern Territory Jobs Package; and 5. Torres Strait Island Jobs Package. Training: 6. Northern Territory Training Program; and 7. Rural and Remote Training Program. 
 The IEI program will continue the Government’s policy objective of closing the life expectancy gap between Indigenous and non indigenous Australians within a generation by: • Creating employment opportunities for Aboriginal and/or Torres Strait Islander people as part of the Government’s wider strategy to reduce Indigenous economic disadvantage; and • Making available a suitably skilled Aboriginal and Torres Strait Islander workforce to provide culturally-appropriate age care to older Aboriginal and/or Torres Strait Islander people so they can age with dignity in their homes. 
 The IEI program will run over the three financial years 2020-21 to 2022-23 inclusive.",This is a targeted competitive Grant Opportunity. Only organisations listed at Appendix A are eligible to apply for this Grant Opportunity.,,GO2918,231018 - Public Health Services,,Indigenous Employment Initiative 2020-21 to 2022-23
"The Live Music Australia program will provide support to the live music sector, with a focus on small to medium venues that support high quality original Australian live music that is professionally staged. It aims to revive business ventures in local suburbs, towns and regions across the country, building capacity for a sustainable live music scene with strong community roots, in all parts of Australia. The first year of funding is aimed at preparing live music venues to become operational following the impacts of COVID-19 on the industry. 
 The program will: 
 • support the development, growth and innovation of Australian contemporary live music by increasing performance opportunities for original contemporary music by Australian artists 
 • support a sustainable venue-based live music industry by building professional capacity within venues 
 • support partnerships, collaboration and networks across the Australian live music industry. 
 The grant program will run from 1 July 2020 to 30 June 2024, with $5 million available per year. The maximum grant amount is $100,000.","To be eligible for funding, applicants must:  
 • have an Australian Business Number (ABN) 
 • be registered for the purposes of GST (if applicable) 
 • be a permanent resident of Australia 
 • have an account with an Australian financial institution 
 • comply with all regulatory, industry and legal requirements in relation to copyright, licensing and employment 
 and be one of the following entity types: 
 • a company incorporated in Australia  
 • a company incorporated by guarantee 
 • A sole trader with employees 
 • an incorporated trustee on behalf of a trust 
 • an incorporated association 
 • a partnership 
 • a not-for-profit organisation 
 • an Australian local government body 
 • an Aboriginal and/or Torres Strait Islander Corporation registered under the  Corporations (Aboriginal and /or Torres Strait Islander) Act 2006  .",,GO4553,121003 - Humanities,,Live Music Australia - Round 2
