index,ATM ID,Category,Description,Title,_id,raw_result,key_0,key_1,key_2,key_3,text,key_4
0,ITR 2003/23,Engineering and Research and Technology Based Services,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,NOIE - National Information Research Proposals,6162aa1fe1b7f5c73e6fdfd0,"[('nii noie proposals', 0.7347), ('relevant protection nii', 0.7233), ('noie00483 conduct relevant', 0.621), ('protection nii noie', 0.6949), ('protection nii', 0.6911)]",inform,infrastructur,research,nation,(cets ref noie00483) conduct of  relevant to the protection of the    ()..noie -    proposals,nii
1,NS0579RFP,Specialised educational services,The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training.,ABC - Project Management Training Services,6162aa1fe1b7f5c73e6fdfd1,"[('customise pm courseware', 0.6678), ('australian broadcasting corporation', 0.592), ('innovative accredited services', 0.5303), ('courseware deliver innovative', 0.6148), ('pm courseware deliver', 0.6061)]",manag,project,abc,train,the australian broadcasting corporation () is issuing this request for proposal in order to identify suitable service providers able to develop and customise   (pm)  as well as deliver innovative accredited   .. -    services,coursewar
2,NCON/03/89,Management advisory services,Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program’s Community Based Broker Projects (CBBP). ,NOIE Business and Technical Consultancy,6162aa1fe1b7f5c73e6fdfd2,"[('infrastructure demand aggregation', 0.6243), ('based projects cbbp', 0.573), ('applications coordinated communications', 0.5054), ('communications infrastructure demand', 0.5978), ('aggregation program community', 0.5274)]",broker,fund,ccif,consult, to provide advice on applications to the coordinated communications infrastructure  () and the  aggregation  program’s community based  projects (cbbp). .noie business and technical ,demand
3,NS0589EOI,Management advisory services,The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth.,ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY,6162aa1fe1b7f5c73e6fdfd3,"[('services premises perth', 0.5952), ('seeking expressions eoi', 0.4734), ('qualified companies provide', 0.4275), ('perth broadcast technical', 0.4838), ('construction east perth', 0.4948)]",consult,abc,reloc,exist,the  is seeking expressions of interest (eoi) from suitably qualified companies to provide independent  and management services for its  from  premises in  to new premises under construction in east .. - broadcast & technical  ,perth
4,NCON/04/10,Management advisory services,"The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management.","ICT, Organisation and Management – The Strategic Management of Technology",6162aa1fe1b7f5c73e6fdfd4,"[('organisation management strategic', 0.5932), ('national office noie', 0.571), ('explores nexus organisation', 0.4888), ('management technology', 0.5193), ('organisation', 0.5178)]",ict,consult,economi,inform,"the national office for the   (noie) invites suitably qualified  to undertake a  that explores the nexus between ,  and management..,  and management – the strategic management of technology",organis
5,ncon0447,Management advisory services,The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia’s market sector.,The Role of ICT in Australia’s Economic Performance: Investigation of assumptions influencing the productivity estimates,6162aa1fe1b7f5c73e6fdfd5,"[('ict performance', 0.6283), ('measures growth market', 0.5637), ('ict performance investigation', 0.6071), ('information noie', 0.41), ('influencing estimates', 0.4342)]",australia,econom,economi,product,the national office for the information  (noie) is seeking tenderers to undertake research into the macro measures of  growth for ’s market sector..the role of  in ’s  performance: investigation of assumptions influencing the  estimates,ict
6,NCON/04/53,Management advisory services,NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government.,NOIE - Consultancy Services to conduct a survey of Government e-procurement activity,6162aa1fe1b7f5c73e6fdfd6,"[('initiatives consultancy services', 0.6429), ('conduct australian agencies', 0.592), ('consultant conduct australian', 0.6222), ('initiatives consultancy', 0.6077), ('status initiatives consultancy', 0.5542)]",govern,noie,survey,procur, is seeking a  to conduct a  of australian  agencies to obtain a detailed understanding of the current status of e- initiatives within .. -  services to conduct a  of  e- activity,consult
7,NCON/04/67,Management advisory services,"This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework.",NOIE - National Government Interoperability Framework,6162aa1fe1b7f5c73e6fdfd7,"[('implementation guidelines noie', 0.7016), ('consultancy assemble comprehensive', 0.6454), ('standards related policy', 0.591), ('guidelines noie', 0.6243), ('comprehensive universally endorsed', 0.5)]",interoper,govern,nation,framework,"this consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed  standards and related policy and implementation  under a    ..noie -    ",guidelin
8,CON G 178/2004,Education and Training Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Civilian Accreditation & Re-accred of RAN Training,6162aa1fe1b7f5c73e6fdfd8,"[('business opportunity previously', 0.5407), ('accred ran training', 0.4753), ('gov migrated stender', 0.4545), ('opportunity previously published', 0.4646), ('migrated stender accred', 0.4416)]",accredit,au,ad,civilian,"this business  was previously published on .gov., and has now been migrated to stender.  & re-accred of ran training",opportun
9,RFT DHS 4/2004,Healthcare Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",ADF Residential Treatment Facility - RAAF Richmond,6162aa1fe1b7f5c73e6fdfd9,"[('austender treatment richmond', 0.5294), ('previously published ads', 0.4806), ('au migrated austender', 0.5284), ('business opportunity previously', 0.4533), ('migrated austender treatment', 0.507)]",adf,facil,raaf,residenti,"this business opportunity was previously published on ads.gov.au, and has now been migrated to .  treatment  -  richmond",austend
10,AusAID002/04,Education and Training Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Phillipines Human Resource Development Facility,6162aa1fe1b7f5c73e6fdfda,"[('human development facility', 0.5194), ('gov au migrated', 0.508), ('business opportunity previously', 0.4653), ('migrated human development', 0.5143), ('published gov au', 0.4898)]",phillipin,austend,ad,resourc,"this business opportunity was previously published on .gov.au, and has now been migrated to . human   facility",develop
11,DFAT04/070035,Engineering and Research and Technology Based Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Facilities Management - Technical Drawing Office,6162aa1fe1b7f5c73e6fdfdb,"[('ads gov management', 0.5876), ('technical drawing office', 0.5682), ('business opportunity previously', 0.558), ('previously published ads', 0.5546), ('management technical drawing', 0.5615)]",austend,au,migrat,facil,"this business opportunity was previously published on ads.gov., and has now been  to ..  - technical drawing office",manag
12,RFT 116 / 0304,Management advisory services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Evaluate the Impact of Accreditation...,6162aa1fe1b7f5c73e6fdfdc,"[('published gov au', 0.5217), ('business previously published', 0.5189), ('migrated evaluate impact', 0.4248), ('gov au migrated', 0.5066), ('evaluate impact', 0.4272)]",accredit,austend,ad,opportun,"this business  was previously  on .gov.au, and has now been migrated to ..evaluate the impact of ...",publish
13,SA02/0304,Management advisory services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Review of Aboriginal Drug and Alcohol Council (ADA,6162aa1fe1b7f5c73e6fdfdd,"[('austender review ada', 0.6022), ('ads gov au', 0.514), ('business opportunity previously', 0.4417), ('au migrated austender', 0.5041), ('previously published ads', 0.4955)]",aborigin,alcohol,drug,council,"this business opportunity was previously published on ads.gov.au, and has now been migrated to ..review of   and   (ada",austend
14,2004/1027521/1,Specialised educational services,External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training,Procurement of Services,6162aa1fe1b7f5c73e6fdfde,"[('evaluation delivered raaf', 0.6681), ('technical procurement services', 0.5806), ('raaf school technical', 0.6537), ('delivered raaf school', 0.6357), ('external evaluation delivered', 0.5505)]",train,trade,avion,aircraft,external evaluation of  and    delivered at the  school of technical .procurement of services,raaf
15,DEST5285,Education and Training Services,Management of Endeavour Language Teacher Fellowships,Endeavour Language Teacher Fellowships Programme,6162aa1fe1b7f5c73e6fdfdf,"[('management programme', 0.801), ('programme', 0.6814), ('management', 0.5432)]",languag,teacher,endeavour,fellowship,management of    .    ,programm
16,159 / 0304,Management advisory services,Review for the National Diabetes Services Scheme,Review for the National Diabetes Services Scheme,6162aa1fe1b7f5c73e6fdfe0,"[('national national', 0.7327), ('national', 0.7271)]",diabet,servic,scheme,review, for the    . for the    ,nation
17,DEST5108,Education and Training Services,"A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music.",National Review of School Music Education,6162aa1fe1b7f5c73e6fdfe1,"[('review school education', 0.6012), ('teaching non schools', 0.5911), ('quality status teaching', 0.5847), ('teaching school national', 0.5482), ('school national review', 0.5703)]",music,australian,govern,learn,"a review of the current quality and status of  and  of  in   and non- schools, including an identification of the factors that affect the quality and status of  and  of school ..national review of school  education",teach
18,ROP 01/2004,Environmental Services,Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands,Environmental Service Provision - Indian Ocean Territories,6162aa1fe1b7f5c73e6fdfe2,"[('services behalf australian', 0.6387), ('indian ocean territories', 0.5979), ('territories chrismtas island', 0.6026), ('government external territories', 0.5625), ('australian government external', 0.5649)]",environment,provis,commonwealth,island, of  services on behalf of the australian government in the external   of chrismtas island and the cocos (keeling) . service  - indian ocean ,territori
19,FIN04/1119,Management advisory services,Appointment of a panel to provide a range of private financing advisory services to both the Department of Finance and Administration and other Australian Government departments and agencies interested in using this procurement method.,Private Financing Advisory Services Panel,6162aa1fe1b7f5c73e6fdfe3,"[('procurement method panel', 0.6803), ('australian government departments', 0.6051), ('appointment panel provide', 0.5774), ('finance administration australian', 0.5544), ('panel provide', 0.5185)]",advisori,financ,privat,servic,appointment of a  to provide a range of     to both the department of finance and administration and other australian government departments and agencies interested in using this procurement method..    ,panel
20,158 / 0304,Management advisory services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,Analysis of Service Activity Reporting for Australian Government funded Aboriginal and Torres Strait Islander primary health care services,6162aa1fe1b7f5c73e6fdfe4,"[('service activity aboriginal', 0.7632), ('activity aboriginal torres', 0.6048), ('care services analysis', 0.5191), ('islander primary health', 0.486), ('activity aboriginal', 0.6124)]",australian,govern,report,fund,analysis of service activity  for     and torres strait islander primary health care services.analysis of service activity  for     and torres strait islander primary health care services,aborigin
21,RFTG04/0001,Healthcare Services,Centrelink requires a suitably qualified organisation to provide professional counselling services.,EMPLOYEE COUNSELLING SERVICES,6162aa1fe1b7f5c73e6fdfe5,"[('provide services employee', 0.7397), ('requires suitably qualified', 0.6805), ('qualified provide services', 0.6763), ('employee services', 0.6636), ('services employee', 0.6553)]",counsel,centrelink,organis,profession, requires a suitably qualified  to provide   ..employee  ,servic
22,110/0304,Specialised educational services,Provision of IT Training Services,Provision of IT Training Services,6162aa1fe1b7f5c73e6fdfe6,"[('[NoneTag]', 0)]",provis,servic,train,[nonetag], of it  . of it  ,[nonetag]
23,153/0304,Management advisory services,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,Systematic Review of literature on Cardiac Rehabilitation Services for Aboriginal and Torres Strait Islander peoples,6162aa1fe1b7f5c73e6fdfe7,"[('systematic review aboriginal', 0.8163), ('review aboriginal torres', 0.6814), ('review aboriginal', 0.7022), ('islander peoples systematic', 0.6187), ('peoples systematic review', 0.6304)]",rehabilit,servic,cardiac,literatur,systematic  of  on    for aboriginal and torres strait islander peoples.systematic  of  on    for aboriginal and torres strait islander peoples,review
24,163/0304,Management advisory services,External evaluation of PBAC submissions,External evaluation of PBAC submissions,6162aa1fe1b7f5c73e6fdfe8,"[('[NoneTag]', 0)]",pbac,evalu,submiss,extern,  of  .  of  ,[nonetag]
25,ACON_04_16,Management advisory services,The Australian Government Information Management Office (AGIMO) is seeking to establish three panels of suitably qualified and experienced organisations to provide ongoing website management services and advice.,AGIMO - Website Management Services Panel Arrengement,6162aa1fe1b7f5c73e6fdfe9,"[('australian government information', 0.6246), ('website arrengement', 0.5367), ('experienced organisations provide', 0.4901), ('information office seeking', 0.5163), ('advice website arrengement', 0.5246)]",agimo,manag,panel,servic,the australian government   office () is seeking to establish three s of suitably qualified and experienced organisations to provide ongoing website   and advice.. - website    arrengement,inform
26,ACON/04/10,Management advisory services,Consultancy to conduct a review of the corporate services for the Australian Government Information Management Office (AGIMO),AGIMO - Consultancy services to conduct a review of the AGIMO corporate services function,6162aa1fe1b7f5c73e6fdfea,"[('conduct review australian', 0.6635), ('government information management', 0.5835), ('review australian government', 0.6495), ('review function', 0.5716), ('office conduct review', 0.5946)]",agimo,consult,servic,corpor, to conduct a  of the   for the australian government information management office (). -   to conduct a  of the    function,review
27,RFT NO. 01/2004,Management advisory services,BEFR: Phase 3 Solution Development and Implementation,Provision of Solution Development and Implementation Services to the Department of Finance and Administration,6162aa1fe1b7f5c73e6fdfeb,"[('solution services finance', 0.6879), ('finance administration', 0.5828), ('services finance administration', 0.6368), ('solution provision', 0.5734), ('services finance', 0.6028)]",develop,befr,implement,depart,: phase 3 solution  and .provision of solution  and  services to the  of  and administration,financ
28,APCM 51.04,Management advisory services,Invitation to tender for the provision of Executive Coaching Services under a panel arrangement.,ATO – Executive Coaching Services,6162aa1fe1b7f5c73e6fdfec,"[('invitation tender panel', 0.8034), ('tender panel arrangement', 0.7792), ('panel arrangement ato', 0.6851), ('tender panel', 0.7018), ('invitation tender', 0.6709)]",coach,execut,servic,provis,invitation to tender for the  of    under a  arrangement..ato –   ,panel
29,41/2004DEH,Environmental Services,Prioritisation of wetlands for investment.,Wetland prioritisation - decision support system development,6162aa1fe1b7f5c73e6fdfed,"[('investment development', 0.711), ('investment', 0.5705), ('development', 0.4972)]",prioritis,wetland,decis,support, of  for ..  -   system development,invest
