index,ATM ID,Category,Description,Title,_id,result,text,raw_result,items,key_1,first_result
0,ITR 2003/23,Engineering and Research and Technology Based Services,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,NOIE - National Information Research Proposals,6162aa1fe1b7f5c73e6fdfd0,,(cets ref noie00483) conduct of research relevant to the protection of the national  infrastructure (nii)..noie - national  research proposals,"[('information infrastructure nii', 0.7492), ('research relevant protection', 0.5542), ('ref', 0.0757), ('noie00483 conduct', 0.3301), ('proposals', 0.2435)]",0,inform,"[('national infrastructure nii', 0.7722), ('protection national infrastructure', 0.7711), ('noie national research', 0.6263), ('infrastructure nii noie', 0.7287), ('national infrastructure', 0.6985)]"
1,NS0579RFP,Specialised educational services,The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training.,ABC - Project Management Training Services,6162aa1fe1b7f5c73e6fdfd1,,the australian broadcasting corporation () is issuing this request for proposal in order to identify suitable service providers able to develop and customise project management (pm) courseware as well as deliver innovative accredited project management training.. - project management training services,"[('abc project management', 0.7385), ('service providers able', 0.23), ('pm courseware', 0.5161), ('australian', 0.1971), ('issuing request proposal', 0.3015)]",1,abc,"[('project management pm', 0.7011), ('management pm courseware', 0.6921), ('training project management', 0.694), ('accredited project management', 0.6508), ('project management training', 0.6968)]"
2,NCON/03/89,Management advisory services,Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program’s Community Based Broker Projects (CBBP). ,NOIE Business and Technical Consultancy,6162aa1fe1b7f5c73e6fdfd2,,consultancy to provide advice on applications to the coordinated communications infrastructure fund (ccif) and the demand aggregation  program’s community based  projects (cbbp). .noie business and technical consultancy,"[('broker projects cbbp', 0.6674), ('coordinated communications infrastructure', 0.4444), ('provide advice', 0.2613), ('demand', 0.3253), ('program community based', 0.3177)]",2,broker,"[('infrastructure fund ccif', 0.6402), ('based projects cbbp', 0.5968), ('consultancy provide', 0.5848), ('communications infrastructure fund', 0.6204), ('demand aggregation program', 0.4463)]"
3,NS0589EOI,Management advisory services,The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth.,ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY,6162aa1fe1b7f5c73e6fdfd3,,the abc is seeking expressions of interest (eoi) from suitably qualified companies to provide independent  and management services for its relocation from existing premises in perth to new premises under construction in east perth..abc - broadcast & technical relocation ,"[('technical relocation consultancy', 0.5537), ('expressions eoi', 0.3974), ('perth abc broadcast', 0.4089), ('seeking', 0.3162), ('provide independent', 0.1934)]",3,consult,"[('abc seeking', 0.5644), ('existing premises perth', 0.5224), ('broadcast technical relocation', 0.5043), ('seeking expressions eoi', 0.4536), ('perth abc', 0.5357)]"
4,NCON/04/10,Management advisory services,"The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management.","ICT, Organisation and Management – The Strategic Management of Technology",6162aa1fe1b7f5c73e6fdfd4,,"the national office for the information economy (noie) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ict, organisation and ..ict, organisation and  – the strategic  of technology","[('information economy noie', 0.6509), ('consultants undertake consultancy', 0.5468), ('invites suitably', 0.0887), ('management strategic management', 0.4029), ('explores nexus', 0.2266)]",4,manag,"[('ict organisation strategic', 0.6639), ('information economy noie', 0.6621), ('consultants undertake consultancy', 0.5514), ('ict organisation ict', 0.6199), ('ict organisation', 0.6208)]"
5,ncon0447,Management advisory services,The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia’s market sector.,The Role of ICT in Australia’s Economic Performance: Investigation of assumptions influencing the productivity estimates,6162aa1fe1b7f5c73e6fdfd5,,the national office for the information economy (noie) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for australia’s market sector..the role of ict in australia’s economic performance: investigation of assumptions  the productivity estimates,"[('ict australia economic', 0.796), ('tenderers undertake', 0.173), ('noie', 0.2406), ('investigation assumptions influencing', 0.279), ('influencing productivity estimates', 0.5734)]",5,influenc,"[('ict australia economic', 0.7979), ('productivity growth australia', 0.6961), ('australia economic performance', 0.6595), ('information economy noie', 0.605), ('ict australia', 0.637)]"
6,NCON/04/53,Management advisory services,NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government.,NOIE - Consultancy Services to conduct a survey of Government e-procurement activity,6162aa1fe1b7f5c73e6fdfd6,,noie is seeking a consultant to conduct a survey of australian government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within government..noie -  services to conduct a survey of government e-procurement activity,"[('government noie consultancy', 0.6704), ('australian', 0.1941), ('understanding current status', 0.1111), ('conduct', 0.1229), ('procurement activity', 0.5154)]",6,consult,"[('survey government procurement', 0.632), ('noie seeking consultant', 0.6245), ('australian government agencies', 0.5601), ('conduct survey australian', 0.5474), ('government noie services', 0.5461)]"
7,NCON/04/67,Management advisory services,"This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework.",NOIE - National Government Interoperability Framework,6162aa1fe1b7f5c73e6fdfd7,,"this consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a  government interoperability framework..noie -  government interoperability framework","[('government interoperability framework', 0.8069), ('commonly', -0.013), ('noie national', 0.3372), ('consultancy', 0.3896), ('implementation guidelines national', 0.5711)]",7,nation,"[('government interoperability framework', 0.8304), ('guidelines government interoperability', 0.801), ('interoperability standards related', 0.7754), ('interoperability framework noie', 0.781), ('noie government interoperability', 0.7955)]"
8,CON G 178/2004,Education and Training Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Civilian Accreditation & Re-accred of RAN Training,6162aa1fe1b7f5c73e6fdfd8,,"this business opportunity was previously published on ads.gov.au, and has now been migrated to austender.civilian  & re-accred of ran training","[('austender civilian accreditation', 0.5332), ('ads gov au', 0.4596), ('business opportunity previously', 0.4295), ('accred ran training', 0.4142), ('migrated', 0.2597)]",8,accredit,"[('au migrated austender', 0.4778), ('previously published ads', 0.4598), ('accred ran training', 0.3974), ('business opportunity previously', 0.4483), ('ads gov au', 0.4766)]"
9,DFAT04/070035,Engineering and Research and Technology Based Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Facilities Management - Technical Drawing Office,6162aa1fe1b7f5c73e6fdfdb,,"this business opportunity was previously published on ads.gov.au, and has now been migrated to ..facilities management - technical drawing office","[('austender facilities management', 0.5237), ('ads gov au', 0.4485), ('opportunity previously published', 0.391), ('drawing office', 0.3805), ('migrated', 0.2336)]",9,austend,"[('ads gov au', 0.5244), ('migrated facilities management', 0.4873), ('technical drawing office', 0.4793), ('business opportunity previously', 0.4745), ('au migrated facilities', 0.5227)]"
