ATM ID,Category,Description,Title,_id,result,text,raw_result
ITR 2003/23,Engineering and Research and Technology Based Services,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,NOIE - National Information Research Proposals,6162aa1fe1b7f5c73e6fdfd0,,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII)..NOIE - National Information Research Proposals,"[('information infrastructure nii', 0.7492), ('research relevant protection', 0.5542), ('ref', 0.0757), ('noie00483 conduct', 0.3301), ('proposals', 0.2435)]"
NS0579RFP,Specialised educational services,The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training.,ABC - Project Management Training Services,6162aa1fe1b7f5c73e6fdfd1,,The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training..ABC - Project Management Training Services,"[('abc project management', 0.7385), ('service providers able', 0.23), ('pm courseware', 0.5161), ('australian', 0.1971), ('issuing request proposal', 0.3015)]"
NCON/03/89,Management advisory services,Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program’s Community Based Broker Projects (CBBP). ,NOIE Business and Technical Consultancy,6162aa1fe1b7f5c73e6fdfd2,,Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program’s Community Based Broker Projects (CBBP). .NOIE Business and Technical Consultancy,"[('broker projects cbbp', 0.6674), ('coordinated communications infrastructure', 0.4444), ('provide advice', 0.2613), ('demand', 0.3253), ('program community based', 0.3177)]"
NS0589EOI,Management advisory services,The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth.,ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY,6162aa1fe1b7f5c73e6fdfd3,,The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth..ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY,"[('technical relocation consultancy', 0.5537), ('expressions eoi', 0.3974), ('perth abc broadcast', 0.4089), ('seeking', 0.3162), ('provide independent', 0.1934)]"
NCON/04/10,Management advisory services,"The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management.","ICT, Organisation and Management – The Strategic Management of Technology",6162aa1fe1b7f5c73e6fdfd4,,"The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management..ICT, Organisation and Management – The Strategic Management of Technology","[('information economy noie', 0.6509), ('consultants undertake consultancy', 0.5468), ('invites suitably', 0.0887), ('management strategic management', 0.4029), ('explores nexus', 0.2266)]"
ncon0447,Management advisory services,The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia’s market sector.,The Role of ICT in Australia’s Economic Performance: Investigation of assumptions influencing the productivity estimates,6162aa1fe1b7f5c73e6fdfd5,,The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia’s market sector..The Role of ICT in Australia’s Economic Performance: Investigation of assumptions influencing the productivity estimates,"[('ict australia economic', 0.796), ('tenderers undertake', 0.173), ('noie', 0.2406), ('investigation assumptions influencing', 0.279), ('influencing productivity estimates', 0.5734)]"
NCON/04/53,Management advisory services,NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government.,NOIE - Consultancy Services to conduct a survey of Government e-procurement activity,6162aa1fe1b7f5c73e6fdfd6,,NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government..NOIE - Consultancy Services to conduct a survey of Government e-procurement activity,"[('government noie consultancy', 0.6704), ('australian', 0.1941), ('understanding current status', 0.1111), ('conduct', 0.1229), ('procurement activity', 0.5154)]"
NCON/04/67,Management advisory services,"This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework.",NOIE - National Government Interoperability Framework,6162aa1fe1b7f5c73e6fdfd7,,"This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework..NOIE - National Government Interoperability Framework","[('government interoperability framework', 0.8069), ('commonly', -0.013), ('noie national', 0.3372), ('consultancy', 0.3896), ('implementation guidelines national', 0.5711)]"
CON G 178/2004,Education and Training Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Civilian Accreditation & Re-accred of RAN Training,6162aa1fe1b7f5c73e6fdfd8,,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.Civilian Accreditation & Re-accred of RAN Training","[('austender civilian accreditation', 0.5332), ('ads gov au', 0.4596), ('business opportunity previously', 0.4295), ('accred ran training', 0.4142), ('migrated', 0.2597)]"
DFAT04/070035,Engineering and Research and Technology Based Services,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Facilities Management - Technical Drawing Office,6162aa1fe1b7f5c73e6fdfdb,,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender..Facilities Management - Technical Drawing Office","[('austender facilities management', 0.5237), ('ads gov au', 0.4485), ('opportunity previously published', 0.391), ('drawing office', 0.3805), ('migrated', 0.2336)]"
