index,ATM ID,Category,Description,Title,_id,raw_result,key_0,key_1,key_2,key_3,text,key_4
2427,NGTF-IDS-2019-11-2,Military science and research,Academic and industry proposals for Distributed Multi-Domain Networks research supporting decision superiority,Next Gen Technologies Fund - Intelligent Decision Superiority Call for Proposals – Multi-Domain Networks,6162aa1fe1b7f5c73e6fe94b,"[('distributed supporting decision', 0.6871), ('decision superiority proposals', 0.6746), ('technologies fund intelligent', 0.5312), ('industry proposals distributed', 0.5551), ('supporting decision superiority', 0.641)]",domain,multi,network,research,academic and industry proposals for distributed -   supporting  superiority.next gen technologies fund - intelligent  superiority call for proposals – - ,decis
361,DCON/06/1,Engineering and Research and Technology Based Services,"The purpose of this tender is to engage a suitable consultant to produce a research report that extends present insights on the role of ICT in innovation and productivity growth, and so advances the understanding of the growth mechanisms important to Australian living standards. ",Information Economy New Research Directions,6162aa1fe1b7f5c73e6fe139,"[('consultant produce research', 0.5507), ('innovation productivity', 0.546), ('purpose tender', 0.4701), ('living standards information', 0.4531), ('productivity advances understanding', 0.518)]",ict,economi,growth,australian,"the purpose of this tender is to engage a suitable consultant to produce a research report that extends present insights on the role of  in innovation and  , and so advances the understanding of the  mechanisms important to  living standards. .information  new research directions",product
1739,DFAT/AOP/009,Management advisory services,3i: Investing in Infrastructure (Cambodia),3i: Investing in Infrastructure (Cambodia),6162aa1fe1b7f5c73e6fe69b,"[('[NoneTag]', 0)]",cambodia,infrastructur,invest,3i,:  in  ().:  in  (),[nonetag]
1482,AusAID1213 - 41,Management advisory services,"VANUATU: Technical Vocational Educational and Training Sector Strengthening Program - Phase 3.   The contractor, under Phase 3 of the Program, will provide services under the following key areas:    (a)   National TVET System - Strengthened national Technical and Vocational Education and Training (TVET) system which is demand driven, quality assured, coordinated, stakeholder-focused and flexible;     (b) Provincial Skills Development Coordination - Sustained provincial level engagement in the coordination of training and business development services, that is responsive to public and private sector labour market demand and to national and provincial development objectives; and    (c)   Training, Business Development and Employment - Enhanced access to skills training, business development and employment services.   ",Vanuatu Technical Vocational Education and Training Sector Strengthening Program (VTVETSSP) - Phase 3,6162aa1fe1b7f5c73e6fe59a,"[('sector strengthening program', 0.6546), ('education tvet', 0.5409), ('education sector strengthening', 0.6364), ('strengthening program vtvetssp', 0.584), ('tvet strengthened national', 0.5772)]",technic,vanuatu,train,vocat,":   educational and  sector  program - phase 3.   the contractor, under phase 3 of the program, will provide services under the following key areas:    (a)   national tvet system -  national  and  education and  (tvet) system which is demand driven, quality assured, coordinated, stakeholder-focused and flexible;     (b) provincial skills development coordination - sustained provincial level engagement in the coordination of  and business development services, that is responsive to public and private sector labour market demand and to national and provincial development objectives; and    (c)   , business development and employment - enhanced access to skills , business development and employment services.   .   education and  sector  program (vtvetssp) - phase 3",strengthen
1893,RFT2016/463,Earth science services,Drilling Services for the Minerals Pre-competitive Greenfields Thomson Project.,Provision of Stratigraphic Drilling Services,6162aa1fe1b7f5c73e6fe735,"[('competitive greenfields thomson', 0.7133), ('minerals pre competitive', 0.7021), ('greenfields thomson provision', 0.674), ('pre competitive greenfields', 0.6466), ('greenfields thomson', 0.6645)]",drill,servic,project,stratigraph,  for the minerals pre-competitive  thomson ..provision of   ,greenfield
1052,EOI FIN09/AGI010,Engineering and Research and Technology Based Services,Establish a Panel of Providers for Data Centre Facilities to the Australian Government,Expression of Interest to Join a Panel for the Provision of Immediate and Interim Data Centre Facilities,6162aa1fe1b7f5c73e6fe3ec,"[('establish panel australian', 0.7582), ('panel australian government', 0.699), ('join panel provision', 0.5897), ('immediate interim', 0.4799), ('panel provision immediate', 0.5788)]",centr,facil,data,provid,establish a  of  for    to the australian government.expression of interest to join a  for the provision of immediate and interim   ,panel
544,024/00607DEH,Environmental Services,Experimental research to evaluate detection methods and sampling designs used to determine the abundance of cats that have established wild populations in Australia.,Research into wild cat populations in Australia.,6162aa1fe1b7f5c73e6fe1f0,"[('abundance established research', 0.645), ('detection methods sampling', 0.609), ('experimental research evaluate', 0.5406), ('used determine abundance', 0.6006), ('research evaluate detection', 0.5305)]",popul,wild,australia,cat,experimental  to evaluate detection methods and sampling designs used to determine the abundance of  that have established   in .. into    in .,research
2487,EDU19/4360,Education and Training Services,Administration of the Quality Indicators for Learning and Teaching (QILT) survey suite and the QILT and ComparED websites. ,Quality Indicators for Learning and Teaching 2020-2023,6162aa1fe1b7f5c73e6fe987,"[('quality survey suite', 0.7823), ('survey suite compared', 0.7174), ('administration quality survey', 0.6345), ('websites quality 2020', 0.572), ('survey suite', 0.6646)]",qilt,teach,indic,learn,administration of the quality  for  and  ()  suite and the  and compared websites. .quality  for  and  2020-2023,survey
259,ITRRFTENERGY050805,Management advisory services,The objectives of this project are to identify emerging technologies and processes in research and development that have the potential to deliver energy efficient solutions. It will also identify opportunities and mechanisms for promoting awareness of these emerging technologies and processes in the commercial and industrial sector.,Study on innovation in energy efficient technologies and processes.,6162aa1fe1b7f5c73e6fe0d3,"[('emerging research development', 0.5939), ('emerging commercial industrial', 0.5768), ('innovation', 0.5595), ('project identify emerging', 0.5868), ('awareness emerging commercial', 0.5119)]",energi,technolog,process,effici,the objectives of this project are to identify   and  in research and development that have the potential to deliver   solutions. it will also identify opportunities and mechanisms for promoting awareness of these   and  in the commercial and industrial sector..study on innovation in    and .,emerg
995,0809-1188,Environmental Services,"The Department of the Environment, Water, Heritage and the Arts (DEWHA) requires a Service Provider to undertake a Great Artesian Basin-wide review of water delivery infrastructure constructed under the Great Artesian Basin Sustainability Initiative and related programs in order to provide recommendations for material choice and best practice installation in the next phase of the program and plan for future management of the infrastructure. ","Review of the Design, Performance, Installation and Operation of Water Distribution Systems Conducted under the Great Artesian Basis Sustainability Initiative and Related Programs",6162aa1fe1b7f5c73e6fe3b3,"[('distribution systems conducted', 0.5596), ('great sustainability initiative', 0.5368), ('delivery constructed great', 0.5152), ('dewha requires service', 0.4876), ('department environment heritage', 0.4862)]",water,artesian,basin,infrastructur,"the department of the environment, , heritage and the arts (dewha) requires a service provider to undertake a   -wide review of  delivery  constructed under the    sustainability initiative and related programs in order to provide recommendations for material choice and best practice installation in the next phase of the program and plan for future management of the . .review of the design, performance, installation and operation of  distribution systems conducted under the   basis sustainability initiative and related programs",great
