id,topics
Grants623afb69b34a6bd48ae4bd2c,"[(11, 0.14130096), (13, 0.22110441), (17, 0.2584338), (19, 0.34018707)]"
Grants623afb6bb34a6bd48ae4bd2d,"[(7, 0.13028584), (11, 0.0852245), (14, 0.38333252), (19, 0.37191886)]"
Grants623afb6eb34a6bd48ae4bd2e,"[(2, 0.26190296), (11, 0.04999821), (14, 0.1778895), (19, 0.4692862)]"
Grants623afb71b34a6bd48ae4bd2f,"[(11, 0.072920196), (14, 0.65361005), (19, 0.246476)]"
Grants623afb73b34a6bd48ae4bd30,"[(5, 0.59486943), (11, 0.0844465), (19, 0.28612646)]"
Grants623afb75b34a6bd48ae4bd31,"[(11, 0.12349976), (14, 0.2222337), (19, 0.36127174), (21, 0.25579515)]"
Grants623afb78b34a6bd48ae4bd32,"[(11, 0.10335206), (14, 0.5244688), (19, 0.3361873)]"
Grants623afb7bb34a6bd48ae4bd33,"[(11, 0.13292694), (14, 0.17178373), (19, 0.37913388), (21, 0.27718374)]"
Grants623afb7eb34a6bd48ae4bd34,"[(11, 0.15085232), (14, 0.18968208), (19, 0.27668387), (20, 0.35130516)]"
Grants623afb80b34a6bd48ae4bd35,"[(8, 0.4755074), (9, 0.049406078), (11, 0.12260164), (19, 0.31837833)]"
Grants623afb82b34a6bd48ae4bd36,"[(7, 0.29609573), (9, 0.2100913), (10, 0.061764386), (19, 0.15576781), (20, 0.2559384)]"
Grants623afb85b34a6bd48ae4bd37,"[(11, 0.09069065), (14, 0.3778818), (17, 0.2302334), (19, 0.2708832)]"
Grants623afb88b34a6bd48ae4bd38,"[(11, 0.121896416), (14, 0.46419138), (19, 0.37277764)]"
Grants623afb8bb34a6bd48ae4bd39,"[(2, 0.5506011), (9, 0.07186527), (11, 0.15233578), (19, 0.19962163)]"
Grants623afb8eb34a6bd48ae4bd3a,"[(11, 0.07925479), (14, 0.51259977), (19, 0.37492266)]"
Grants623afb91b34a6bd48ae4bd3b,"[(9, 0.6922646), (19, 0.27932185)]"
Grants623afb94b34a6bd48ae4bd3c,"[(4, 0.092051245), (9, 0.60122603), (19, 0.27693617)]"
Grants623afb96b34a6bd48ae4bd3d,"[(2, 0.5008312), (6, 0.11698208), (11, 0.08812468), (19, 0.26677507)]"
Grants623afb98b34a6bd48ae4bd3e,"[(0, 0.7643692), (6, 0.11313528), (19, 0.091641225)]"
Grants623afb9bb34a6bd48ae4bd3f,"[(11, 0.0942954), (13, 0.19926773), (15, 0.31238258), (19, 0.35685974)]"
Grants623afb9db34a6bd48ae4bd40,"[(6, 0.25910354), (11, 0.09254909), (17, 0.17571191), (19, 0.4354328)]"
Grants623afb9fb34a6bd48ae4bd41,"[(2, 0.34948432), (10, 0.2265598), (19, 0.39310715)]"
Grants623afba2b34a6bd48ae4bd42,"[(2, 0.100534186), (6, 0.21105818), (9, 0.14397869), (11, 0.15243101), (16, 0.101075225), (19, 0.26493427)]"
Grants623afba4b34a6bd48ae4bd43,"[(6, 0.22310573), (11, 0.32894385), (19, 0.411962)]"
Grants623afba6b34a6bd48ae4bd44,"[(7, 0.30257192), (9, 0.122020885), (11, 0.22439873), (19, 0.3169089)]"
Grants623afba9b34a6bd48ae4bd45,"[(11, 0.10551682), (19, 0.41748998), (21, 0.43768212)]"
Grants623afbabb34a6bd48ae4bd46,"[(6, 0.42708772), (11, 0.17000234), (19, 0.36530006)]"
Grants623afbaeb34a6bd48ae4bd47,"[(11, 0.111607015), (14, 0.35461575), (19, 0.5017878)]"
Grants623afbb0b34a6bd48ae4bd48,"[(6, 0.16861868), (9, 0.19187063), (11, 0.07972406), (19, 0.5294769)]"
Grants623afbb2b34a6bd48ae4bd49,"[(0, 0.6009129), (9, 0.16599762), (18, 0.106385894), (19, 0.07214431)]"
Grants623afbb5b34a6bd48ae4bd4a,"[(4, 0.30145732), (9, 0.1518776), (10, 0.16751431), (11, 0.12136591), (19, 0.22804765)]"
Grants623afbb7b34a6bd48ae4bd4b,"[(2, 0.23634547), (11, 0.38196906), (19, 0.34242013)]"
Grants623afbbab34a6bd48ae4bd4c,"[(2, 0.28359738), (6, 0.26703385), (11, 0.12676647), (19, 0.29229504)]"
Grants623afbbcb34a6bd48ae4bd4d,"[(6, 0.44169843), (11, 0.079107784), (14, 0.107348524), (19, 0.3403644)]"
Grants623afbbfb34a6bd48ae4bd4e,"[(7, 0.11383464), (11, 0.088963695), (12, 0.22598742), (14, 0.28170708), (19, 0.25859278)]"
Grants623afbc1b34a6bd48ae4bd4f,"[(12, 0.6930404), (19, 0.2719876)]"
Grants623afbc3b34a6bd48ae4bd50,"[(11, 0.10813322), (14, 0.6377038), (19, 0.22437708)]"
Grants623afbc7b34a6bd48ae4bd51,"[(5, 0.18075132), (7, 0.282282), (9, 0.17202576), (17, 0.20749132), (19, 0.1316842)]"
Grants623afbc9b34a6bd48ae4bd52,"[(11, 0.5748946), (19, 0.3901372)]"
Grants623afbccb34a6bd48ae4bd53,"[(6, 0.12094536), (7, 0.14026965), (17, 0.36188638), (19, 0.09122623), (20, 0.24887063)]"
Grants623afbd0b34a6bd48ae4bd54,"[(6, 0.24397488), (7, 0.3962634), (17, 0.13174388), (19, 0.074519195), (20, 0.11669645)]"
Grants623afbd3b34a6bd48ae4bd55,"[(6, 0.14880662), (7, 0.2482744), (17, 0.56178564)]"
Grants623afbd5b34a6bd48ae4bd56,"[(6, 0.1488308), (7, 0.24722542), (17, 0.5628104)]"
Grants623afbd7b34a6bd48ae4bd57,"[(6, 0.17592841), (7, 0.3947143), (17, 0.29481095), (19, 0.08908355)]"
Grants623afbdab34a6bd48ae4bd58,"[(6, 0.17591923), (7, 0.39379206), (17, 0.2988587), (19, 0.08596337)]"
Grants623afbdcb34a6bd48ae4bd59,"[(9, 0.2200504), (11, 0.10763267), (19, 0.6330542)]"
Grants623afbdfb34a6bd48ae4bd5a,"[(4, 0.13982318), (7, 0.3808053), (19, 0.43822494)]"
Grants623afbe1b34a6bd48ae4bd5b,"[(11, 0.07963508), (13, 0.40313375), (19, 0.2204053), (21, 0.26860878)]"
Grants623afbe4b34a6bd48ae4bd5c,"[(3, 0.46146637), (17, 0.30392766), (19, 0.18661655)]"
Grants623afbe6b34a6bd48ae4bd5d,"[(6, 0.12095004), (7, 0.14038742), (17, 0.36185548), (19, 0.09121041), (20, 0.24879487)]"
Grants623afbe8b34a6bd48ae4bd5e,"[(6, 0.24305013), (7, 0.38803828), (17, 0.14026201), (19, 0.07475273), (20, 0.117094696)]"
Grants623afbebb34a6bd48ae4bd5f,"[(6, 0.14882429), (7, 0.24750212), (17, 0.5625403)]"
Grants623afbeeb34a6bd48ae4bd60,"[(6, 0.14883141), (7, 0.24720103), (17, 0.5628342)]"
Grants623afbf0b34a6bd48ae4bd61,"[(6, 0.17591944), (7, 0.3938105), (17, 0.29884604), (19, 0.085957326)]"
Grants623afbf3b34a6bd48ae4bd62,"[(6, 0.17592943), (7, 0.3947872), (17, 0.29474682), (19, 0.08907371)]"
Grants623afbf6b34a6bd48ae4bd63,"[(9, 0.66186273), (19, 0.29483995)]"
Grants623afbf8b34a6bd48ae4bd64,"[(11, 0.1348757), (14, 0.462607), (19, 0.35452563)]"
Grants623afbfbb34a6bd48ae4bd65,"[(1, 0.12517805), (11, 0.16402408), (14, 0.35162026), (19, 0.31826052)]"
Grants623afbfeb34a6bd48ae4bd66,"[(7, 0.787377), (11, 0.040812653), (17, 0.12860951)]"
Grants623afc00b34a6bd48ae4bd67,"[(0, 0.51242805), (11, 0.10818504), (19, 0.3314004)]"
Grants623afc03b34a6bd48ae4bd68,"[(6, 0.19218956), (12, 0.32285193), (14, 0.048716538), (19, 0.40065917)]"
Grants623afc05b34a6bd48ae4bd69,"[(2, 0.44678918), (11, 0.24816088), (19, 0.2771861)]"
Grants623afc09b34a6bd48ae4bd6a,"[(2, 0.47239372), (7, 0.4341038), (11, 0.06151237)]"
Grants623afc0db34a6bd48ae4bd6b,"[(4, 0.29254115), (5, 0.18989548), (11, 0.12157668), (19, 0.35702145)]"
Grants623afc0fb34a6bd48ae4bd6c,"[(0, 0.2974946), (10, 0.49358767), (19, 0.16345488)]"
Grants623afc13b34a6bd48ae4bd6d,"[(5, 0.3235211), (11, 0.31898743), (18, 0.106690146), (19, 0.2193266)]"
Grants623afc15b34a6bd48ae4bd6e,"[(3, 0.33976224), (11, 0.31386507), (12, 0.038646225), (19, 0.27741522)]"
Grants623afc18b34a6bd48ae4bd6f,"[(11, 0.2389949), (14, 0.2592973), (19, 0.44771695)]"
Grants623afc1ab34a6bd48ae4bd70,"[(0, 0.5670736), (11, 0.09532848), (19, 0.29441068)]"
Grants623afc1db34a6bd48ae4bd71,"[(0, 0.56017584), (13, 0.08654042), (19, 0.3254104)]"
Grants623afc1fb34a6bd48ae4bd72,"[(7, 0.27749473), (11, 0.07975242), (14, 0.3064253), (19, 0.30809337)]"
Grants623afc22b34a6bd48ae4bd73,"[(11, 0.13927792), (14, 0.44031692), (19, 0.38110602)]"
Grants623afc24b34a6bd48ae4bd74,"[(9, 0.41291213), (10, 0.29629907), (19, 0.2562408)]"
Grants623afc28b34a6bd48ae4bd75,"[(4, 0.31808582), (6, 0.17645872), (10, 0.3704563), (19, 0.09779777)]"
Grants623afc2ab34a6bd48ae4bd76,"[(0, 0.26954657), (8, 0.12729448), (10, 0.565594)]"
Grants623afc2eb34a6bd48ae4bd77,"[(11, 0.11299376), (19, 0.83915687)]"
Grants623afc30b34a6bd48ae4bd78,"[(10, 0.108181864), (11, 0.32285675), (19, 0.5209725)]"
Grants623afc33b34a6bd48ae4bd79,"[(6, 0.11903331), (11, 0.08373536), (15, 0.27733448), (19, 0.48842213)]"
Grants623afc35b34a6bd48ae4bd7a,"[(4, 0.19731764), (6, 0.27516416), (10, 0.42710936), (19, 0.05732453)]"
Grants623afc38b34a6bd48ae4bd7b,"[(6, 0.13579586), (7, 0.6007506), (17, 0.12710546), (19, 0.088214785)]"
Grants623afc3bb34a6bd48ae4bd7c,"[(6, 0.20737043), (7, 0.64963174), (19, 0.09218348)]"
Grants623afc3db34a6bd48ae4bd7d,"[(6, 0.2086055), (7, 0.66596293), (10, 0.07462004)]"
Grants623afc40b34a6bd48ae4bd7e,"[(0, 0.4520075), (5, 0.058359455), (10, 0.101139754), (19, 0.34948888)]"
Grants623afc42b34a6bd48ae4bd7f,"[(0, 0.37158912), (4, 0.2876576), (19, 0.30319878)]"
Grants623afc44b34a6bd48ae4bd80,"[(9, 0.19851184), (11, 0.09354735), (16, 0.12426318), (19, 0.5509445)]"
Grants623afc47b34a6bd48ae4bd81,"[(1, 0.08135073), (4, 0.31478816), (11, 0.07063984), (19, 0.50399154)]"
Grants623afc49b34a6bd48ae4bd82,"[(0, 0.4127401), (11, 0.09125029), (19, 0.45674926)]"
Grants623afc4bb34a6bd48ae4bd83,"[(1, 0.28190663), (9, 0.27114764), (11, 0.10447613), (19, 0.3068868)]"
Grants623afc4eb34a6bd48ae4bd84,"[(4, 0.3334956), (5, 0.08421346), (8, 0.22876163), (11, 0.083631486), (19, 0.24127272)]"
Grants623afc50b34a6bd48ae4bd85,"[(5, 0.13282034), (10, 0.68974257), (19, 0.13817947)]"
Grants623afc53b34a6bd48ae4bd86,"[(5, 0.23762642), (11, 0.52418244), (19, 0.21119769)]"
Grants623afc55b34a6bd48ae4bd87,"[(8, 0.39881277), (10, 0.17443648), (19, 0.38919708)]"
Grants623afc58b34a6bd48ae4bd88,"[(8, 0.34896168), (10, 0.15727144), (19, 0.37361076), (21, 0.08868107)]"
Grants623afc5ab34a6bd48ae4bd89,"[(4, 0.14414047), (8, 0.31912178), (10, 0.12103243), (19, 0.38160494)]"
Grants623afc5db34a6bd48ae4bd8a,"[(5, 0.336223), (11, 0.30747846), (19, 0.31703722)]"
Grants623afc60b34a6bd48ae4bd8b,"[(11, 0.03571155), (13, 0.42212984), (14, 0.15762703), (19, 0.3589593)]"
Grants623afc62b34a6bd48ae4bd8c,"[(8, 0.4066528), (10, 0.068849124), (11, 0.18200769), (19, 0.31217742)]"
Grants623afc65b34a6bd48ae4bd8d,"[(9, 0.15191501), (11, 0.3990163), (13, 0.15071188), (19, 0.26912788)]"
Grants623afc67b34a6bd48ae4bd8e,"[(8, 0.2268137), (11, 0.116932236), (19, 0.39392513), (20, 0.23411313)]"
Grants623afc69b34a6bd48ae4bd8f,"[(3, 0.51058227), (11, 0.10576331), (19, 0.3404679)]"
Grants623afc6cb34a6bd48ae4bd90,"[(3, 0.20503888), (4, 0.42325035), (10, 0.08280418), (19, 0.25616804)]"
Grants623afc6fb34a6bd48ae4bd91,"[(6, 0.20739977), (7, 0.6495312), (19, 0.092254624)]"
Grants623afc71b34a6bd48ae4bd92,"[(2, 0.22303326), (6, 0.28593612), (11, 0.09220225), (16, 0.038735114), (19, 0.3291695)]"
Grants623afc74b34a6bd48ae4bd93,"[(3, 0.510593), (11, 0.105763435), (19, 0.34045705)]"
Grants623afc76b34a6bd48ae4bd94,"[(0, 0.8779954), (19, 0.084104896)]"
Grants623afc79b34a6bd48ae4bd95,"[(3, 0.13996963), (10, 0.39801407), (13, 0.34230217), (19, 0.085609265)]"
Grants623afc7bb34a6bd48ae4bd96,"[(10, 0.4583518), (13, 0.45327702), (19, 0.04721845)]"
Grants623afc7db34a6bd48ae4bd97,"[(1, 0.21329302), (5, 0.14576487), (10, 0.47495812), (19, 0.13187715)]"
Grants623afc80b34a6bd48ae4bd98,"[(4, 0.27590775), (10, 0.5097772), (13, 0.17317028)]"
Grants623afc82b34a6bd48ae4bd99,"[(4, 0.06942731), (10, 0.44060194), (14, 0.45240235)]"
Grants623afc85b34a6bd48ae4bd9a,"[(10, 0.4812881), (12, 0.29418564), (14, 0.1251963), (19, 0.06522724)]"
Grants623afc87b34a6bd48ae4bd9b,"[(10, 0.7330674), (13, 0.18352517), (19, 0.048843205)]"
Grants623afc8ab34a6bd48ae4bd9c,"[(11, 0.0574538), (13, 0.34895507), (14, 0.18877052), (19, 0.3784231)]"
Grants623afc8cb34a6bd48ae4bd9d,"[(11, 0.18117909), (14, 0.28967312), (19, 0.47155675)]"
Grants623afc8fb34a6bd48ae4bd9e,"[(11, 0.1264734), (14, 0.35652417), (19, 0.487218)]"
Grants623afc91b34a6bd48ae4bd9f,"[(5, 0.107748844), (11, 0.31639117), (14, 0.15855077), (19, 0.39090988)]"
Grants623afc93b34a6bd48ae4bda0,"[(5, 0.10773272), (11, 0.31640446), (14, 0.15855113), (19, 0.39091232)]"
Grants623afc96b34a6bd48ae4bda1,"[(0, 0.41246024), (10, 0.5269301)]"
Grants623afc9bb34a6bd48ae4bda2,"[(10, 0.49700007), (13, 0.26099777), (19, 0.092072025), (21, 0.1143404)]"
Grants623afc9db34a6bd48ae4bda3,"[(10, 0.4388105), (11, 0.2036953), (13, 0.22514828), (19, 0.0951394)]"
Grants623afca0b34a6bd48ae4bda4,"[(5, 0.5688515), (10, 0.3947694)]"
Grants623afca2b34a6bd48ae4bda5,"[(1, 0.18269254), (4, 0.33606616), (14, 0.30679652), (17, 0.10004785)]"
Grants623afca5b34a6bd48ae4bda6,"[(9, 0.14653155), (11, 0.12589183), (13, 0.4130872), (19, 0.27891076)]"
Grants623afca7b34a6bd48ae4bda7,"[(4, 0.41916263), (11, 0.1690355), (14, 0.15595645), (19, 0.23027371)]"
