id,division,weight,cnt
UC_61585a56d7b0c43ebd7551dd,CHEMICAL,0.06,
UC_61585a56d7b0c43ebd7551dd,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.05,
UC_61585a56d7b0c43ebd7551dd,EARTH,0.66,
UC_61585a56d7b0c43ebd7551dd,ECONOMICS,0.63,
UC_61585a56d7b0c43ebd7551dd,EDUCATION,0.69,
UC_61585a56d7b0c43ebd7551dd,ENVIRONMENTAL,0.61,
UC_61585a56d7b0c43ebd7551dd,"LANGUAGE, COMMUNICATION AND CULTURE",2.5,
UC_61585a56d7b0c43ebd7551dd,MATHEMATICAL,0.61,
UC_61585a56d7b0c43ebd7551dd,MEDICAL AND HEALTH,9.34,
UC_61585a56d7b0c43ebd7551dd,OTHERS(IRRELEVANT),1.8,
UC_61585a56d7b0c43ebd7551dd,OTHERS(RELEVANT),2.53,
UC_61585a56d7b0c43ebd7551dd,PHYSICAL,0.61,
UC_61585a56d7b0c43ebd7551dd,STUDIES IN HUMAN SOCIETY,4.5600000000000005,
UC_61585a64d7b0c43ebd7551de,BIOLOGICAL,4.04,
UC_61585a64d7b0c43ebd7551de,EDUCATION,0.6599999999999999,
UC_61585a64d7b0c43ebd7551de,ENGINEERING,1.27,
UC_61585a64d7b0c43ebd7551de,INFORMATION AND COMPUTING,2.6,
UC_61585a64d7b0c43ebd7551de,"LANGUAGE, COMMUNICATION AND CULTURE",0.05,
UC_61585a64d7b0c43ebd7551de,MEDICAL AND HEALTH,8.31,
UC_61585a64d7b0c43ebd7551de,OTHERS(IRRELEVANT),1.0,
UC_61585a64d7b0c43ebd7551de,OTHERS(RELEVANT),3.31,
UC_61585a64d7b0c43ebd7551de,PHYSICAL,1.27,
UC_61585a64d7b0c43ebd7551de,PSYCHOLOGY AND COGNITIVE SCIENCES,0.61,
UC_61585a64d7b0c43ebd7551de,TECHNOLOGY,0.05,
UC_61585a81d7b0c43ebd7551e1,BUILT ENVIRONMENT AND DESIGN,1.36,
UC_61585a81d7b0c43ebd7551e1,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",2.82,
UC_61585a81d7b0c43ebd7551e1,ECONOMICS,3.6,
UC_61585a81d7b0c43ebd7551e1,LAW AND LEGAL STUDIES,0.49,
UC_61585a81d7b0c43ebd7551e1,OTHERS(IRRELEVANT),2.7,
UC_61585a81d7b0c43ebd7551e1,STUDIES IN HUMAN SOCIETY,2.0100000000000002,
UC_61585aa8d7b0c43ebd7551e2,AGRICULTURAL AND VETERINARY,2.15,
UC_61585aa8d7b0c43ebd7551e2,BIOLOGICAL,4.3500000000000005,
UC_61585aa8d7b0c43ebd7551e2,CHEMICAL,1.84,
UC_61585aa8d7b0c43ebd7551e2,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.27,
UC_61585aa8d7b0c43ebd7551e2,EDUCATION,0.14,
UC_61585aa8d7b0c43ebd7551e2,ENGINEERING,1.26,
UC_61585aa8d7b0c43ebd7551e2,MATHEMATICAL,1.0,
UC_61585aa8d7b0c43ebd7551e2,MEDICAL AND HEALTH,9.89,
UC_61585aa8d7b0c43ebd7551e2,OTHERS(IRRELEVANT),1.77,
UC_61585aa8d7b0c43ebd7551e2,OTHERS(RELEVANT),1.5899999999999999,
UC_61585aa8d7b0c43ebd7551e2,PHYSICAL,1.01,
UC_61585aa8d7b0c43ebd7551e2,STUDIES IN CREATIVE ARTS AND WRITING,0.52,
