tag,division,weight
"  ""global""",HISTORY AND ARCHAEOLOGY,0.3980699407803786
"  ""global""","LANGUAGE, COMMUNICATION AND CULTURE",0.2840093051493653
"  ""global""",STUDIES IN CREATIVE ARTS AND WRITING,0.3179207540702561
" ""acculturation""","LANGUAGE, COMMUNICATION AND CULTURE",0.33010949104844106
" ""acculturation""",LAW AND LEGAL STUDIES,0.22395699380350637
" ""acculturation""",STUDIES IN CREATIVE ARTS AND WRITING,0.19069421793074007
" ""acculturation""",STUDIES IN HUMAN SOCIETY,0.25523929721731253
" ""community paticipation""","LANGUAGE, COMMUNICATION AND CULTURE",0.33010949104844106
" ""community paticipation""",LAW AND LEGAL STUDIES,0.22395699380350637
" ""community paticipation""",STUDIES IN CREATIVE ARTS AND WRITING,0.19069421793074007
" ""community paticipation""",STUDIES IN HUMAN SOCIETY,0.25523929721731253
" ""cultural geography""","LANGUAGE, COMMUNICATION AND CULTURE",0.33010949104844106
" ""cultural geography""",LAW AND LEGAL STUDIES,0.22395699380350637
" ""cultural geography""",STUDIES IN CREATIVE ARTS AND WRITING,0.19069421793074007
" ""cultural geography""",STUDIES IN HUMAN SOCIETY,0.25523929721731253
" ""cultural relations""","LANGUAGE, COMMUNICATION AND CULTURE",0.33010949104844106
" ""cultural relations""",LAW AND LEGAL STUDIES,0.22395699380350637
" ""cultural relations""",STUDIES IN CREATIVE ARTS AND WRITING,0.19069421793074007
" ""cultural relations""",STUDIES IN HUMAN SOCIETY,0.25523929721731253
" ""digital divide""",HISTORY AND ARCHAEOLOGY,0.3980699407803786
" ""digital divide""","LANGUAGE, COMMUNICATION AND CULTURE",0.2840093051493653
" ""digital divide""",STUDIES IN CREATIVE ARTS AND WRITING,0.3179207540702561
" ""intercultural learning""",HISTORY AND ARCHAEOLOGY,0.3980699407803786
" ""intercultural learning""","LANGUAGE, COMMUNICATION AND CULTURE",0.2840093051493653
" ""intercultural learning""",STUDIES IN CREATIVE ARTS AND WRITING,0.3179207540702561
" ""social identification""",HISTORY AND ARCHAEOLOGY,0.2306580769868901
" ""social identification""","LANGUAGE, COMMUNICATION AND CULTURE",0.3101224016536094
" ""social identification""",STUDIES IN CREATIVE ARTS AND WRITING,0.3471519420898922
" ""social identification""",STUDIES IN HUMAN SOCIETY,0.1120675792696083
" ""social networking""",HISTORY AND ARCHAEOLOGY,0.2306580769868901
" ""social networking""","LANGUAGE, COMMUNICATION AND CULTURE",0.3101224016536094
" ""social networking""",STUDIES IN CREATIVE ARTS AND WRITING,0.3471519420898922
" ""social networking""",STUDIES IN HUMAN SOCIETY,0.1120675792696083
"""campaign""",HISTORY AND ARCHAEOLOGY,0.3980699407803786
"""campaign""","LANGUAGE, COMMUNICATION AND CULTURE",0.2840093051493653
"""campaign""",STUDIES IN CREATIVE ARTS AND WRITING,0.3179207540702561
"""community research""","LANGUAGE, COMMUNICATION AND CULTURE",0.33010949104844106
"""community research""",LAW AND LEGAL STUDIES,0.22395699380350637
"""community research""",STUDIES IN CREATIVE ARTS AND WRITING,0.19069421793074007
"""community research""",STUDIES IN HUMAN SOCIETY,0.25523929721731253
"""corruption""","LANGUAGE, COMMUNICATION AND CULTURE",0.3149547327764623
"""corruption""",LAW AND LEGAL STUDIES,0.4415235173072958
"""corruption""",STUDIES IN HUMAN SOCIETY,0.2435217499162419
"""discrimination""","LANGUAGE, COMMUNICATION AND CULTURE",0.3149547327764623
"""discrimination""",LAW AND LEGAL STUDIES,0.4415235173072958
"""discrimination""",STUDIES IN HUMAN SOCIETY,0.2435217499162419
"""immigrant""",HISTORY AND ARCHAEOLOGY,0.3980699407803786
"""immigrant""","LANGUAGE, COMMUNICATION AND CULTURE",0.2840093051493653
"""immigrant""",STUDIES IN CREATIVE ARTS AND WRITING,0.3179207540702561
abdominal obesity,MEDICAL AND HEALTH,1.0
aboriginal,STUDIES IN CREATIVE ARTS AND WRITING,0.7239263808010353
aboriginal,STUDIES IN HUMAN SOCIETY,0.2760736191989646
academic achievement,OTHERS(IRRELEVANT),1.0
academic exchange,OTHERS(RELEVANT),1.0
academic performance,OTHERS(RELEVANT),1.0
academic success,OTHERS(RELEVANT),1.0
academy,OTHERS(RELEVANT),1.0
acceleration,PHYSICAL,1.0
accelerometry,MEDICAL AND HEALTH,1.0
acceptability,OTHERS(RELEVANT),1.0
acceptance,OTHERS(IRRELEVANT),1.0
access control,ENGINEERING,1.0
access to health care,MEDICAL AND HEALTH,1.0
accessibility,OTHERS(IRRELEVANT),1.0
accidental falls,MEDICAL AND HEALTH,1.0
acclimatization,EARTH,0.3333333333333333
acclimatization,MEDICAL AND HEALTH,0.3333333333333333
acclimatization,PSYCHOLOGY AND COGNITIVE SCIENCES,0.3333333333333333
accountability,OTHERS(RELEVANT),1.0
accounting,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.3084886128055061
accounting,ECONOMICS,0.6915113871944939
accounting curriculum,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.5
accounting curriculum,EDUCATION,0.5
accreditation,OTHERS(RELEVANT),1.0
acculturation,HISTORY AND ARCHAEOLOGY,0.20251911351191978
acculturation,"LANGUAGE, COMMUNICATION AND CULTURE",0.31846864546438247
acculturation,LAW AND LEGAL STUDIES,0.12627074138276542
acculturation,STUDIES IN CREATIVE ARTS AND WRITING,0.09769585233420801
acculturation,STUDIES IN HUMAN SOCIETY,0.2550456473067243
accused,LAW AND LEGAL STUDIES,1.0
acetaminophen,MEDICAL AND HEALTH,1.0
achilles tendon,MEDICAL AND HEALTH,1.0
acoustic waves,TECHNOLOGY,1.0
acoustics,TECHNOLOGY,1.0
acquired immunodeficiency syndrome,MEDICAL AND HEALTH,1.0
act,OTHERS(IRRELEVANT),1.0
action plan,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.0
action research,PSYCHOLOGY AND COGNITIVE SCIENCES,1.0
activation,OTHERS(IRRELEVANT),1.0
actor-network-theory,"LANGUAGE, COMMUNICATION AND CULTURE",0.5
actor-network-theory,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
acupuncture,MEDICAL AND HEALTH,1.0
acute care,MEDICAL AND HEALTH,1.0
acute coronary syndrome,MEDICAL AND HEALTH,1.0
adaptive boosting,ENGINEERING,1.0
adaptive capacity,OTHERS(RELEVANT),1.0
adaptive management,OTHERS(RELEVANT),1.0
adelaide,OTHERS(IRRELEVANT),1.0
adipose tissue,MEDICAL AND HEALTH,1.0
adiposity,MEDICAL AND HEALTH,1.0
administrative personnel,STUDIES IN HUMAN SOCIETY,1.0
adolescent,MEDICAL AND HEALTH,1.0
aesthetics,STUDIES IN CREATIVE ARTS AND WRITING,1.0
age difference,OTHERS(RELEVANT),1.0
age group,BIOLOGICAL,0.3333333333333333
age group,OTHERS(RELEVANT),0.3333333333333333
age group,STUDIES IN HUMAN SOCIETY,0.3333333333333333
age groups,OTHERS(RELEVANT),1.0
aggression,HISTORY AND ARCHAEOLOGY,1.0
aging of materials,ENGINEERING,1.0
agricultural development,AGRICULTURAL AND VETERINARY,1.0
agricultural land,AGRICULTURAL AND VETERINARY,0.3333333333333333
agricultural land,BUILT ENVIRONMENT AND DESIGN,0.3333333333333333
agricultural land,ENVIRONMENTAL,0.3333333333333333
agriculture,AGRICULTURAL AND VETERINARY,1.0
air,EARTH,0.5
air,ENVIRONMENTAL,0.5
aircraft,ENGINEERING,1.0
airport,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.0
airports,BUILT ENVIRONMENT AND DESIGN,1.0
alcohol,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.5
alcohol,MEDICAL AND HEALTH,0.5
alcohol drinking,MEDICAL AND HEALTH,1.0
alcohols,CHEMICAL,1.0
allele,BIOLOGICAL,0.5
allele,TECHNOLOGY,0.5
alliances,OTHERS(IRRELEVANT),1.0
allied health personnel,PSYCHOLOGY AND COGNITIVE SCIENCES,1.0
alternative models,INFORMATION AND COMPUTING,1.0
altruism,PSYCHOLOGY AND COGNITIVE SCIENCES,1.0
aluminum,PHYSICAL,1.0
amendment,LAW AND LEGAL STUDIES,1.0
amphibian,BIOLOGICAL,1.0
amphibians,BIOLOGICAL,1.0
amplification,OTHERS(RELEVANT),1.0
amylases,BIOLOGICAL,1.0
analog to digital conversion,TECHNOLOGY,1.0
analysis,OTHERS(RELEVANT),1.0
analysis of variance,MATHEMATICAL,0.5
analysis of variance,OTHERS(RELEVANT),0.5
analysis of variance (anova),MATHEMATICAL,1.0
analytical framework,OTHERS(RELEVANT),1.0
anatomy,MEDICAL AND HEALTH,1.0
anchors,OTHERS(RELEVANT),1.0
androgens,BIOLOGICAL,1.0
animal,BIOLOGICAL,1.0
animal models,BIOLOGICAL,1.0
animals,BIOLOGICAL,1.0
animation,INFORMATION AND COMPUTING,1.0
ankle,BIOLOGICAL,0.3276812844269872
ankle,MEDICAL AND HEALTH,0.33585095526266406
ankle,PSYCHOLOGY AND COGNITIVE SCIENCES,0.3364677603103487
ankle injuries,MEDICAL AND HEALTH,1.0
ankle joint,MEDICAL AND HEALTH,1.0
annual conference,OTHERS(IRRELEVANT),1.0
annual reports,OTHERS(IRRELEVANT),1.0
anomaly detection,ENGINEERING,0.3333333333333333
anomaly detection,OTHERS(RELEVANT),0.3333333333333333
anomaly detection,TECHNOLOGY,0.3333333333333333
antagonism,PSYCHOLOGY AND COGNITIVE SCIENCES,0.5
antagonism,STUDIES IN HUMAN SOCIETY,0.5
antarctica,EARTH,1.0
antennas,TECHNOLOGY,1.0
anterior cruciate ligament,BIOLOGICAL,1.0
anterior cruciate ligament injuries,MEDICAL AND HEALTH,1.0
anthology,OTHERS(IRRELEVANT),1.0
anthropocene,BIOLOGICAL,1.0
anthropology,HISTORY AND ARCHAEOLOGY,1.0
anthropometry,MEDICAL AND HEALTH,1.0
anti-bacterial agents,BIOLOGICAL,0.5
anti-bacterial agents,MEDICAL AND HEALTH,0.5
anti-inflammatory agents,MEDICAL AND HEALTH,1.0
anticoagulants,BIOLOGICAL,0.5
anticoagulants,MEDICAL AND HEALTH,0.5
antigens,BIOLOGICAL,1.0
antimalarials,MEDICAL AND HEALTH,1.0
antioxidants,CHEMICAL,1.0
antiviral agents,MEDICAL AND HEALTH,1.0
anura,BIOLOGICAL,1.0
anxiety,PSYCHOLOGY AND COGNITIVE SCIENCES,1.0
apathy,PSYCHOLOGY AND COGNITIVE SCIENCES,1.0
apoptosis,BIOLOGICAL,1.0
application programs,ENGINEERING,0.5
application programs,INFORMATION AND COMPUTING,0.5
appointments and schedules,OTHERS(IRRELEVANT),1.0
aptitude,OTHERS(IRRELEVANT),1.0
aquatic ecosystem,BIOLOGICAL,1.0
aquatic ecosystems,BIOLOGICAL,0.5
aquatic ecosystems,ENVIRONMENTAL,0.5
