category,division
371003 - Overseas Advocacy,"LANGUAGE, COMMUNICATION AND CULTURE"
371004 - Public Diplomacy,"LANGUAGE, COMMUNICATION AND CULTURE"
261002 - Small Business,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
101001 - Aged Care,MEDICAL AND HEALTH
331005 - Women,MEDICAL AND HEALTH
231012 - Health Promotion and Prevention Programs,MEDICAL AND HEALTH
231018 - Public Health Services,MEDICAL AND HEALTH
231014 - Medical Scholarships,MEDICAL AND HEALTH
201004 - Vocational Training and Apprenticeships,EDUCATION
171000 - Disability,MEDICAL AND HEALTH
111004 - Rural Development,STUDIES IN HUMAN SOCIETY
261001 - Industry Innovation,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
231017 - Public Health and Safety,MEDICAL AND HEALTH
231013 - Medical Research,MEDICAL AND HEALTH
151004 - Legal Services,LAW AND LEGAL STUDIES
271001 - Broadcasting and Telecommunications,TECHNOLOGY
291000 - Local Government,STUDIES IN HUMAN SOCIETY
321001 - Science,EDUCATION
361003 - Veterans,STUDIES IN HUMAN SOCIETY
151001 - Community Safety,STUDIES IN HUMAN SOCIETY
191002 - Higher Education,EDUCATION
281000 - International Aid and Development,STUDIES IN HUMAN SOCIETY
351002 - Regional Development,STUDIES IN HUMAN SOCIETY
131002 - Education Support,EDUCATION
231015 - Mental Health,PSYCHOLOGY AND COGNITIVE SCIENCES
331003 - Social Inclusion,STUDIES IN HUMAN SOCIETY
251002 - Indigenous Communities,STUDIES IN HUMAN SOCIETY
171004 - Services for People with Disabilities,STUDIES IN HUMAN SOCIETY
251005 - Indigenous Health,MEDICAL AND HEALTH
371001 - Consular Services,"LANGUAGE, COMMUNICATION AND CULTURE"
121005 - Museums and Galleries,STUDIES IN CREATIVE ARTS AND WRITING
171001 - Carers of People with Disabilities,MEDICAL AND HEALTH
351001 - Infrastructure,STUDIES IN HUMAN SOCIETY
121006 - Performing Arts,STUDIES IN CREATIVE ARTS AND WRITING
171002 - Equipment for People with Disabilities,ENGINEERING
131001 - Child Care,STUDIES IN HUMAN SOCIETY
321003 - Scientific Research,ENGINEERING
"381001 - Science, Technology, Engineering and Mathematics (STEM) Research",TECHNOLOGY
151006 - National Security,STUDIES IN HUMAN SOCIETY
231004 - Cancer,MEDICAL AND HEALTH
201003 - Transition to Work,EDUCATION
191008 - Vocational Education,EDUCATION
121004 - Libraries,"LANGUAGE, COMMUNICATION AND CULTURE"
111003 - Farming,AGRICULTURAL AND VETERINARY
111002 - Business Development,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
191006 - Scholarships,EDUCATION
211003 - Energy Resources,ENGINEERING
211006 - Natural Resources - Conservation and Protection,ENVIRONMENTAL
211004 - Heritage,LAW AND LEGAL STUDIES
241002 - Homelessness,STUDIES IN HUMAN SOCIETY
361001 - Commemorative,"LANGUAGE, COMMUNICATION AND CULTURE"
251001 - Indigenous Arts and Culture,STUDIES IN CREATIVE ARTS AND WRITING
121002 - Cultural Heritage,"LANGUAGE, COMMUNICATION AND CULTURE"
141000 - Community Development,STUDIES IN HUMAN SOCIETY
251003 - Indigenous Education,EDUCATION
121003 - Humanities,STUDIES IN HUMAN SOCIETY
211002 - Climate Change,ENVIRONMENTAL
161004 - Settlement Services,STUDIES IN HUMAN SOCIETY
101004 - Healthy Ageing,MEDICAL AND HEALTH
311000 - Recreation and Sport,"LANGUAGE, COMMUNICATION AND CULTURE"
271002 - Information Technology,INFORMATION AND COMPUTING
191005 - Primary and Secondary Schools,EDUCATION
231009 - Diabetes,MEDICAL AND HEALTH
271003 - Media and Communications,"LANGUAGE, COMMUNICATION AND CULTURE"
"301000 - Philanthropy, Voluntarism and Not-for-Profits Infrastructure",STUDIES IN HUMAN SOCIETY
"381002 - Humanities, Arts and Social Sciences (HASS) Research",STUDIES IN HUMAN SOCIETY
161003 - Multiculturalism,"LANGUAGE, COMMUNICATION AND CULTURE"
371003 - Overseas Advocacy,STUDIES IN HUMAN SOCIETY
371004 - Public Diplomacy,STUDIES IN HUMAN SOCIETY
261002 - Small Business,ECONOMICS
101001 - Aged Care,PSYCHOLOGY AND COGNITIVE SCIENCES
331005 - Women,PSYCHOLOGY AND COGNITIVE SCIENCES
231018 - Public Health Services,PSYCHOLOGY AND COGNITIVE SCIENCES
231014 - Medical Scholarships,EDUCATION
171000 - Disability,PSYCHOLOGY AND COGNITIVE SCIENCES
231017 - Public Health and Safety,STUDIES IN HUMAN SOCIETY
271001 - Broadcasting and Telecommunications,ENGINEERING
291000 - Local Government,LAW AND LEGAL STUDIES
281000 - International Aid and Development,"LANGUAGE, COMMUNICATION AND CULTURE"
351002 - Regional Development,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
131002 - Education Support,STUDIES IN HUMAN SOCIETY
251002 - Indigenous Communities,HISTORY AND ARCHAEOLOGY
171004 - Services for People with Disabilities,MEDICAL AND HEALTH
251005 - Indigenous Health,PSYCHOLOGY AND COGNITIVE SCIENCES
371001 - Consular Services,STUDIES IN HUMAN SOCIETY
121005 - Museums and Galleries,"LANGUAGE, COMMUNICATION AND CULTURE"
171001 - Carers of People with Disabilities,PSYCHOLOGY AND COGNITIVE SCIENCES
351001 - Infrastructure,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
171002 - Equipment for People with Disabilities,TECHNOLOGY
131001 - Child Care,EDUCATION
321003 - Scientific Research,TECHNOLOGY
"381001 - Science, Technology, Engineering and Mathematics (STEM) Research",ENGINEERING
151006 - National Security,ECONOMICS
121004 - Libraries,BUILT ENVIRONMENT AND DESIGN
191006 - Scholarships,STUDIES IN HUMAN SOCIETY
211004 - Heritage,"LANGUAGE, COMMUNICATION AND CULTURE"
361001 - Commemorative,HISTORY AND ARCHAEOLOGY
251001 - Indigenous Arts and Culture,"LANGUAGE, COMMUNICATION AND CULTURE"
121002 - Cultural Heritage,HISTORY AND ARCHAEOLOGY
251003 - Indigenous Education,HISTORY AND ARCHAEOLOGY
311000 - Recreation and Sport,EDUCATION
271003 - Media and Communications,TECHNOLOGY
"381002 - Humanities, Arts and Social Sciences (HASS) Research",STUDIES IN CREATIVE ARTS AND WRITING
371003 - Overseas Advocacy,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
171000 - Disability,STUDIES IN HUMAN SOCIETY
171004 - Services for People with Disabilities,PSYCHOLOGY AND COGNITIVE SCIENCES
251005 - Indigenous Health,HISTORY AND ARCHAEOLOGY
371001 - Consular Services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
121005 - Museums and Galleries,BUILT ENVIRONMENT AND DESIGN
171001 - Carers of People with Disabilities,STUDIES IN HUMAN SOCIETY
351001 - Infrastructure,ECONOMICS
171002 - Equipment for People with Disabilities,INFORMATION AND COMPUTING
321003 - Scientific Research,MEDICAL AND HEALTH
"381001 - Science, Technology, Engineering and Mathematics (STEM) Research",MATHEMATICAL
151006 - National Security,ENVIRONMENTAL
211004 - Heritage,HISTORY AND ARCHAEOLOGY
251001 - Indigenous Arts and Culture,HISTORY AND ARCHAEOLOGY
271003 - Media and Communications,STUDIES IN CREATIVE ARTS AND WRITING
"381002 - Humanities, Arts and Social Sciences (HASS) Research","LANGUAGE, COMMUNICATION AND CULTURE"
171002 - Equipment for People with Disabilities,MEDICAL AND HEALTH
321003 - Scientific Research,STUDIES IN HUMAN SOCIETY
171002 - Equipment for People with Disabilities,PSYCHOLOGY AND COGNITIVE SCIENCES
371002 - International Organisations,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
101005 - Social Support,STUDIES IN HUMAN SOCIETY
151003 - Family and Domestic Violence,STUDIES IN HUMAN SOCIETY
231001 - Addiction and Substance Abuse,MEDICAL AND HEALTH
341000 - Trade and Tourism,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
"231006 - Child Health, Development and Wellbeing",MEDICAL AND HEALTH
111001 - Drought,EARTH
171003 - Housing and Accommodation for People with Disabilities,STUDIES IN HUMAN SOCIETY
231019 - Reproductive Health,MEDICAL AND HEALTH
231016 - Palliative Care,MEDICAL AND HEALTH
231005 - Cardiovascular Health,MEDICAL AND HEALTH
231020 - Respiratory Health,MEDICAL AND HEALTH
101002 - Community Care,STUDIES IN HUMAN SOCIETY
231002 - Arthritis and Musculoskeletal Conditions,MEDICAL AND HEALTH
231010 - Eye Health,MEDICAL AND HEALTH
351003 - Transport,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
231021 - Health and Medical Research,MEDICAL AND HEALTH
251004 - Indigenous Employment and Business,STUDIES IN HUMAN SOCIETY
241001 - Crisis Accommodation,STUDIES IN HUMAN SOCIETY
181000 - Disaster Relief,STUDIES IN HUMAN SOCIETY
261003 - Business Development,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
201002 - Employment Services,STUDIES IN HUMAN SOCIETY
191001 - Adult and Continuing Education,EDUCATION
131007 - Youth Services,STUDIES IN HUMAN SOCIETY
321002 - Technology,TECHNOLOGY
211010 - Water Resources,EARTH
101003 - Dementia,MEDICAL AND HEALTH
201005 - Work Health and Safety,STUDIES IN HUMAN SOCIETY
221001 - Civics and Citizenship,STUDIES IN HUMAN SOCIETY
131008 - Family Services and Children,STUDIES IN HUMAN SOCIETY
231003 - Asthma,MEDICAL AND HEALTH
331004 - Social Justice,LAW AND LEGAL STUDIES
Engineering and Research and Technology Based Services,ENGINEERING
Specialised educational services,EDUCATION
Management advisory services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
Education and Training Services,EDUCATION
Healthcare Services,MEDICAL AND HEALTH
Environmental Services,ENVIRONMENTAL
Disease prevention and control,EARTH
Earth science services,EARTH
Economics,ECONOMICS
Crop production and management and protection,AGRICULTURAL AND VETERINARY
Pollutants tracking and monitoring and rehabilitation services,ENVIRONMENTAL
