category,title,desc,id,text,is_on
Engineering and Research and Technology Based Services,NOIE - National Information Research Proposals,(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,Tenders6162aa1fe1b7f5c73e6fdfd0,NOIE - National Information Research Proposals.(CETS Ref NOIE00483) Conduct of research relevant to the protection of the National Information Infrastructure (NII).,0
Specialised educational services,ABC - Project Management Training Services,The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training.,Tenders6162aa1fe1b7f5c73e6fdfd1,ABC - Project Management Training Services.The Australian Broadcasting Corporation (ABC) is issuing this Request for Proposal in order to identify suitable service providers able to develop and customise Project Management (PM) courseware as well as deliver innovative accredited Project Management training.,0
Management advisory services,NOIE Business and Technical Consultancy,Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program s Community Based Broker Projects (CBBP). ,Tenders6162aa1fe1b7f5c73e6fdfd2,NOIE Business and Technical Consultancy.Consultancy to provide advice on applications to the Coordinated Communications Infrastructure Fund (CCIF) and the Demand Aggregation Broker Program s Community Based Broker Projects (CBBP). ,0
Management advisory services,ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY,The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth.,Tenders6162aa1fe1b7f5c73e6fdfd3,ABC - BROADCAST & TECHNICAL RELOCATION CONSULTANCY.The ABC is seeking Expressions of Interest (EOI) from suitably qualified companies to provide independent consultancy and management services for its relocation from existing premises in Perth to new premises under construction in East Perth.,0
Management advisory services,"ICT, Organisation and Management – The Strategic Management of Technology","The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management.",Tenders6162aa1fe1b7f5c73e6fdfd4,"ICT, Organisation and Management – The Strategic Management of Technology.The National Office for the Information Economy (NOIE) invites suitably qualified consultants to undertake a consultancy that explores the nexus between ICT, organisation and management.",0
Management advisory services,The Role of ICT in Australia s Economic Performance: Investigation of assumptions influencing the productivity estimates,The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia s market sector.,Tenders6162aa1fe1b7f5c73e6fdfd5,The Role of ICT in Australia s Economic Performance: Investigation of assumptions influencing the productivity estimates.The National Office for the Information Economy (NOIE) is seeking tenderers to undertake research into the macroeconomic measures of productivity growth for Australia s market sector.,0
Management advisory services,NOIE - Consultancy Services to conduct a survey of Government e-procurement activity,NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government.,Tenders6162aa1fe1b7f5c73e6fdfd6,NOIE - Consultancy Services to conduct a survey of Government e-procurement activity.NOIE is seeking a consultant to conduct a survey of Australian Government agencies to obtain a detailed understanding of the current status of e-procurement initiatives within Government.,0
Management advisory services,NOIE - National Government Interoperability Framework,"This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework.",Tenders6162aa1fe1b7f5c73e6fdfd7,"NOIE - National Government Interoperability Framework.This consultancy is to assemble a comprehensive, universally endorsed collection of consistent, commonly agreed interoperability standards and related policy and implementation guidelines under a National Government Interoperability Framework.",0
Education and Training Services,Civilian Accreditation & Re-accred of RAN Training,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Tenders6162aa1fe1b7f5c73e6fdfd8,"Civilian Accreditation & Re-accred of RAN Training.This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",0
Healthcare Services,ADF Residential Treatment Facility - RAAF Richmond,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Tenders6162aa1fe1b7f5c73e6fdfd9,"ADF Residential Treatment Facility - RAAF Richmond.This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",0
Education and Training Services,Phillipines Human Resource Development Facility,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",Tenders6162aa1fe1b7f5c73e6fdfda,"Phillipines Human Resource Development Facility.This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender",0
Engineering and Research and Technology Based Services,Facilities Management - Technical Drawing Office,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Tenders6162aa1fe1b7f5c73e6fdfdb,"Facilities Management - Technical Drawing Office.This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",0
Management advisory services,Evaluate the Impact of Accreditation...,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Tenders6162aa1fe1b7f5c73e6fdfdc,"Evaluate the Impact of Accreditation....This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",0
Management advisory services,Review of Aboriginal Drug and Alcohol Council (ADA,"This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",Tenders6162aa1fe1b7f5c73e6fdfdd,"Review of Aboriginal Drug and Alcohol Council (ADA.This business opportunity was previously published on ads.gov.au, and has now been migrated to AusTender.",0
Specialised educational services,Procurement of Services,External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training,Tenders6162aa1fe1b7f5c73e6fdfde,Procurement of Services.External Evaluation of Avionics and Aircraft Trades Training Delivered at the RAAF School of Technical Training,0
Education and Training Services,Endeavour Language Teacher Fellowships Programme,Management of Endeavour Language Teacher Fellowships,Tenders6162aa1fe1b7f5c73e6fdfdf,Endeavour Language Teacher Fellowships Programme.Management of Endeavour Language Teacher Fellowships,0
Management advisory services,Review for the National Diabetes Services Scheme,Review for the National Diabetes Services Scheme,Tenders6162aa1fe1b7f5c73e6fdfe0,Review for the National Diabetes Services Scheme.Review for the National Diabetes Services Scheme,0
Education and Training Services,National Review of School Music Education,"A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music.",Tenders6162aa1fe1b7f5c73e6fdfe1,"National Review of School Music Education.A review of the current quality and status of teaching and learning of music in Australian government and non-government schools, including an identification of the factors that affect the quality and status of teaching and learning of school music.",0
Environmental Services,Environmental Service Provision - Indian Ocean Territories,Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands,Tenders6162aa1fe1b7f5c73e6fdfe2,Environmental Service Provision - Indian Ocean Territories.Provision of Environmental Services on behalf of the Australian Government in the external Commonwealth Territories of Chrismtas Island and the Cocos (Keeling) Islands,0
