id,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,key_12,key_13,key_14,key_15
Grants623afb69b34a6bd48ae4bd2c,china,agricultural,phytosanitary,chinese,ecommerce,commodity,innovation,trade,agriculture,travel,sustainable,technology,treaty,relationship,exchange,trading
Grants623afb6bb34a6bd48ae4bd2d,council,asia,asian,culture,malaysia,relation,innovation,entrepreneurship,country,leadership,economic,technology,cambodia,indonesia,philippine,myanmar
Grants623afb6eb34a6bd48ae4bd2e,exporter,export,certification,commitment,registration,initiative,market,cost,fee,dairy,egg,horticulture,fish,grain,plant,product
Grants623afb71b34a6bd48ae4bd2f,america,council,latin,relation,tourism,sport,economic,culture,sustainability,education,investment,relationship,trade,diplomacy,art,link
Grants623afb73b34a6bd48ae4bd30,advocacy,care,application,doh,provider,family,old,health,territory,confidential,representative,jurisdiction,entire,single,free,
Grants623afb75b34a6bd48ae4bd31,korea,diplomacy,regional,global,bilateral,geopolitics,application,technological,korean,innovation,diversity,partnership,trade,relationship,public,context
Grants623afb78b34a6bd48ae4bd32,arab,council,relation,appreciation,diaspora,social,economic,culture,sport,innovative,trade,relationship,investment,institutional,fashion,region
Grants623afb7bb34a6bd48ae4bd33,japan,diplomacy,policy,innovation,economic,geopolitics,foreign,theme,recognition,foundation,diversity,facilitating,communication,advocacy,discussion,image
Grants623afb7eb34a6bd48ae4bd34,diplomacy,audience,cultural,artistic,exchange,promote,economic,product,market,network,partnership,management,leverage,agent,social,authentic
Grants623afb80b34a6bd48ae4bd35,woman,alliance,voice,maintenance,diversity,formation,policy,,,,,,,,,
Grants623afb82b34a6bd48ae4bd36,alcohol,fetal,telephone,online,disorder,spectrum,pregnancy,family,carers,harm,,,,,,
Grants623afb85b34a6bd48ae4bd37,china,diplomacy,cultural,council,art,culture,education,innovation,study,economic,theme,partnership,frontier,diversity,technology,science
Grants623afb88b34a6bd48ae4bd38,indonesia,culture,innovation,art,civil,society,technology,religion,deepen,link,institutional,country,seed,innovative,image,initiative
Grants623afb8bb34a6bd48ae4bd39,diagnostic,model,care,pregnancy,alcohol,incidence,woman,education,referral,data,reduction,deliver,consistent,country,birth,
Grants623afb8eb34a6bd48ae4bd3a,council,india,diplomacy,partnership,relevance,policy,trade,relation,economic,private,investment,country,innovative,growth,bilateral,technical
Grants623afb91b34a6bd48ae4bd3b,workforce,health,rural,maldistribution,regional,shortage,remote,,,,,,,,,
Grants623afb94b34a6bd48ae4bd3c,health,nursing,medicine,rural,remote,workforce,bursary,entity,stakeholder,administrator,consultation,allied,,,,
Grants623afb96b34a6bd48ae4bd3d,rural,doctor,intern,rotation,care,network,territory,junior,pathway,geography,statistical,standard,remoteness,innovative,accredited,health
Grants623afb98b34a6bd48ae4bd3e,partner,disability,transition,insurance,childhood,voluntary,benefit,partnership,local,developmental,scheme,intervention,membership,coordination,phasing,relationship
Grants623afb9bb34a6bd48ae4bd3f,leadership,agricultural,agriculture,grass,mentoring,water,financial,root,stakeholder,submission,application,rural,body,representative,receive,noon
Grants623afb9db34a6bd48ae4bd40,northern,tropical,problem,agriculture,animal,model,plant,improvement,sustainability,care,tangible,cash,staff,health,medicine,student
Grants623afb9fb34a6bd48ae4bd41,blood,cord,donor,patient,transplantation,network,supply,haemopoietic,cell,cost,storage,collecting,transplant,progenitor,therapy,worldwide
Grants623afba2b34a6bd48ae4bd42,elderly,suicide,anxiety,depression,intervention,model,condition,existing,management,detection,care,,,,,
Grants623afba4b34a6bd48ae4bd43,legal,innovative,application,innovation,territory,,,,,,,,,,,
Grants623afba6b34a6bd48ae4bd44,consumer,communication,telecommunication,representation,environmental,technological,economic,portfolio,digital,relation,social,art,innovative,policy,budget,implication
Grants623afba9b34a6bd48ae4bd45,city,suburbs,technology,urban,suburb,application,local,incubation,innovative,organisational,sustainability,private,partnership,registration,granting,plan
Grants623afbabb34a6bd48ae4bd46,innovative,solution,innovation,policy,technology,market,water,feasibility,pyrethroid,design,property,reliability,transparency,child,product,residue
Grants623afbaeb34a6bd48ae4bd47,student,competition,science,sponsorship,age,innovation,international,mathematics,engineering,technology,conference,entrepreneur,inspiring,profile,,
Grants623afbb0b34a6bd48ae4bd48,maker,school,innovation,student,entrepreneurship,establishment,space,education,partnership,youth,entrepreneurial,creativity,age,gain,learning,inquiry
Grants623afbb2b34a6bd48ae4bd49,anzac,centenary,mental,family,health,treatment,disability,condition,stress,coalition,healthcare,life,burden,recovery,suicide,defence
Grants623afbb5b34a6bd48ae4bd4a,trafficking,slavery,human,crime,marriage,exploitation,resilience,prevention,root,profit,raise,ability,vulnerable,forced,,
Grants623afbb7b34a6bd48ae4bd4b,marrow,registry,bone,haemopoietic,donor,cell,progenitor,transplant,financial,compatible,health,blood,patient,lifesaving,payment,therapy
Grants623afbbab34a6bd48ae4bd4c,dementia,care,health,intervention,diagnosis,treatment,assessment,conjunction,islander,aboriginal,family,risk,strait,theme,carers,indigenous
Grants623afbbcb34a6bd48ae4bd4d,enterprise,collaborative,competitiveness,productivity,sustainability,problem,product,technology,strength,foster,partnership,tangible,researcher,entity,,
Grants623afbbfb34a6bd48ae4bd4e,education,international,innovation,partnership,student,overseas,growth,sustainable,partner,policy,mobility,provider,stakeholder,marketing,ability,branding
Grants623afbc1b34a6bd48ae4bd4f,party,democratic,political,integrity,democracy,accountable,sustainable,responsive,transparent,country,representative,international,partner,,,
Grants623afbc3b34a6bd48ae4bd50,model,client,direct,cos,disability,budget,cash,broad,arrangement,selection,indexation,independence,bank,application,account,behalf
Grants623afbc7b34a6bd48ae4bd51,care,flexible,islander,aboriginal,torres,strait,home,expansion,cost,residential,guideline,exclusive,viable,demonstrated,mainstream,old
Grants623afbc9b34a6bd48ae4bd52,indigenous,law,commitment,justice,islander,strait,aboriginal,passion,application,,,,,,,
Grants623afbccb34a6bd48ae4bd53,regional,economic,growth,region,burnett,bay,local,infrastructure,sustainable,investment,market,economy,limit,exemption,profit,change
Grants623afbd0b34a6bd48ae4bd54,region,queensland,regional,tropical,growth,local,infrastructure,market,investment,economic,sustainable,plan,cent,limit,guideline,profit
Grants623afbd3b34a6bd48ae4bd55,coast,regional,region,growth,local,economic,sustainable,market,infrastructure,investment,exemption,plan,limit,cent,profit,body
Grants623afbd5b34a6bd48ae4bd56,coast,regional,region,growth,local,infrastructure,sustainable,economic,investment,market,economy,limit,exemption,profit,change,cent
Grants623afbd7b34a6bd48ae4bd57,regional,region,growth,economic,investment,basin,local,market,bowen,sustainable,guideline,plan,infrastructure,limit,cent,profit
Grants623afbdab34a6bd48ae4bd58,geelong,regional,region,growth,local,infrastructure,market,investment,economic,sustainable,plan,cent,limit,exemption,profit,body
Grants623afbdcb34a6bd48ae4bd59,maker,school,space,entrepreneurial,establishment,education,secondary,entrepreneurship,youth,creativity,technology,innovation,partnership,gain,student,age
Grants623afbdfb34a6bd48ae4bd5a,art,diversity,communication,television,radio,social,innovative,potential,digital,broadcaster,technology,,,,,
Grants623afbe1b34a6bd48ae4bd5b,school,literacy,digital,cluster,innovative,regional,scalability,sectoral,innovation,science,curriculum,body,agenda,technology,measure,enhanced
Grants623afbe4b34a6bd48ae4bd5c,manufacturing,growth,overall,competitiveness,firm,economy,broad,victoria,innovative,enterprise,engineering,design,technology,investment,transition,heavy
Grants623afbe6b34a6bd48ae4bd5d,regional,economic,growth,region,burnett,bay,local,infrastructure,sustainable,investment,market,economy,limit,guideline,profit,exemption
Grants623afbe8b34a6bd48ae4bd5e,region,queensland,regional,tropical,growth,local,infrastructure,market,investment,economic,sustainable,plan,cent,limit,guideline,profit
Grants623afbebb34a6bd48ae4bd5f,coast,regional,region,growth,local,infrastructure,market,investment,economic,sustainable,economy,limit,exemption,profit,withstand,cent
Grants623afbeeb34a6bd48ae4bd60,coast,regional,region,growth,local,infrastructure,market,investment,economic,sustainable,plan,cent,limit,exemption,profit,body
Grants623afbf0b34a6bd48ae4bd61,geelong,regional,region,growth,local,infrastructure,market,investment,economic,sustainable,plan,cent,limit,exemption,profit,body
Grants623afbf3b34a6bd48ae4bd62,regional,region,growth,economic,investment,basin,local,market,bowen,sustainable,guideline,plan,infrastructure,limit,cent,profit
Grants623afbf6b34a6bd48ae4bd63,health,mental,suicide,multicultural,prevention,strength,exclusive,building,mulitcultural,framework,,,,,,
Grants623afbf8b34a6bd48ae4bd64,resilience,life,resilient,art,multicultural,social,festival,broad,education,harmonious,family,cohesive,time,vulnerable,sense,cohesion
Grants623afbfbb34a6bd48ae4bd65,resilience,cohesive,art,multicultural,cohesion,social,harmony,cultural,religious,racial,festival,intolerance,education,secure,resilient,sign
Grants623afbfeb34a6bd48ae4bd66,aboriginal,northern,benefit,territory,beneficial,measurable,broad,account,clear,flexible,,,,,,
Grants623afc00b34a6bd48ae4bd67,disability,social,emotional,performance,financial,economic,benefit,registration,brings,,,,,,,
Grants623afc03b34a6bd48ae4bd68,tangible,problem,solve,strength,sustainability,enterprise,competitiveness,collaborative,productivity,foster,partnership,product,entity,technology,,
Grants623afc05b34a6bd48ae4bd69,domestic,pilot,violence,attorney,provider,legal,cost,grantee,budget,operating,eligibility,wrap,guideline,innovative,attached,unsolicited
Grants623afc09b34a6bd48ae4bd6a,indigenous,traineeship,aboriginal,leadership,remote,staff,diploma,management,health,qualification,workforce,shortage,structure,localised,wage,accredited
Grants623afc0db34a6bd48ae4bd6b,disability,care,market,provider,workforce,insurance,employer,failure,coaching,health,lead,readiness,risk,worker,transition,financial
Grants623afc0fb34a6bd48ae4bd6c,readiness,duplication,foundation,policy,commissioning,disability,referral,consistent,framework,building,model,,,,,
Grants623afc13b34a6bd48ae4bd6d,antimicrobial,resistance,care,residential,transmission,facility,profile,innovative,novel,guideline,promotion,medical,optimal,,,
Grants623afc15b34a6bd48ae4bd6e,trial,attention,clinical,cancer,health,registry,application,precision,recruitment,design,novel,innovative,disease,medicine,medical,
Grants623afc18b34a6bd48ae4bd6f,smartraveller,application,entity,number,resident,citizen,permanent,travel,guideline,overseas,company,,,,,
Grants623afc1ab34a6bd48ae4bd70,representative,disability,provider,represent,,,,,,,,,,,,
Grants623afc1db34a6bd48ae4bd71,exhibition,audience,art,cultural,vision,partnership,museum,mentoring,tour,regional,gallery,curatorial,remote,application,design,production
Grants623afc1fb34a6bd48ae4bd72,promote,council,link,asia,supplementary,indonesia,lao,darussalam,asian,cambodia,philippine,myanmar,thailand,malaysia,regional,summit
Grants623afc22b34a6bd48ae4bd73,indonesia,culture,innovation,education,civil,society,technology,art,religion,image,seed,institutional,deepen,innovative,initiative,country
Grants623afc24b34a6bd48ae4bd74,health,rural,student,dental,network,nursing,medical,multidisciplinary,workforce,placement,annexure,body,university,clinical,administrator,complementary
Grants623afc28b34a6bd48ae4bd75,carers,welfare,cohort,augmented,education,carer,enrolment,employer,trial,data,payment,readiness,test,risk,contributes,life
Grants623afc2ab34a6bd48ae4bd76,carers,carer,pathway,caring,welfare,trial,education,referral,cohort,test,try,risk,useful,wellbeing,aspiration,plan
Grants623afc2eb34a6bd48ae4bd77,science,audience,territory,profile,nation,meritorious,public,variety,nationwide,wider,indigenous,celebration,kind,,,
Grants623afc30b34a6bd48ae4bd78,electorate,benefit,federal,local,parliament,social,contribute,viable,choose,commitment,optional,consistent,budget,potential,member,
Grants623afc33b34a6bd48ae4bd79,science,agriculture,fishery,forestry,innovation,agricultural,scientist,chance,reality,grain,sustainability,biosecurity,application,aquaculture,dairy,researcher
Grants623afc35b34a6bd48ae4bd7a,carers,carer,network,micro,test,try,transferrable,peer,mentorship,employer,risk,cohort,allowance,payment,income,barrier
