id,topics
GrantsGO38,"[(4, 0.09950879), (8, 0.3571676), (13, 0.089212395), (14, 0.101940006), (16, 0.066457324), (19, 0.25852743)]"
GrantsGO27,"[(4, 0.11306848), (13, 0.0647324), (14, 0.10393932), (16, 0.060636472), (19, 0.21385086), (20, 0.13540338), (21, 0.28689897)]"
GrantsGO44,"[(4, 0.09524268), (8, 0.05709389), (11, 0.41961753), (13, 0.079488635), (14, 0.049569257), (16, 0.058819063), (19, 0.21632288)]"
GrantsGO34,"[(4, 0.08978757), (6, 0.36042222), (13, 0.08300177), (14, 0.23270378), (16, 0.032318313), (19, 0.18143082)]"
GrantsGO41,"[(4, 0.07661768), (5, 0.2168821), (6, 0.06411744), (7, 0.24520494), (13, 0.100009896), (16, 0.1276128), (19, 0.14795914)]"
GrantsGO31,"[(4, 0.07116605), (13, 0.08815269), (14, 0.56107986), (16, 0.035363402), (19, 0.21910653)]"
GrantsGO33,"[(3, 0.10331089), (4, 0.089202784), (13, 0.331919), (14, 0.27655622), (19, 0.17538656)]"
GrantsGO30,"[(4, 0.07799728), (13, 0.0776915), (14, 0.2926526), (16, 0.038614657), (18, 0.2636753), (19, 0.22493352)]"
GrantsGO32,"[(3, 0.4715821), (4, 0.08829992), (13, 0.08369823), (14, 0.104754955), (19, 0.22567657)]"
GrantsGO70,"[(0, 0.22859532), (4, 0.09838793), (6, 0.25218838), (12, 0.046014827), (13, 0.107953236), (16, 0.046170123), (19, 0.19846548)]"
GrantsGO73,"[(4, 0.16094367), (6, 0.18266273), (7, 0.51828605), (13, 0.057885237), (19, 0.06256955)]"
GrantsGO29,"[(3, 0.14958498), (4, 0.10131177), (13, 0.08361166), (14, 0.42489177), (19, 0.21467423)]"
GrantsGO37,"[(2, 0.23435362), (3, 0.05204129), (4, 0.11097517), (13, 0.099807665), (14, 0.17941149), (16, 0.041788213), (19, 0.25412634)]"
GrantsGO83,"[(4, 0.21689172), (6, 0.250627), (7, 0.32908994), (13, 0.062105447), (19, 0.12083935)]"
GrantsGO75,"[(3, 0.16010442), (4, 0.37264246), (13, 0.094908185), (14, 0.1491089), (19, 0.19647369)]"
GrantsGO87,"[(4, 0.05532262), (5, 0.39309993), (6, 0.19069368), (13, 0.08519699), (16, 0.028581163), (19, 0.2272624)]"
GrantsGO81,"[(4, 0.07647737), (5, 0.3829458), (6, 0.21602729), (13, 0.09544946), (16, 0.034693185), (19, 0.17218453)]"
GrantsGO59,"[(4, 0.05437772), (5, 0.037523963), (6, 0.041519042), (13, 0.17685944), (16, 0.04609298), (18, 0.3790212), (19, 0.2457004)]"
GrantsGO86,"[(4, 0.07323587), (7, 0.21777049), (10, 0.18407415), (13, 0.043033175), (14, 0.11910163), (16, 0.046121646), (17, 0.18101116), (19, 0.059846703), (20, 0.05588471)]"
